"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00295453","1936","35.6","-108.45","2194.6","MARIANO LAKE, NM US","70","6","44","6","","","10","6","199","6","-24.4","6,0118,","","","45.2",",6,0709,","0.0","6,0928","-2.8","6,0930","-4.4","6,1024","-20.6","6,1103","-20.6","6,1103","-1.7","6,0605","-2.8","6,0510","-5.6","6,0411","-7.2","6,0410","-11.7","6,0402","3751.1","","3751.1","6","369.1",",6","","","-0.09","6"
"USC00295453","1937","35.6","-108.45","2194.6","MARIANO LAKE, NM US","57","6","37","6","12","6","","","","","","","165",",6,0107,","33.8",",6,0826,","","","","","","","","","","","","","","","","","","","","","","","","","312.4",",6","721",",6","",""
