"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00023271","1890","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","505.5","","505.5","0","56","0","39","0","","","","","0","0","8","0","0","0","199","0","43","0","-1.7","0,0108,","","","","","84.8",",0,1231,","38.9","0,0726,+","","","","","","","","","0.0","0,0227","","","","","","","1579.5","","1579.5","0","616.7",",0","","","15.25","0","21.30","0","9.21","0"
"USW00023271","1891","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","601.3","","601.3","0","61","0","35","0","","","","","0","0","17","0","0","0","208","0","62","0","-3.3","0,1225,","","","","","47.2",",0,0215,","41.1","0,0822,+","-1.7","0,1206","-2.2","0,1207","","","","","-1.1","0,0210","-2.2","0,0209","","","","","1500.8","","1500.8","0","396.7",",0","","","15.91","0","22.46","0","9.36","0"
"USW00023271","1892","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","467.8","","467.8","0","56","0","42","0","","","","","0","0","4","0","0","0","196","0","51","0","-3.3","0,1216,","","","","","47.2",",0,1224,","41.1","0,0818,","0.0","0,1124","-3.3","0,1216","","","","","0.0","0,0207","","","","","","","1470.4","","1470.4","0","516.3",",0","","","15.66","0","22.30","0","9.02","0"
"USW00023271","1893","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","432.7","","432.7","0","49","0","34","0","","","","","0","0","5","0","0","0","180","0","36","0","-2.2","0,1230,","","","","","30.0",",0,0311,","39.4","0,0731,","0.0","0,1119","-2.2","0,1230","","","","","-1.1","0,0201","","","","","","","1620.9","","1620.9","0","421.5",",0","","","14.91","0","20.87","0","8.95","0"
"USW00023271","1894","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","556.7","","556.7","0","64","0","47","0","","","","","0","0","10","0","0","0","202","0","56","0","-3.3","0,0106,","","","","","57.2",",0,0115,","42.2","0,0827,","0.0","0,1201","","","","","","","0.0","0,0211","-3.3","0,0106","","","","","1567.2","","1567.2","0","574.4",",0","","","15.71","0","21.89","0","9.53","0"
"USW00023271","1895","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","499.2","","499.2","0","56","0","39","0","","","","","0","0","8","0","0","0","190","0","43","0","-2.2","0,1229,","","","","","66.5",",0,0104,","38.9","0,0623,","0.0","0,1222","-2.2","0,1229","","","","","-1.1","0,0126","","","","","","","1373.9","","1373.9","0","441.1",",0","","","15.64","0","21.62","0","9.65","0"
"USW00023271","1896","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","570.9","","570.9","0","67","0","46","0","","","","","0","0","5","0","0","0","173","0","41","0","-2.2","0,0104,","","","","","48.3",",0,0424,","40.0","0,0710,+","0.0","0,1127","","","","","","","-1.1","0,0105","-2.2","0,0104","","","","","1518.7","","1518.7","0","629.9",",0","","","15.95","0","21.84","0","10.06","0"
"USW00023271","1897","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","603.8","","603.8","0","56","0","40","0","","","","","0","0","12","0","0","0","194","0","52","0","-2.2","0,1223,+","","","","","34.5",",0,0129,","40.6","0,0711,","0.0","0,1126","-2.2","0,1221","","","","","","","","","","","","","1516.2","","1516.2","0","389.2",",0","","","15.40","0","21.47","0","9.34","0"
"USW00023271","1898","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","528.0","","528.0","0","36","0","25","0","","","","","0","0","32","0","0","0","199","0","52","0","-3.3","0,0111,","","","","","27.9",",0,0224,","43.3","0,0811,","0.0","0,1123","-2.2","0,1211","","","","","0.0","0,0327","-3.3","0,0111","","","","","1684.7","","1684.7","0","254.9",",0","","","15.30","0","22.27","0","8.34","0"
"USW00023271","1899","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","485.8","","485.8","0","64","0","40","0","","","","","0","0","8","0","0","0","178","0","50","0","-1.1","0,0207,+","","","","","55.9",",0,0315,","38.9","0,0718,","-0.6","0,1218","","","","","","","-1.1","0,0207","","","","","","","1540.9","","1540.9","0","536.6",",0","","","15.34","0","21.43","0","9.25","0"
