"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00411133","1908","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","2123.9","","2123.9","6","67","6","36","6","0","6","0","6","0","6","334","6","105","6","1.7","6,0219,+","127.0",",6,0411,","37.8","6,0729,","","","","","","","","","","","","","","","","","676.1",",6","23.46","6","28.36","6","18.57","6"
"USC00411133","1909","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","2191.3","","2191.3","6","56","6","32","6","0","6","2","6","0","6","336","6","113","6","-2.2","6,0112,","85.1",",6,0630,","37.8","6,0430,","","","","","","","-1.7","6,0216","-2.2","6,0112","","","222.7","","222.7","6","520.1",",6","23.59","6","28.64","6","18.54","6"
"USC00411133","1910","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","2007.7","","2007.7","6","","","","","0","6","3","6","0","6","327","6","106","6","-1.1","6,0107,","","","36.7","6,0701,","","","","","","","0.0","6,0218","","","","","327.6","","327.6","6","","","23.02","6","28.27","6","17.78","6"
"USC00411133","1912","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","1821.3","","1821.3","6","86","6","44","6","0","6","9","6","0","6","302","6","107","6","-4.4","6,0113,","161.0",",6,1016,","36.7","6,0510,","","","","","","","-1.1","6,0207","-2.8","6,0206","-4.4","6,0113","492.6","","492.6","6","985.8",",6","22.03","6","27.39","6","16.66","6"
"USC00411133","1913","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","95","6","45","6","","","","","","","","","","","","","146.3",",6,0925,","","","","","","","","","","","","","","","","","","","778.0",",6","","","","","",""
"USC00411133","1914","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","1964.8","","1964.8","6","","","","","0","6","2","6","0","6","315","6","116","6","-1.1","6,0225,+","","","36.7","6,0719,","","","","","","","-1.1","6,0225","","","","","","","","","","","22.46","6","27.52","6","17.41","6"
"USC00411133","1915","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","2064.2","","2064.2","6","55","6","31","6","0","6","1","6","0","6","320","6","123","6","-1.1","6,0125,","59.7",",6,1201,","40.0","6,0818,+","","","","","","","-1.1","6,0125","","","","","510.4","","510.4","6","443.1",",6","22.98","6","28.23","6","17.73","6"
"USC00411133","1916","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","2136.6","","2136.6","6","64","6","32","6","0","6","2","6","0","6","349","6","118","6","-1.1","6,0202,+","115.3",",6,0818,","38.9","6,0522,","","","","","","","-1.1","6,0202","","","","","187.8","","187.8","6","502.6",",6","23.61","6","29.03","6","18.18","6"
"USC00411133","1917","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","2132.4","","2132.4","6","39","6","21","6","0","6","5","6","0","6","333","6","142","6","-4.4","6,1230,+","79.8",",6,0721,","38.9","6,0823,","0.0","6,1209","-4.4","6,1230","-4.4","6,1230","-1.1","6,0305","-4.4","6,0202","-4.4","6,0202","288.9","","288.9","6","308.8",",6","23.32","6","29.10","6","17.54","6"
"USC00411133","1918","25.90083","-97.50389","5.5","BROWNSVILLE, TX US","","","","","","","","","0","6","5","6","","","","","","","-3.9","6,0111,","","","","","","","","","","","-0.6","6,0202","-3.3","6,0112","","","346.8","","346.8","6","","","","","","","17.67","6"
