"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00330637","1951","41.0","-80.98333","317.0","BERLIN CENTER 2 SW, OH US","150","6","96","6","49.5",",6,0914,","1112.8",",6"
"USC00330637","1952","41.0","-80.98333","317.0","BERLIN CENTER 2 SW, OH US","138","6","82","6","57.9",",6,0919,","973.2",",6"
"USC00330637","1953","41.0","-80.98333","317.0","BERLIN CENTER 2 SW, OH US","122","6","69","6","36.6",",6,0706,","724.1",",6"
