"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CSFD","1994","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","779.5","","779.5","U","0","U","1","U","0","U","263","U","69","U","-0.6","U,0113,","41.7","U,0626,","","","-0.6","U,0113","619.6","","619.6","U","18.36","U","25.39","U","11.33","U"
"USR0000CSFD","1995","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","943.2","","943.2","U","0","U","0","U","0","U","271","U","100","U","2.2","U,0117,","41.1","U,0905,+","","","","","779.6","","779.6","U","19.27","U","26.40","U","12.14","U"
"USR0000CSFD","1996","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","1087.5","","1087.5","U","0","U","0","U","0","U","298","U","110","U","3.3","U,0226,","41.7","U,0829,","","","","","411.3","","411.3","U","20.05","U","27.41","U","12.70","U"
"USR0000CSFD","1997","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","","","","","0","U","0","U","","","","","","","1.7","U,1226,","","","","","","","","","","","","","","","13.29","U"
"USR0000CSFD","1998","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","856.8","","856.8","U","0","U","0","U","0","U","264","U","83","U","1.7","U,1221,","43.9","U,0901,","","","","","648.6","","648.6","U","18.83","U","25.78","U","11.88","U"
"USR0000CSFD","2003","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","1060.0","","1060.0","U","0","U","0","U","0","U","290","U","114","U","2.8","U,1226,","42.2","U,0814,","","","","","","","","","19.73","U","27.33","U","12.12","U"
"USR0000CSFD","2004","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","985.2","","985.2","U","0","U","0","U","0","U","286","U","106","U","0.6","U,1129,","41.7","U,0427,","","","","","521.8","","521.8","U","19.52","U","27.17","U","11.86","U"
"USR0000CSFD","2005","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","908.0","","908.0","U","0","U","0","U","0","U","296","U","100","U","5.0","U,1127,","41.1","U,0929,","","","","","597.5","","597.5","U","19.45","U","26.95","U","11.96","U"
"USR0000CSFD","2006","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","557.3","","557.3","U","","","","","",""
"USR0000CSFD","2007","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","979.3","","979.3","U","0","U","2","U","0","U","284","U","104","U","-0.6","U,0115,","44.4","U,0902,","","","0.0","U,0118","","","","","19.33","U","27.07","U","11.58","U"
"USR0000CSFD","2008","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","1186.0","","1186.0","U","0","U","1","U","0","U","283","U","135","U","0.0","U,1226,","41.1","U,0930,+","0.0","U,1226","","","645.8","","645.8","U","19.92","U","27.75","U","12.09","U"
"USR0000CSFD","2009","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","1086.5","","1086.5","U","0","U","0","U","0","U","302","U","120","U","2.2","U,1208,+","44.4","U,0827,","","","","","523.0","","523.0","U","19.88","U","27.90","U","11.86","U"
"USR0000CSFD","2011","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","884.0","","884.0","U","0","U","2","U","0","U","285","U","94","U","0.0","U,1223,+","42.8","U,0907,","0.0","U,1223","0.0","U,0227","673.3","","673.3","U","18.96","U","26.77","U","11.15","U"
"USR0000CSFD","2014","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","1395.4","","1395.4","U","0","U","0","U","0","U","331","U","129","U","3.9","U,0201,","43.3","U,0914,","","","","","","","","","21.45","U","29.28","U","13.61","U"
"USR0000CSFD","2015","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","1632.3","","1632.3","U","0","U","0","U","0","U","315","U","147","U","2.8","U,1215,","42.8","U,0920,+","","","","","188.4","","188.4","U","22.01","U","29.49","U","14.52","U"
"USR0000CSFD","2017","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","1199.5","","1199.5","U","0","U","0","U","0","U","304","U","102","U","3.3","U,1221,+","44.4","U,0831,","","","","","","","","","20.46","U","27.43","U","13.49","U"
