"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00330460","1949","39.11667","-84.16667","259.1","BATAVIA 4 N, OH US","119","0","85","0","","","","","","","53.3",",0,0104,","","","","","","","","","","","","","","","","","","","","","","","","","1096.9",",0","",""
"USC00330460","1950","39.11667","-84.16667","259.1","BATAVIA 4 N, OH US","144","0","98","0","1","0","114","0","-18.9","0,1227,","60.7",",0,0403,","0.0","0,1005","-7.2","0,1111","-7.2","0,1111","-7.2","0,1111","-15.0","0,1124","-0.6","0,0421","-3.9","0,0416","-6.1","0,0414","-7.8","0,0314","-9.4","0,0309","2626.2","","2626.2","0","1330.7",",0","5.75","0"
