"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023206","1949","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","710.5","","710.5","X","37","X","26","X","0","","0","X","0","X","41","X","0","X","208","X","62","X","-5.6","X,0111,","0",",X,1231,+","0",",X,1231,+","32.3",",X,0119,","39.4","X,0922,+","-2.8","X,1211","-2.8","X,1211","","","-3.9","X,0214","-3.9","X,0214","-5.0","X,0113","","","","","255.8",",X","0",",X","15.93","X","22.61","X","9.24","X","338","X","27.3","X"
"USW00023206","1950","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","784.6","","784.6","X","60","X","45","X","0","","0","X","0","X","16","X","0","X","209","X","77","X","-3.9","X,0105,+","0",",X,1231,+","0","T,X,0917,","57.9",",X,1118,","43.9","X,0902,","","","","","","","0.0","X,0312","-2.2","X,0202","","","1483.4","","1483.4","X","572.7",",X","0","T,X","16.79","X","23.27","X","10.30","X","180","X","32.6","X"
"USW00023206","1951","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","614.9","","614.9","X","48","X","34","X","0","","0","X","0","X","10","X","0","X","208","X","65","X","-1.7","X,0131,","0",",X,1231,+","0","T,X,0217,+","30.2",",X,1201,","40.0","X,0815,+","-1.1","X,1209","","","","","-1.1","X,0303","","","","","1308.7","","1308.7","X","386.9",",X","0","T,X","15.99","X","22.57","X","9.40","X","203","X","28.6","X"
"USW00023206","1952","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","753.9","","753.9","X","64","X","43","X","0","","0","X","0","X","10","X","0","X","207","X","79","X","-2.8","X,1128,+","0",",X,1231,+","0","T,X,0315,+","40.6",",X,1201,","40.0","X,0728,","0.0","X,1125","-2.8","X,1128","","","-1.1","X,0109","-2.8","X,0102","","","1539.6","","1539.6","X","581.1",",X","0","T,X","16.28","X","22.76","X","9.80","X","158","X","33.1","X"
"USW00023206","1953","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","638.4","","638.4","X","62","X","32","X","0","","0","X","0","X","2","X","0","X","193","X","64","X","0.0","X,0302,+","0",",X,1231,+","0",",X,1231,+","38.6",",X,0427,","40.0","X,0913,","","","","","","","0.0","X,0302","","","","","1371.9","","1371.9","X","355.4",",X","0",",X","16.28","X","22.86","X","9.70","X","158","X","28.2","X"
"USW00023206","1954","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","602.5","","602.5","X","57","X","34","X","0","","0","X","0","X","8","X","0","X","202","X","56","X","-1.1","X,1227,+","0",",X,1231,+","0",",X,1231,+","55.4",",X,1209,","42.2","X,0728,","-0.6","X,1130","","","","","-1.1","X,0125","","","","","1425.6","","1425.6","X","484.9",",X","0",",X","15.73","X","21.89","X","9.57","X","","","",""
"USW00023206","1955","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","686.8","","686.8","X","54","X","40","X","0","","0","X","0","X","8","X","0","X","198","X","64","X","-1.1","X,0204,+","0",",X,1231,+","0",",X,1231,+","33.8",",X,1222,","42.2","X,0904,+","","","","","","","-1.1","X,0204","","","","","1699.9","","1699.9","X","418.7",",X","0",",X","15.84","X","22.42","X","9.25","X","135","X","28.3","X"
"USW00023206","1956","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","660.2","","660.2","X","48","X","34","X","0","","0","X","0","X","17","X","0","X","201","X","56","X","-2.2","X,1222,","0",",X,1231,+","0",",X,1231,+","39.4",",X,0114,","41.1","X,0627,","0.0","X,1207","-2.2","X,1222","","","0.0","X,0306","","","","","1400.5","","1400.5","X","346.8",",X","0",",X","16.09","X","22.65","X","9.52","X","135","X","30.3","X"
"USW00023206","1957","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","719.8","","719.8","X","69","X","39","X","0","","0","X","0","X","12","X","0","X","187","X","66","X","-2.2","X,0130,","0",",X,1231,+","0",",X,1231,+","26.2",",X,1216,","41.1","X,0624,","0.0","X,1223","","","","","-0.6","X,0204","-2.2","X,0130","","","1420.6","","1420.6","X","418.1",",X","0",",X","16.34","X","22.35","X","10.33","X","135","X","30.8","X"
"USW00023206","1958","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","867.5","","867.5","X","64","X","45","X","0","","0","X","0","X","1","X","0","X","208","X","84","X","-1.1","X,1117,","0",",X,1231,+","0",",X,1231,+","41.1",",X,0402,","39.4","X,0906,","-1.1","X,1117","","","","","","","","","","","1407.7","","1407.7","X","567.4",",X","0",",X","17.35","X","23.67","X","11.02","X","135","X","28.3","X"
"USW00023206","1959","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","791.6","","791.6","X","38","X","26","X","0","","0","X","0","X","4","X","0","X","246","X","70","X","-2.2","X,1231,","0",",X,1231,+","0",",X,1231,+","110.2",",X,0425,","40.6","X,0710,+","-1.1","X,1213","-2.2","X,1231","","","-1.1","X,0103","","","","","1070.3","","1070.3","X","485.0",",X","0",",X","17.31","X","24.21","X","10.41","X","135","X","29.8","X"
"USW00023206","1960","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","781.0","","781.0","X","56","X","35","X","0","","0","X","0","X","14","X","0","X","206","X","74","X","-2.8","X,0101,","0",",X,1231,+","0",",X,1231,+","25.9",",X,1113,","42.2","X,0602,","-1.1","X,1207","","","","","0.0","X,0117","-2.2","X,0102","","","1291.4","","1291.4","X","401.2",",X","0",",X","16.63","X","23.15","X","10.11","X","","","",""
"USW00023206","1961","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","768.3","","768.3","X","47","X","27","X","0","","0","X","0","X","16","X","0","X","196","X","81","X","-2.2","X,1211,+","0",",X,1231,+","0","T,X,0105,","39.4",",X,1130,","43.9","X,0614,","-1.7","X,1117","-2.2","X,1211","","","0.0","X,0122","-2.2","X,0102","","","1598.1","","1598.1","X","359.3",",X","0","T,X","15.90","X","22.45","X","9.36","X","","","",""
"USW00023206","1962","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","567.1","","567.1","X","44","X","30","X","0","","0","X","0","X","21","X","0","X","203","X","63","X","-5.6","X,0122,","0",",X,1231,+","0","T,X,0121,","110.7",",X,1013,","38.9","X,0721,+","-1.7","X,1225","-3.3","X,1226","","","-2.8","X,0227","-2.8","X,0227","-4.4","X,0123","1743.0","","1743.0","X","636.0",",X","0","T,X","15.38","X","21.85","X","8.91","X","","","",""
"USW00023206","1963","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","518.6","","518.6","X","62","X","39","X","0","","0","X","0","X","20","X","0","X","176","X","51","X","-6.1","X,0113,","0",",X,1231,+","0",",X,1231,+","47.8",",X,0327,","38.9","X,0926,","0.0","X,1210","","","","","-1.1","X,0123","-2.8","X,0122","-5.0","X,0114","1523.1","","1523.1","X","642.6",",X","0",",X","15.11","X","20.96","X","9.25","X","158","X","22.1","X"
"USW00023206","1964","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","583.1","","583.1","X","69","X","40","X","0","","0","X","0","X","15","X","0","X","197","X","63","X","-2.2","X,0111,+","0",",X,1231,+","0","T,X,0120,","61.5",",X,0121,","39.4","X,0624,","-1.1","X,1116","","","","","-0.6","X,0307","-2.2","X,0111","","","1770.6","","1770.6","X","553.4",",X","0","T,X","15.59","X","22.40","X","8.79","X","","","",""
"USW00023206","1965","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","512.4","","512.4","X","60","X","37","X","0","","0","X","0","X","13","X","0","X","198","X","52","X","-4.4","X,1223,","0",",X,1231,+","0",",X,1231,+","29.5",",X,1228,","37.8","X,0715,+","-0.6","X,1214","-3.9","X,1215","-4.4","X,1223","-1.1","X,0108","-2.2","X,0101","","","1437.0","","1437.0","X","434.2",",X","0",",X","15.40","X","21.74","X","9.07","X","190","X","24.7","X"
"USW00023206","1966","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","747.4","","747.4","X","53","X","25","X","0","","0","X","0","X","19","X","0","X","210","X","75","X","-2.2","X,0120,+","0",",X,1231,+","0",",X,1231,+","31.8",",X,1106,","41.7","X,0806,","-1.1","X,1227","","","","","-1.7","X,0303","-2.2","X,0120","","","1537.5","","1537.5","X","334.1",",X","0",",X","16.63","X","23.41","X","9.85","X","140","X","24.7","X"
"USW00023206","1967","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","917.7","","917.7","X","60","X","43","X","0","","0","X","0","X","18","X","0","X","187","X","98","X","-2.8","X,1216,","0",",X,1231,+","0","T,X,1217,","67.1",",X,0121,","41.1","X,0818,","-1.1","X,1206","-2.8","X,1216","","","0.0","X,0305","","","","","1597.9","","1597.9","X","469.1",",X","0","T,X","16.26","X","22.83","X","9.70","X","140","X","26.7","X"
"USW00023206","1968","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","628.1","","628.1","X","57","X","35","X","0","","0","X","0","X","13","X","0","X","210","X","65","X","-6.1","X,0105,","0",",X,1231,+","0","T,X,1220,+","39.9",",X,0130,","40.6","X,0830,+","-1.7","X,1204","-4.4","X,1221","-4.4","X,1221","-0.6","X,0112","-6.1","X,0105","-6.1","X,0105","1393.8","","1393.8","X","421.7",",X","0","T,X","15.99","X","22.62","X","9.36","X","158","X","20.0","X"
"USW00023206","1969","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","889.0","","889.0","X","71","X","46","X","0","","0","X","0","X","12","X","0","X","209","X","90","X","-2.2","X,0131,","0",",X,1231,+","0",",X,1231,+","54.9",",X,0119,","41.7","X,0803,+","0.0","X,1201","","","","","-2.2","X,0131","-2.2","X,0131","","","1574.5","","1574.5","X","749.4",",X","0",",X","16.78","X","23.40","X","10.16","X","150","X","31.9","X"
"USW00023206","1970","38.56667","-121.3","30.2","SACRAMENTO MATHER AFB, CA US","828.6","","828.6","X","74","X","50","X","0","","0","X","0","X","7","X","0","X","208","X","93","X","-2.2","X,0106,+","0",",X,1231,+","0","T,X,1226,+","66.3",",X,1128,","41.7","X,0810,+","0.0","X,1225","","","","","-2.2","X,0106","-2.2","X,0106","","","1197.1","","1197.1","X","655.9",",X","0","T,X","17.03","X","23.83","X","10.23","X","160","X","25.7","X"
