"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00012919","1914","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","1964.2","","1964.2","0","87","0","40","0","0","","0","0","0","0","2","0","0","0","315","0","116","0","-1.1","0,0225,+","0",",0,1231,+","0",",0,1231,+","82.3",",0,0501,","36.7","0,0719,","","","","","","","","","","","-1.1","0,0225","","","","","","","","","","","672.7",",0","","","0",",0","22.47","0","27.52","0","17.42","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1915","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2066.4","","2066.4","0","55","0","31","0","0","","0","0","0","0","1","0","0","0","321","0","123","0","-1.1","0,0125,","0",",0,1231,+","0",",0,1231,+","59.7",",0,1201,","40.0","0,0818,+","","","","","","","","","","","-1.1","0,0125","","","","","","","506.6","","506.6","0","443.1",",0","","","0",",0","22.98","0","28.23","0","17.73","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1916","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2138.0","","2138.0","0","64","0","32","0","0","","0","0","0","0","2","0","0","0","349","0","117","0","-1.1","0,0202,+","0",",0,1231,+","0",",0,1231,+","115.3",",0,0818,","38.9","0,0522,","","","","","","","","","","","-1.1","0,0202","","","","","","","187.8","","187.8","0","502.6",",0","","","0",",0","23.57","0","28.98","0","18.15","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1917","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2132.4","","2132.4","0","39","0","21","0","0","","0","0","0","0","5","0","0","0","333","0","142","0","-4.4","0,1230,+","0",",0,1231,+","0",",0,1231,+","79.8",",0,0721,","38.9","0,0823,","0.0","0,1209","-4.4","0,1230","-4.4","0,1230","","","","","-1.1","0,0305","-4.4","0,0202","-4.4","0,0202","","","309.7","","309.7","0","308.8",",0","","","0",",0","23.32","0","29.10","0","17.54","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1918","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2316.9","","2316.9","0","69","0","40","0","0","","0","0","0","0","5","0","0","0","326","0","159","0","-3.9","0,0111,","0",",0,1231,+","0",",0,1231,+","61.5",",0,0502,","39.4","0,0619,","","","","","","","","","","","-0.6","0,0202","-3.3","0,0112","","","","","346.8","","346.8","0","556.4",",0","","","0",",0","23.50","0","29.28","0","17.73","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1919","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2188.6","","2188.6","0","97","0","63","0","0","","0","0","0","0","6","0","0","0","327","0","143","0","-4.4","0,0104,","0",",0,1231,+","0",",0,1231,+","117.1",",0,0914,","38.9","0,0831,","0.0","0,1210","","","","","","","","","-1.1","0,0109","-4.4","0,0104","-4.4","0,0104","","","399.4","","399.4","0","970.1",",0","","","0",",0","23.35","0","28.81","0","17.89","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1920","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","","","","","52","0","36","0","0","","0","0","0","0","3","0","","","","","","","0.0","0,1228,+","0",",0,1231,+","0",",0,1231,+","65.5",",0,1016,","","","0.0","0,1116","","","","","","","","","0.0","0,0308","","","","","","","359.5","","359.5","0","527.8",",0","","","0",",0","","","","","17.71","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1921","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","","","","","67","0","42","0","0","","0","0","0","0","0","0","","","","","","","1.1","0,0221,","0",",0,1231,+","0",",0,1231,+","57.4",",0,0501,","","","","","","","","","","","","","","","","","","","","","","","","","542.7",",0","","","0",",0","","","","","18.49","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1931","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","1895.6","","1895.6","0","100","0","50","0","0","","0","0","0","0","0","0","0","0","312","0","118","0","2.8","0,0309,","0",",0,1231,+","0",",0,1231,+","43.9",",0,1029,","37.2","0,0904,","","","","","","","","","","","","","","","","","","","","","","","645.5",",0","","","0",",0","22.74","0","27.54","0","17.95","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1932","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","281.8","","281.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
