"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USW00023156","1941","33.9255","-116.9903","789.7","BEAUMONT NUMBER 2, CA US","434.5","","434.5","6","75","6","54","6","","","","","0","6","16","6","0","6","197","6","54","6","-2.8","6,1225,","","","","","38.4",",6,0314,","39.4","6,0721,","20000.1","6","0.0","6,1118","-2.8","6,1225","","","","","0.0","6,0419","","","","","","","","","","","","","658.1",",6","","","14.98","6","22.14","6","7.83","6","48359","6"
"USW00023156","1942","33.9255","-116.9903","789.7","BEAUMONT NUMBER 2, CA US","582.5","","582.5","6","34","6","23","6","","","","","0","6","41","6","0","6","210","6","85","6","-7.2","6,0215,","","","","","36.3",",6,0809,","40.6","6,0722,","25593.2","6","-1.7","6,1120","-3.3","6,1209","","","","","0.0","6,0430","-2.2","6,0324","-7.2","6,0215","-7.2","6,0215","","","1745.8","","1745.8","6","247.9",",6","","","15.37","6","23.81","6","6.93","6","53701","6"
"USW00023156","1943","33.9255","-116.9903","789.7","BEAUMONT NUMBER 2, CA US","625.5","","625.5","6","51","6","36","6","","","","","0","6","14","6","0","6","214","6","92","6","-3.9","6,0120,","","","","","105.7",",6,0122,","41.7","6,0726,","24166.1","6","-1.1","6,1202","","","","","","","0.0","6,0302","-2.2","6,0210","","","","","","","1454.8","","1454.8","6","677.5",",6","","","15.95","6","23.86","6","8.03","6","47800","6"
"USW00023156","1944","33.9255","-116.9903","789.7","BEAUMONT NUMBER 2, CA US","428.1","","428.1","6","48","6","31","6","","","0","6","0","6","30","6","0","6","192","6","65","6","-5.0","6,0213,","","","0","T,6,0314,+","66.8",",6,1111,","43.3","6,0812,","22861.9","6","-1.7","6,1125","","","","","","","-1.7","6,0417","-2.2","6,0219","-5.0","6,0213","","","","","1792.5","","1792.5","6","466.1",",6","0","T,6","14.49","6","22.36","6","6.61","6","50838","6"
"USW00023156","1945","33.9255","-116.9903","789.7","BEAUMONT NUMBER 2, CA US","600.1","","600.1","6","59","6","30","6","","","0","6","0","6","57","6","0","6","210","6","78","6","-4.4","6,1213,","","","0","T,6,1212,+","97.5",",6,1222,","39.4","6,0824,","21318.7","6","-3.3","6,1108","-3.3","6,1108","-4.4","6,1213","","","-1.1","6,0415","-2.2","6,0404","","","","","","","1786.3","","1786.3","6","509.0",",6","0","T,6","14.92","6","22.92","6","6.92","6","41692","6"
"USW00023156","1946","33.9255","-116.9903","789.7","BEAUMONT NUMBER 2, CA US","661.5","","661.5","6","52","6","35","6","","","0","6","0","6","35","6","0","6","207","6","90","6","-4.4","6,0130,","","","0","T,6,0320,+","43.7",",6,1123,+","40.6","6,0801,","22631.2","6","0.0","6,1110","","","","","","","-1.1","6,0315","-2.2","6,0305","-4.4","6,0130","","","","","1637.2","","1637.2","6","519.5",",6","0","T,6","15.59","6","23.57","6","7.62","6","38693","6"
"USW00023156","1947","33.9255","-116.9903","789.7","BEAUMONT NUMBER 2, CA US","663.0","","663.0","6","35","6","18","6","","","","","0","6","27","6","0","6","221","6","87","6","-5.6","6,1231,+","","","","","37.6",",6,1204,","41.7","6,0719,","23334.6","6","-1.7","6,1110","-5.6","6,1123","-5.6","6,1123","","","-1.1","6,0306","-2.2","6,0130","","","","","","","1507.5","","1507.5","6","190.1",",6","","","15.97","6","23.88","6","8.06","6","41089","6"
"USW00023156","1948","33.9255","-116.9903","789.7","BEAUMONT NUMBER 2, CA US","579.8","","579.8","0","30","0","20","0","0","","0","0","0","0","42","0","0","0","207","0","82","0","-5.6","0,0129,","0",",0,1231,+","13",",0,1223,","66.0",",0,0205,","41.1","0,0830,","","","0.0","0,1120","-2.2","0,1205","","","","","-0.6","6,0412","-4.4","6,0213","-4.4","6,0213","","","","","1736.4","","1736.4","0","277.4",",0","13",",0","15.11","0","23.27","0","6.95","0","38357","0"
"USW00023156","1949","33.9255","-116.9903","789.7","BEAUMONT NUMBER 2, CA US","645.1","","645.1","0","55","0","32","0","11","","6","0","0","0","49","0","1","0","219","0","84","0","-11.7","0,0112,","254",",0,0113,","180",",0,0113,","45.2",",0,1110,","41.1","0,0922,","","","-1.1","0,1019","-4.4","0,1211","-4.4","0,1211","","","-0.6","0,0331","-4.4","0,0215","-4.4","0,0215","-7.2","0,0116","-11.7","0,0112","1978.8","","1978.8","0","328.0",",0","610",",0","15.08","0","23.10","0","7.05","0","",""
"USW00023156","1950","33.9255","-116.9903","789.7","BEAUMONT NUMBER 2, CA US","613.7","","613.7","0","36","0","21","0","0","","0","0","0","0","29","0","0","0","253","0","86","0","-5.6","0,0104,","0","T,0,0112,","5",",0,0112,","40.6",",0,0206,","42.8","0,0902,","","","0.0","0,1227","-3.9","0,1231","","","","","-0.6","0,0508","-2.2","0,0314","-4.4","0,0126","","","","","1540.6","","1540.6","0","288.9",",0","5",",0","16.21","0","24.72","0","7.70","0","32734","0"
