"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013733","1945","37.3208","-79.2067","286.5","LYNCHBURG INTERNATIONAL AIRPORT, VA US","","","694.0","","694.0","0","136","0","77","0","14","","3","0","0","0","83","0","10","0","187","0","27","0","-11.7","0,0201,","127",",0,1219,","132",",0,1218,","62.2",",0,0417,","37.8","0,0630,","0.0","0,1104","-3.3","0,1105","-4.4","0,1123","-7.8","0,1211","-10.0","0,1212","0.0","0,0407","-2.8","0,0220","-4.4","0,0219","-7.2","0,0204","-10.0","0,0202","","","","","1050.9",",0","","","254",",0","13.85","0","19.38","0","8.32","0","","","","","","","","","","","","","","","","","",""
"USW00013733","1946","37.3208","-79.2067","286.5","LYNCHBURG INTERNATIONAL AIRPORT, VA US","","","495.4","","495.4","0","124","0","72","0","6","","4","0","0","0","59","0","5","0","187","0","15","0","-13.9","0,0123,","51",",0,0127,+","53",",0,0127,","41.1",",0,1220,","35.0","0,0618,","0.0","0,1116","-2.2","0,1124","-7.2","0,1202","-7.2","0,1202","-11.7","0,1203","-1.1","0,0312","-3.9","0,0225","-6.1","0,0216","-7.8","0,0215","-10.0","0,0128","2263.6","","2263.6","0","883.8",",0","","","180",",0","14.13","0","19.91","0","8.34","0","","","","","","","","","","","","","","","","","",""
"USW00013733","1947","37.3208","-79.2067","286.5","LYNCHBURG INTERNATIONAL AIRPORT, VA US","","","657.4","","657.4","0","115","0","81","0","21","","6","0","0","0","100","0","13","0","174","0","20","0","-13.3","0,0209,","203",",0,0303,+","203",",0,0308,","60.7",",0,0822,","36.1","0,0731,","0.0","0,1109","-3.3","0,1126","-8.3","0,1201","-8.3","0,1201","","","0.0","0,0509","-2.2","0,0329","-4.4","0,0328","-8.9","0,0309","-8.9","0,0309","2331.3","","2331.3","0","929.8",",0","","","699",",0","13.14","0","18.74","0","7.55","0","","","","","","","","","","","","","","","","","",""
"USW00013733","1948","37.3208","-79.2067","286.5","LYNCHBURG INTERNATIONAL AIRPORT, VA US","","","608.7","","608.7","0","150","0","99","0","24","","8","0","0","0","76","0","11","0","177","0","23","0","-13.9","0,0115,","432",",0,0201,","198",",0,0131,","78.2",",0,0821,","36.7","0,0828,","0.0","0,1018","-3.3","0,1019","-5.0","0,1210","-7.8","0,1211","-11.1","0,1226","0.0","0,0404","-3.3","0,0329","-6.7","0,0313","-6.7","0,0313","-9.4","0,0210","2363.0","","2363.0","0","1334.5",",0","","","685",",0","13.72","0","19.16","0","8.29","0","","","","","","","","","","","","","","","","","",""
"USW00013733","1949","37.3208","-79.2067","286.5","LYNCHBURG INTERNATIONAL AIRPORT, VA US","","","652.6","","652.6","0","134","0","83","0","2","","3","0","0","0","63","0","2","0","180","0","24","0","-8.9","0,1217,","76",",0,0131,","86",",0,0130,","81.0",",0,0628,","35.0","0,0812,+","-2.2","0,1106","-2.2","0,1106","-6.1","0,1123","-6.7","0,1216","-8.9","0,1217","-1.1","0,0417","-3.3","0,0320","-6.1","0,0316","-7.2","0,0301","","","2045.5","","2045.5","0","1113.8",",0","","","203",",0","14.52","0","19.98","0","9.05","0","","","","","","","","","","","","","","","","","",""
"USW00013733","1950","37.3208","-79.2067","286.5","LYNCHBURG INTERNATIONAL AIRPORT, VA US","","","531.7","","531.7","0","141","0","90","0","7","","6","0","0","0","92","0","6","0","184","0","12","0","-11.7","0,1126,+","127",",0,0316,","142",",0,0316,","80.0",",0,0821,","33.9","0,0627,+","-1.7","0,1106","-2.8","0,1112","-11.7","0,1125","-11.7","0,1125","-11.7","0,1125","-2.2","0,0416","-2.2","0,0416","-6.1","0,0317","-6.7","0,0304","-8.9","0,0303","2152.0","","2152.0","0","1179.5",",0","","","459",",0","13.39","0","18.92","0","7.87","0","","","","","","","","","","","","","","","","","",""
"USW00013733","1951","37.3208","-79.2067","286.5","LYNCHBURG INTERNATIONAL AIRPORT, VA US","","","676.2","","676.2","0","131","0","78","0","6","","4","0","0","0","94","0","11","0","173","0","36","0","-13.3","0,1217,+","51",",0,1220,+","43",",0,0113,","59.7",",0,1101,","35.6","0,0723,+","-2.8","0,1103","-2.8","0,1103","-5.0","0,1104","-7.8","0,1120","-9.4","0,1215","-0.6","0,0418","-2.2","0,0325","-4.4","0,0310","-8.9","0,0211","-8.9","0,0211","2431.0","","2431.0","0","1010.8",",0","","","167",",0","13.61","0","19.42","0","7.80","0","","","","","","","","","","","","","","","","","",""
"USW00013733","1952","37.3208","-79.2067","286.5","LYNCHBURG INTERNATIONAL AIRPORT, VA US","","","676.0","","676.0","0","132","0","84","0","3","","4","0","0","0","75","0","2","0","182","0","34","0","-10.6","0,0130,","25",",0,1203,+","53",",0,0224,","64.3",",0,0831,","37.8","0,0728,","-1.7","0,1020","-5.0","0,1021","-5.0","0,1021","-6.7","0,1201","-8.9","0,1229","-0.6","0,0329","-3.3","0,0309","-4.4","0,0308","-10.0","0,0131","-10.0","0,0131","2260.5","","2260.5","0","1269.1",",0","","","172",",0","13.98","0","19.75","0","8.22","0","","","","","","","","","","","","","","","","","",""
"USW00013733","1953","37.3208","-79.2067","286.5","LYNCHBURG INTERNATIONAL AIRPORT, VA US","","","751.8","","751.8","0","103","0","70","0","4","","2","0","0","0","70","0","4","0","195","0","47","0","-11.7","0,1218,","127",",0,0303,+","122",",0,0302,","61.0",",0,0912,","37.8","0,0730,","-1.7","0,1106","-3.9","0,1107","-6.7","0,1129","-6.7","0,1129","-8.9","0,1217","-1.1","0,0421","-2.8","0,0310","-4.4","0,0309","-6.7","0,0105","","","2196.4","","2196.4","0","1026.3",",0","","","229",",0","14.63","0","20.60","0","8.67","0","","","","","","","","","","","","","","","","","",""
"USW00013733","1954","37.3208","-79.2067","286.5","LYNCHBURG INTERNATIONAL AIRPORT, VA US","","","767.0","","767.0","0","103","0","65","0","5","","3","0","0","0","94","0","9","0","178","0","38","0","-12.8","0,0113,","102",",0,0123,","99",",0,0122,","126.5",",0,1015,","39.4","0,0714,","-2.8","0,1031","-2.8","0,1031","-4.4","0,1127","-8.3","0,1207","-10.0","0,1221","-0.6","0,0405","-3.9","0,0322","-5.0","0,0307","-8.9","0,0208","-8.9","0,0208","2207.6","","2207.6","0","893.8",",0","","","219",",0","13.95","0","19.94","0","7.96","0","","","","","","","","","","","","","","","","","",""
