"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003013","2008","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.4","W","647.5","","647.5","W","60","W","23","W","","","4","W","167","W","15","W","190","W","69","W","-21.0","W,0206,+","","","24.1",",W,0814,","42.8","W,0801,","-4.3","W,1023","-4.3","W,1023","-4.9","W,1024","-7.7","W,1115","-9.9","W,1204","-2.7","W,0511","-2.7","W,0511","-5.5","W,0404","-7.7","W,0320","-9.3","W,0310","3122.9","","3122.9","W","240.3",",W","","","11.71","W","21.00","W","2.42","W","210","W","30","W","25.9","W","62.1","W"
"USW00003013","2009","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.1","W","545.9","","545.9","W","69","W","28","W","","","4","W","160","W","17","W","182","W","64","W","-25.5","W,1209,","","","49.8",",W,0726,","40.0","W,0713,","0.0","W,1001","-4.3","W,1002","-4.9","W,1010","-7.1","W,1030","-9.3","W,1116","-4.9","W,0408","-4.9","W,0408","-4.9","W,0408","-7.7","W,0407","-14.9","W,0328","2824.8","","2824.8","W","312.7",",W","","","11.37","W","20.29","W","2.44","W","80","W","40","W","25.0","W","76.4","W"
"USW00003013","2010","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","","","","","","","57","W","24","W","","","","","","","","","","","","","","","","","32.3",",W,0731,","","","","","","","","","","","","","","","","","","","","","","","3280.2","","3280.2","W","292.1",",W","","","","","","","","","","","","","","","",""
"USW00003013","2011","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.2","W","835.8","","835.8","W","50","W","19","W","","","20","W","168","W","27","W","200","W","96","W","-29.9","W,0210,+","","","15.2",",W,0728,","41.1","W,0726,+","0.0","W,1010","-3.2","W,1019","-6.0","W,1027","-7.1","W,1103","-9.3","W,1130","-1.0","W,0516","-2.7","W,0503","-5.5","W,0416","-7.7","W,0325","-9.3","W,0309","","","","","155.8",",W","","","11.62","W","21.38","W","1.87","W","250","W","210","W","25.9","W","54.5","W"
"USW00003013","2012","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.2","W","884.7","","884.7","W","46","W","19","W","0","W","5","W","143","W","7","W","218","W","99","W","-23.2","W,1226,+","0",",W,1231,+","19.3",",W,0927,","44.4","W,0627,","-0.5","W,1007","-3.2","W,1008","-4.9","W,1027","-7.1","W,1028","-13.2","W,1112","-0.5","W,0416","-2.7","W,0316","-10.5","W,0309","-10.5","W,0309","-10.5","W,0309","2769.1","","2769.1","W","157.6",",W","0",",W","13.32","W","23.05","W","3.58","W","210","W","99","W","23.7","W","44.3","W"
"USW00003013","2013","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.3","W","853.9","","853.9","W","57","W","22","W","","","3","W","180","W","14","W","189","W","88","W","-21.6","W,1209,","","","46.7",",W,0617,","43.9","W,0611,","-1.0","W,1005","-2.7","W,1019","-6.0","W,1102","-8.2","W,1106","-9.9","W,1125","0.0","W,0506","-3.2","W,0505","-4.9","W,0503","-11.0","W,0411","-11.0","W,0411","3078.3","","3078.3","W","263.7",",W","","","12.02","W","21.49","W","2.55","W","270","W","200","W","23.7","W","28.2","W"
"USW00003013","2014","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.4","W","714.3","","714.3","W","67","W","31","W","","","14","W","164","W","27","W","194","W","77","W","-27.7","W,0106,","","","34.3",",W,0826,","41.1","W,0707,","0.0","W,1004","-2.7","W,1104","-4.9","W,1105","-7.1","W,1110","-12.7","W,1112","-2.1","W,0514","-2.7","W,0502","-6.6","W,0415","-8.2","W,0313","-21.0","W,0303","3056.6","","3056.6","W","307.1",",W","","","11.79","W","20.91","W","2.66","W","250","W","230","W","26.4","W","34.9","W"
"USW00003013","2015","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","3.9","W","732.4","","732.4","W","76","W","42","W","","","3","W","144","W","20","W","215","W","86","W","-21.0","W,0104,","","","51.1",",W,0519,","40.0","W,0713,","-0.5","W,1016","-4.3","W,1107","-4.9","W,1109","-7.7","W,1112","-9.9","W,1122","0.0","W,0511","-4.3","W,0410","-5.5","W,0309","-7.1","W,0306","-11.6","W,0305","2867.1","","2867.1","W","536.6",",W","","","12.92","W","21.80","W","4.04","W","200","W","210","W","27.7","W","34.0","W"
"USW00003013","2016","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.1","W","739.2","","739.2","W","41","W","15","W","","","5","W","158","W","9","W","222","W","88","W","-30.5","W,1218,","","","22.9",",W,0628,","41.7","W,0621,","-1.0","W,1005","-3.8","W,1007","-4.9","W,1109","-8.8","W,1110","-9.3","W,1112","-2.7","W,0502","-2.7","W,0502","-6.0","W,0402","-8.8","W,0401","-15.5","W,0320","2658.7","","2658.7","W","142.2",",W","","","12.90","W","22.93","W","2.88","W","99","W","340","W","44.3","W","32.2","W"
"USW00003013","2017","38.07","-102.68806","1129.0","LAMAR MUNICIPAL AIRPORT, CO US","4.0","W","626.6","","626.6","W","60","W","36","W","","","2","W","155","W","11","W","213","W","72","W","-24.9","W,0107,","","","41.4",",W,0715,","40.6","W,0711,+","-0.5","W,1010","-4.3","W,1015","-6.0","W,1022","-8.8","W,1118","-11.0","W,1119","-1.0","W,0504","-2.7","W,0410","-6.0","W,0315","-7.1","W,0314","-9.9","W,0304","2661.5","","2661.5","W","473.7",",W","","","12.65","W","22.11","W","3.20","W","260","W","250","W","21.5","W","26.4","W"
