"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00049001","1968","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","581.3","","581.3","0","48","0","27","0","0","","0","0","0","0","28","0","0","0","208","0","62","0","-5.0","0,0105,","0",",0,1231,+","0",",0,1231,+","65.8",",0,0130,","41.1","0,0705,","2489.2","0","0.0","0,1128","-3.3","0,1203","-4.4","0,1221","","","-1.1","0,0128","-2.8","0,0112","-5.0","0,0105","1364.2","","1364.2","0","","","","","309.5",",0","0",",0","15.94","0","22.92","0","8.95","0","",""
"USC00049001","1969","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","754.9","","754.9","0","56","0","35","0","0","","0","0","0","0","18","0","0","0","205","0","81","0","-3.9","0,1129,","0",",0,1231,+","0",",0,1231,+","29.7",",0,0125,","42.2","0,0803,","2471.6","0","-0.6","0,1118","-2.2","0,1127","","","","","0.0","0,0208","-2.8","0,0110","","","1541.8","","1541.8","0","","","","","334.3",",0","0",",0","16.32","0","23.30","0","9.34","0","",""
"USC00049001","1970","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","745.5","","745.5","0","69","0","39","0","0","","0","0","0","0","8","0","0","0","205","0","84","0","-3.3","0,0106,+","0",",0,1231,+","0",",0,1231,+","42.4",",0,1129,","40.6","0,0810,+","2599.4","0","0.0","0,1212","","","","","","","-3.3","0,0106","-3.3","0,0106","","","1294.3","","1294.3","0","","","","","441.2",",0","0",",0","16.79","0","23.81","0","9.77","0","",""
"USC00049001","1971","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","697.1","","697.1","0","46","0","21","0","0","","0","0","0","0","31","0","0","0","181","0","73","0","-3.9","0,1218,+","0",",0,1231,+","0",",0,1231,+","29.2",",0,0502,","43.9","0,0810,","","","-1.1","0,1030","-3.9","0,1217","","","","","-1.7","0,0306","-3.9","0,0302","","","1525.6","","1525.6","0","","","","","177.2",",0","0",",0","15.80","0","22.72","0","8.88","0","",""
"USC00049001","1972","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","56","0","23","0","0","","0","0","0","0","32","0","","","","","","","-6.1","0,1212,+","0",",0,1231,+","0",",0,1231,+","35.1",",0,1111,","","","","","-1.7","0,1123","-3.9","0,1205","-6.1","0,1209","","","-2.2","0,0203","-2.2","0,0203","","","1439.1","","1439.1","","","","","","236.8",",0","0",",0","","","","","9.53","0","74046","0"
"USC00049001","1973","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","766.4","","766.4","0","72","0","41","0","0","","0","0","0","0","8","0","0","0","201","0","74","0","-6.1","0,0107,","0",",0,1231,+","0",",0,1231,+","25.9",",0,0227,","42.2","0,0626,+","","","","","","","","","","","-1.1","0,0127","-6.1","0,0107","-6.1","0,0107","","","","","","","","","473.2",",0","0",",0","16.59","0","23.17","0","10.01","0","72252","0"
"USC00049001","1974","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","776.3","","776.3","0","54","0","25","0","0","","0","0","0","0","15","0","0","0","203","0","83","0","-3.9","0,1226,+","0",",0,1231,+","0",",0,1231,+","25.9",",0,1203,","40.6","0,0725,","","","0.0","0,1129","-3.9","0,1225","","","","","-1.1","0,0309","-2.8","0,0109","","","1398.2","","1398.2","0","","","","","212.9",",0","0",",0","16.50","0","23.51","0","9.50","0","69425","0"
"USC00049001","1975","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","644.9","","644.9","0","49","0","27","0","0","","0","0","0","0","22","0","0","0","183","0","63","0","-3.9","0,1217,+","0",",0,1231,+","0",",0,1231,+","24.6",",0,0201,","41.7","0,0726,","","","-1.7","0,1122","-3.9","0,1215","","","","","-1.1","0,0224","-2.2","0,0114","","","1552.1","","1552.1","0","","","","","247.7",",0","0",",0","15.77","0","22.62","0","8.92","0","71001","0"
"USC00049001","1976","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","703.4","","703.4","0","37","0","18","0","0","","0","0","0","0","41","0","0","0","232","0","59","0","-5.0","0,0103,+","0",",0,1231,+","0",",0,1231,+","22.1",",0,0928,","40.6","0,0628,","","","-0.6","0,1128","-2.8","0,1211","","","","","-0.6","0,0304","-2.8","0,0104","-5.0","0,0103","1425.8","","1425.8","0","","","","","138.5",",0","0",",0","16.57","0","23.79","0","9.36","0","",""
"USC00049001","1977","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","704.5","","704.5","0","44","0","27","0","0","","0","0","0","0","5","0","0","0","222","0","59","0","-2.2","0,0109,","0",",0,1231,+","0",",0,1231,+","24.1",",0,1121,","41.7","0,0730,","","","0.0","0,1216","","","","","","","0.0","0,0111","-2.2","0,0109","","","1346.5","","1346.5","0","","","","","201.3",",0","0",",0","16.85","0","23.69","0","10.01","0","69751","0"
