"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00369312","1923","40.18333","-80.23333","350.5","WASHINGTON, PA US","","","","","","","3","6","145","6","-20.6","6,0224,","","","","","-1.7","6,1005","-2.8","6,1006","-5.0","6,1007","-7.2","6,1102","-10.0","6,1214","-1.1","6,0514","-3.3","6,0426","-5.6","6,0402","-15.0","6,0401","-15.0","6,0401","","","","","3.23","6"
"USC00369312","1926","40.18333","-80.23333","350.5","WASHINGTON, PA US","177","6","91","6","19","6","","","","","","","152",",6,0108,","52.3",",6,0905,","","","","","","","","","","","","","","","","","","","","","1014.5",",6","1423",",6","",""
"USC00369312","1950","40.18333","-80.23333","350.5","WASHINGTON, PA US","123","0","78","0","","","","","","","","","","","88.4",",0,0624,","","","","","","","","","","","","","","","","","","","","","1189.2",",0","","","",""
