"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00391102","1974","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","80","0","44","0","64","","12","0","","","","","","","203",",0,0107,+","127",",0,0221,","31.8",",0,0609,","","","","","","","","","","","","","","","","","","","","","411.3",",0","488",",0","",""
"USC00391102","1975","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","97","0","55","0","139","","22","0","","","","","","","533",",0,0329,+","330",",0,0324,","36.6",",0,0801,","","","","","","","","","","","","","","","","","","","","","576.3",",0","1522",",0","",""
"USC00391102","1976","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","62","0","33","0","79","","19","0","","","","","","","254",",0,0119,+","102",",0,0216,","38.9",",0,0610,","","","","","","","","","","","","","","","","","","","","","323.7",",0","939",",0","",""
"USC00391102","1977","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","95","0","57","0","108","","24","0","","","","","","","279",",0,1231,","229",",0,1109,","84.3",",0,0615,","","","","","","","","","","","","","","","","","","","","","966.0",",0","1367",",0","",""
"USC00391102","1978","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","88","0","54","0","126","","18","0","","","","","","","432",",0,0306,+","76",",0,1203,+","36.6",",0,0525,","","","","","","","","","","","","","","","","","","","","","525.9",",0","656",",0","",""
"USC00391102","1979","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","93","0","44","0","104","","19","0","","","","","","","610",",0,0223,+","127",",0,0126,","37.6",",0,0724,","","","","","","","","","","","","","","","","","","","","","579.4",",0","787",",0","",""
"USC00391102","1980","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","78","0","38","0","60","","16","0","","","","","","","127",",0,0218,+","51",",0,1201,+","40.4",",0,0816,","","","","","","","","","","","","","","","","","","","","","476.8",",0","504",",0","",""
"USC00391102","1981","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","95","0","50","0","59","","9","0","","","","","","","152",",0,1220,+","102",",0,1201,+","40.9",",0,0722,","","","","","","","","","","","","","","","","","","","","","571.2",",0","456",",0","",""
"USC00391102","1982","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","95","0","57","0","76","","19","0","","","","","","","559",",0,0126,+","152",",0,0120,","63.0",",0,0721,","","","","","","","","","","","","","","","","","","","","","776.5",",0","987",",0","",""
"USC00391102","1983","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","90","0","58","0","100","","23","0","","","","","","","305",",0,1230,+","152",",0,1128,","27.9",",0,0830,+","","","","","","","","","","","","","","","","","","","","","525.1",",0","1114",",0","",""
"USC00391102","1984","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","89","0","58","0","81","","12","0","","","","","","","279",",0,0101,","203",",0,0304,","42.4",",0,0619,","","","","","","","","","","","","","","","","","","","","","740.9",",0","672",",0","",""
"USC00391102","1985","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","87","0","49","0","118","","18","0","","","","","","","711",",0,0304,","152",",0,1130,","94.2",",0,0908,","","","","","","","","","","","","","","","","","","","","","738.8",",0","1533",",0","",""
"USC00391102","1986","44.5547","-97.4686","557.8","BRYANT 1 NE, SD US","97","0","59","0","94","","13","0","","","","","","","356",",0,0224,+","203",",0,0318,","79.2",",0,0414,","","","","","","","","","","","","","","","","","","","","","800.2",",0","658",",0","",""
