"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00152548","1958","36.8077","-87.153","188.7","ELKTON, KY US","104","0","80","0","","","","","","","","","57.2",",0,0714,","","","","","963.6",",0","",""
"USC00152548","1959","36.8077","-87.153","188.7","ELKTON, KY US","113","0","87","0","2","","2","0","25",",0,1129,+","38",",0,1129,","49.8",",0,0901,","","","","","1107.1",",0","76",",0"
"USC00152548","1960","36.8077","-87.153","188.7","ELKTON, KY US","98","0","65","0","23","","10","0","330",",0,0311,+","330",",0,0309,","125.5",",0,0628,","","","","","927.6",",0","888",",0"
"USC00152548","1961","36.8077","-87.153","188.7","ELKTON, KY US","123","0","89","0","5","","2","0","51",",0,0127,","38",",0,1231,+","50.8",",0,0615,","","","","","1353.6",",0","102",",0"
"USC00152548","1962","36.8077","-87.153","188.7","ELKTON, KY US","114","0","69","0","7","","3","0","51",",0,0208,+","51",",0,0208,+","72.4",",0,0226,","","","","","1222.2",",0","158",",0"
"USC00152548","1963","36.8077","-87.153","188.7","ELKTON, KY US","90","0","59","0","11","","3","0","152",",0,1225,+","152",",0,1223,","77.5",",0,0829,","","","","","823.0",",0","228",",0"
"USC00152548","1964","36.8077","-87.153","188.7","ELKTON, KY US","101","0","75","0","9","","3","0","102",",0,0102,+","102",",0,0101,","61.7",",0,1204,","","","","","1214.2",",0","242",",0"
"USC00152548","1965","36.8077","-87.153","188.7","ELKTON, KY US","104","0","74","0","11","","7","0","51",",0,0225,+","51",",0,0225,+","47.5",",0,0703,","","","","","1063.5",",0","323",",0"
"USC00152548","1966","36.8077","-87.153","188.7","ELKTON, KY US","112","0","76","0","14","","5","0","102",",0,1224,+","102",",0,1224,","73.4",",0,0102,","","","","","1207.9",",0","367",",0"
"USC00152548","1967","36.8077","-87.153","188.7","ELKTON, KY US","104","0","70","0","3","","3","0","76",",0,1231,","76",",0,1231,","108.0",",0,0515,","","","","","1161.2",",0","136",",0"
