"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00290600","1906","32.7547","-104.3835","1026.0","ARTESIA 6 S, NM US","725.9","","725.9","6","48","6","37","6","","","","","0","6","105","6","5","6","238","6","66","6","-15.6","6,1122,+","","","","","24.1",",6,0717,","37.8","6,0622,","","","-0.6","6,1022","-5.0","6,1023","-5.0","6,1023","-7.2","6,1119","-11.7","6,1120","0.0","6,0321","-5.6","6,0320","-5.6","6,0320","-8.9","6,0303","-8.9","6,0303","","","","","331.1",",6","","","15.11","6","23.63","6","6.60","6","",""
"USC00290600","1910","32.7547","-104.3835","1026.0","ARTESIA 6 S, NM US","","","","","29","6","12","6","","","0","6","","","","","","","","","","","","","","","0","T,6,1229,","34.3",",6,0814,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139.0",",6","0","T,6","","","","","","","",""
"USC00290600","1911","32.7547","-104.3835","1026.0","ARTESIA 6 S, NM US","","","","","45","6","31","6","","","1","6","","","","","","","","","","","","","","","38",",6,0123,","139.7",",6,0724,","","","","","","","","","","","","","","","","","","","","","","","","","1413.3","","1413.3","","486.0",",6","56",",6","","","","","","","",""
"USC00290600","1912","32.7547","-104.3835","1026.0","ARTESIA 6 S, NM US","883.1","","883.1","6","32","6","27","6","","","2","6","0","6","122","6","0","6","248","6","107","6","-13.9","6,0112,","","","127",",6,1206,","39.4",",6,0929,","40.0","6,0810,+","","","0.0","6,1029","-6.7","6,1102","-6.7","6,1102","-6.7","6,1102","-10.6","6,1207","0.0","6,0417","-2.2","6,0402","-6.1","6,0324","-10.6","6,0221","-10.6","6,0221","","","","","242.1",",6","229",",6","15.29","6","25.12","6","5.47","6","",""
"USC00290600","1913","32.7547","-104.3835","1026.0","ARTESIA 6 S, NM US","844.7","","844.7","6","38","6","25","6","","","3","6","3","6","114","6","5","6","233","6","112","6","-23.9","6,0108,","","","102",",6,0207,","58.2",",6,0904,","42.2","6,0711,","","","0.0","6,1020","-3.9","6,1027","-6.1","6,1029","-8.9","6,1208","-8.9","6,1208","-1.1","6,0425","-2.8","6,0412","-4.4","6,0328","-6.7","6,0316","-8.9","6,0127","2008.0","","2008.0","6","304.3",",6","152",",6","15.22","6","24.83","6","5.62","6","",""
"USC00290600","1914","32.7547","-104.3835","1026.0","ARTESIA 6 S, NM US","1015.5","","1015.5","6","51","6","32","6","","","4","6","0","6","107","6","0","6","264","6","114","6","-12.2","6,0207,","","","152",",6,1224,","55.4",",6,1024,","40.6","6,0801,+","","","-0.6","6,1015","-2.2","6,1116","-5.6","6,1119","-9.4","6,1214","-9.4","6,1214","0.0","6,0413","-3.3","6,0323","-8.9","6,0322","-8.9","6,0322","-8.9","6,0322","1704.3","","1704.3","6","387.8",",6","289",",6","16.49","6","25.86","6","7.11","6","",""
"USC00290600","1915","32.7547","-104.3835","1026.0","ARTESIA 6 S, NM US","925.4","","925.4","6","39","6","29","6","","","4","6","0","6","110","6","0","6","254","6","110","6","-15.6","6,0124,","","","140",",6,0311,+","57.2",",6,0416,","43.3","6,0711,","","","0.0","6,1027","-3.3","6,1111","-5.0","6,1112","-9.4","6,1115","-9.4","6,1115","0.0","6,0507","-3.9","6,0322","-4.4","6,0310","-7.2","6,0208","-8.9","6,0207","1867.9","","1867.9","6","344.8",",6","356",",6","16.10","6","26.17","6","6.04","6","",""
"USC00290600","1916","32.7547","-104.3835","1026.0","ARTESIA 6 S, NM US","1023.3","","1023.3","6","30","6","26","6","","","3","6","0","6","97","6","1","6","282","6","125","6","-13.3","6,1215,+","","","102",",6,1122,","57.2",",6,0823,","43.9","6,0626,","","","0.0","6,1020","-5.6","6,1109","-5.6","6,1109","-13.3","6,1114","-13.3","6,1114","-1.1","6,0502","-3.9","6,0408","-5.6","6,0219","-8.9","6,0204","-8.9","6,0204","1370.1","","1370.1","6","353.9",",6","165",",6","16.91","6","27.29","6","6.52","6","",""
"USC00290600","1917","32.7547","-104.3835","1026.0","ARTESIA 6 S, NM US","","","","","16","6","9","6","","","2","6","","","","","","","","","","","","","","","51",",6,0303,","27.9",",6,0916,","","","","","","","","","","","","","","","","","","","","","","","","","1790.9","","1790.9","6","100.8",",6","89",",6","","","","","","","",""
"USC00290600","1918","32.7547","-104.3835","1026.0","ARTESIA 6 S, NM US","1102.2","","1102.2","6","30","6","27","6","","","7","6","5","6","102","6","7","6","258","6","137","6","-23.9","6,0111,","","","152",",6,0110,","15.5",",6,1009,","46.7","6,0629,","","","-1.1","6,1027","-2.8","6,1108","-6.7","6,1126","-6.7","6,1126","-16.7","6,1130","-2.2","6,0421","-2.2","6,0421","-5.0","6,0318","-7.8","6,0317","-10.6","6,0202","","","","","190.7",",6","560",",6","16.34","6","26.29","6","6.39","6","",""
