"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10gard010","2008","41.9762","-102.3879","1183.8","LAKESIDE 5.8 SSE, NE US","63","N","44","N","31.8",",N,0717,","472.7",",N"
"US10gard010","2009","41.9762","-102.3879","1183.8","LAKESIDE 5.8 SSE, NE US","94","N","60","N","36.1",",N,0703,","519.5",",N"
"US10gard010","2010","41.9762","-102.3879","1183.8","LAKESIDE 5.8 SSE, NE US","67","N","43","N","68.6",",N,0810,","526.6",",N"
"US10gard010","2011","41.9762","-102.3879","1183.8","LAKESIDE 5.8 SSE, NE US","69","N","44","N","36.3",",N,0805,","481.7",",N"
"US10gard010","2012","41.9762","-102.3879","1183.8","LAKESIDE 5.8 SSE, NE US","37","N","24","N","18.8",",N,0427,","168.2",",N"
"US10gard010","2013","41.9762","-102.3879","1183.8","LAKESIDE 5.8 SSE, NE US","77","N","43","N","25.4",",N,0709,","392.8",",N"
"US10gard010","2014","41.9762","-102.3879","1183.8","LAKESIDE 5.8 SSE, NE US","79","N","51","N","62.0",",N,0930,","566.1",",N"
