"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00125837","1911","40.755","-86.76222","208.8","MONTICELLO, IN US","","","","","105","6","89","6","","","","","","","","","","","","","","","","","","","","","52.8",",6,0117,","","","","","","","","","","","","","","","","","","","","","","","1023.8",",6","","","","","","","",""
"USC00125837","1912","40.755","-86.76222","208.8","MONTICELLO, IN US","","","","","89","6","72","6","","","","","","","","","","","","","","","","","","","","","53.8",",6,0708,","","","","","","","","","","","","","","","","","","","","","","","968.7",",6","","","","","","","",""
"USC00125837","1913","40.755","-86.76222","208.8","MONTICELLO, IN US","","","","","100","6","87","6","","","","","","","","","","","","","","","","","","","","","84.1",",6,0811,","","","","","","","","","","","","","","","","","","","","","","","1079.9",",6","","","","","","","",""
"USC00125837","1914","40.755","-86.76222","208.8","MONTICELLO, IN US","","","","","69","6","54","6","","","","","","","","","","","","","","","","","","","","","37.3",",6,0327,","","","","","","","","","","","","","","","","","","","","","","","570.3",",6","","","","","","","",""
"USC00125837","1918","40.755","-86.76222","208.8","MONTICELLO, IN US","","","","","115","6","82","6","","","","","","","","","","","","","","","","","","","","","80.0",",6,0905,","","","","","","","","","","","","","","","","","","","","","","","949.6",",6","","","","","","","",""
"USC00125837","1919","40.755","-86.76222","208.8","MONTICELLO, IN US","","","","","89","6","74","6","","","","","","","","","","","","","","","","","","","","","77.0",",6,1001,","","","","","","","","","","","","","","","","","","","","","","","849.9",",6","","","","","","","",""
"USC00125837","1920","40.755","-86.76222","208.8","MONTICELLO, IN US","","","","","91","6","62","6","","","","","","","","","","","","","","","","","","","","","69.9",",6,0714,","","","","","","","","","","","","","","","","","","","","","","","744.7",",6","","","","","","","",""
"USC00125837","1927","40.755","-86.76222","208.8","MONTICELLO, IN US","","","","","130","6","84","6","","","","","","","","","","","","","","","","","","","","","74.9",",6,0930,","","","","","","","","","","","","","","","","","","","","","","","1205.2",",6","","","","","","","",""
"USC00125837","1928","40.755","-86.76222","208.8","MONTICELLO, IN US","434.1","","434.1","6","115","6","64","6","","","","","3","6","147","6","26","6","143","6","18","6","-23.3","6,0102,+","","","","","38.6",",6,0619,","36.1","6,0816,+","-2.8","6,0923","-2.8","6,0923","-7.2","6,1029","-7.2","6,1029","-10.6","6,1125","-1.1","6,0512","-4.4","6,0425","-4.4","6,0425","-6.7","6,0306","-10.0","6,0305","699.0",",6","","","9.71","6","15.54","6","3.89","6"
"USC00125837","1929","40.755","-86.76222","208.8","MONTICELLO, IN US","","","","","113","6","75","6","","","","","","","","","53","6","144","6","18","6","","","","","","","64.8",",6,0611,","35.6","6,0731,+","","","","","","","","","","","","","","","","","","","","","1106.6",",6","","","","","14.93","6","",""
"USC00125837","1930","40.755","-86.76222","208.8","MONTICELLO, IN US","552.8","","552.8","6","98","6","60","6","","","","","9","6","130","6","43","6","158","6","36","6","-28.9","6,0117,","","","","","69.3",",6,0727,","40.0","6,0721,+","-3.3","6,1018","-3.3","6,1018","-8.9","6,1020","-8.9","6,1020","-8.9","6,1020","-2.8","6,0425","-2.8","6,0425","-5.6","6,0401","-7.2","6,0327","-9.4","6,0303","781.0",",6","","","10.43","6","16.44","6","4.41","6"
"USC00125837","1932","40.755","-86.76222","208.8","MONTICELLO, IN US","","","","","103","6","73","6","","","","","","","","","","","","","","","","","","","","","47.0",",6,1026,","","","","","","","","","","","","","","","","","","","","","","","803.4",",6","","","","","","","",""
"USC00125837","1933","40.755","-86.76222","208.8","MONTICELLO, IN US","","","","","99","6","63","6","","","","","","","","","","","","","","","","","","","","","88.4",",6,0927,","","","","","","","","","","","","","","","","","","","","","","","881.8",",6","","","","","","","",""
