"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00286460","1946","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","119","6","73","6","","","","","","","","","78.0",",6,0723,","1169.1",",6","",""
"USC00286460","1947","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","120","6","85","6","","","","","","","","","88.6",",6,1108,","1446.7",",6","",""
"USC00286460","1948","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","147","0","97","0","","","","","","","","","68.1",",0,1230,","1420.3",",0","",""
"USC00286460","1949","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","","","","","43","","13","0","229",",0,0301,","127",",0,0301,+","","","1057.4",",0","826",",0"
"USC00286460","1950","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","","","","","61","","13","0","203",",0,1228,+","127",",0,1216,","","","","","904",",0"
"USC00286460","1952","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","135","0","102","0","50","","19","0","229",",0,1203,","152",",0,1203,","138.7",",0,0901,","1822.1",",0","921",",0"
"USC00286460","1953","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","120","0","89","0","26","","","","127",",0,1107,","","","62.7",",0,0407,","1231.9",",0","",""
"USC00286460","1954","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","124","0","83","0","22","","8","0","305",",0,0116,","178",",0,0111,","67.8",",0,0831,","1197.8",",0","508",",0"
"USC00286460","1955","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","122","0","81","0","41","","11","0","152",",0,0215,+","152",",0,0212,","134.6",",0,0813,","1443.5",",0","818",",0"
"USC00286460","1956","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","151","0","107","0","36","","9","0","660",",0,0320,","406",",0,0319,","55.1",",0,0709,","1366.5",",0","1409",",0"
"USC00286460","1957","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","124","0","85","0","50","","16","0","203",",0,1205,","127",",0,0405,+","83.8",",0,1221,","1170.2",",0","1129",",0"
"USC00286460","1958","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","129","0","97","0","77","","18","0","838",",0,0322,","406",",0,0321,","56.9",",0,0928,","1407.7",",0","2129",",0"
"USC00286460","1959","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","129","0","89","0","31","","9","0","203",",0,1222,+","203",",0,1222,","76.7",",0,0809,","1328.1",",0","844",",0"
"USC00286460","1960","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","132","0","96","0","87","","15","0","635",",0,0306,+","508",",0,0304,","73.4",",0,0913,","1442.7",",0","1673",",0"
"USC00286460","1961","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","132","0","101","0","96","","26","0","1270",",0,0205,","584",",0,0120,","56.4",",0,0721,","1281.0",",0","2454",",0"
"USC00286460","1962","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","131","0","89","0","91","","18","0","229",",0,0222,+","127",",0,0210,","51.8",",0,1110,","1096.8",",0","1124",",0"
"USC00286460","1963","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","102","0","69","0","","","15","0","","","216",",0,0127,","52.8",",0,1107,","965.3",",0","1172",",0"
"USC00286460","1964","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","114","0","70","0","","","12","0","","","178",",0,0219,","51.8",",0,1126,","919.6",",0","1163",",0"
"USC00286460","1965","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","127","0","73","0","48","","12","0","127",",0,0202,+","114",",0,0111,","54.6",",0,0925,","849.2",",0","755",",0"
"USC00286460","1966","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","115","0","72","0","59","","15","0","508",",0,1225,+","305",",0,1225,","60.5",",0,0922,","1061.7",",0","1699",",0"
"USC00286460","1967","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","135","0","90","0","90","","24","0","381",",0,0208,","203",",0,0322,+","103.1",",0,0804,","1202.5",",0","1921",",0"
"USC00286460","1968","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","119","0","78","0","65","","9","0","305",",0,0117,+","152",",0,1215,","57.4",",0,0529,","1149.2",",0","640",",0"
"USC00286460","1969","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","133","0","89","0","","","11","0","","","279",",0,0303,","74.2",",0,0615,","1365.3",",0","1319",",0"
"USC00286460","1970","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","130","0","87","0","","","15","0","","","254",",0,0330,","71.9",",0,0801,","1240.7",",0","1048",",0"
"USC00286460","1971","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","130","0","89","0","","","13","0","","","216",",0,0407,","141.7",",0,0828,","1388.0",",0","1120",",0"
"USC00286460","1972","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","155","0","120","0","","","14","0","","","254",",0,0219,","112.3",",0,0601,","1726.4",",0","1030",",0"
"USC00286460","1973","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","130","0","91","0","9","","4","0","356",",0,0130,+","356",",0,0129,","112.3",",0,1030,","1442.2",",0","663",",0"
"USC00286460","1974","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","131","0","96","0","","","8","0","","","152",",0,0330,","66.5",",0,0902,","1318.0",",0","597",",0"
"USC00286460","1975","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","141","0","101","0","","","11","0","","","203",",0,0213,","63.2",",0,0713,","1451.7",",0","844",",0"
"USC00286460","1976","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","116","0","88","0","","","12","0","","","152",",0,0310,+","66.8",",0,0918,","1226.9",",0","943",",0"
"USC00286460","1977","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","130","0","92","0","","","19","0","","","127",",0,0115,","66.3",",0,0323,","1297.3",",0","1045",",0"
"USC00286460","1978","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","117","0","81","0","","","20","0","","","660",",0,0207,","63.8",",0,0808,","1226.8",",0","2267",",0"
"USC00286460","1979","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","134","0","106","0","","","17","0","","","140",",0,0219,","70.6",",0,0125,","1609.2",",0","1120",",0"
"USC00286460","1980","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","114","0","72","0","40","","16","0","203",",0,0315,+","203",",0,0314,","91.7",",0,1026,","1135.0",",0","1156",",0"
"USC00286460","1981","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","107","0","78","0","54","","9","0","279",",0,1216,","229",",0,1216,","70.1",",0,0512,","1073.0",",0","791",",0"
"USC00286460","1982","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","112","0","76","0","","","16","0","","","191",",0,0114,","71.1",",0,0529,","1248.1",",0","992",",0"
"USC00286460","1983","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","108","0","82","0","43","","9","0","711",",0,0212,","660",",0,0212,","82.6",",0,0319,","1727.7",",0","1366",",0"
"USC00286460","1984","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","115","0","75","0","","","13","0","","","292",",0,0309,","95.8",",0,0405,","1336.6",",0","1307",",0"
"USC00286460","1985","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","129","0","84","0","","","14","0","","","152",",0,0202,","69.6",",0,0928,","1237.4",",0","802",",0"
"USC00286460","1986","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","120","0","83","0","56","","13","0","254",",0,0212,","152",",0,0423,","70.6",",0,0417,","1318.1",",0","832",",0"
"USC00286460","1987","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","117","0","78","0","72","","15","0","406",",0,0123,","330",",0,0123,","115.6",",0,0914,","1439.5",",0","1229",",0"
"USC00286460","1988","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","103","0","65","0","40","","8","0","330",",0,0213,","279",",0,0212,","55.6",",0,1121,","1041.3",",0","825",",0"
"USC00286460","1990","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","124","0","90","0","21","","9","0","229",",0,1228,","229",",0,1228,","102.4",",0,1014,","1564.2",",0","661",",0"
"USC00286460","1991","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","91","0","67","0","21","","3","0","152",",0,0113,+","152",",0,0112,","66.5",",0,0925,","940.7",",0","376",",0"
"USC00286460","1993","41.0412","-74.49917","268.2","OAK RIDGE RESERVOIR, NJ US","113","0","69","0","","","","","","","","","69.1",",0,0928,","1167.1",",0","",""
