"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1SCOR0003","2009","33.6171","-81.1086","81.1","NORTH 0.3 W, SC US","121","N","72","N","72.4",",N,1111,","1314.6",",N"
"US1SCOR0003","2013","33.6171","-81.1086","81.1","NORTH 0.3 W, SC US","117","N","73","N","142.0",",N,0610,","1484.5",",N"
"US1SCOR0003","2014","33.6171","-81.1086","81.1","NORTH 0.3 W, SC US","103","N","69","N","79.8",",N,1224,","1219.7",",N"
