"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00243113","1895","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","","","","","","","","","","","","","40","6","180","6","","","","","","","-42.8","6,0214,","","","","","","","","","-2.8","6,0907","-2.8","6,0907","-7.2","6,0922","-7.2","6,0922","-10.6","6,1019","-2.8","6,0609","-2.8","6,0609","-6.7","6,0511","-6.7","6,0511","-11.1","6,0421","","","","","","","","","","","","","-2.88","6","",""
"USC00243113","1902","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","107.3","","107.3","6","","","","","","","","","28","6","190","6","60","6","102","6","4","6","-32.2","6,0126,","","","","","","","34.4","6,0801,","-1.1","6,0918","-2.2","6,1013","-6.7","6,1027","-6.7","6,1027","-12.2","6,1108","0.0","6,0506","-2.2","6,0427","-4.4","6,0414","-6.7","6,0402","-8.9","6,0401","","","","","","","","","5.69","6","12.21","6","-0.82","6","",""
"USC00243113","1906","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","254.8","","254.8","6","","","","","","","","","29","6","150","6","53","6","124","6","29","6","-37.2","6,0124,","","","","","","","38.9","6,0812,","-1.1","6,1019","-2.2","6,1020","-4.4","6,1022","-6.7","6,1024","-12.2","6,1118","-1.7","6,0508","-2.2","6,0505","-6.7","6,0402","-6.7","6,0402","-11.1","6,0323","4141.5","","4141.5","6","","","","","7.48","6","14.37","6","0.59","6","",""
"USC00243113","1908","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4074.0","","4074.0","6","","","","","","","","","","","",""
"USC00243113","1912","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","101.0","","101.0","6","44","6","38","6","","","","","25","6","154","6","38","6","110","6","7","6","-35.0","6,0106,","","","","","22.9",",6,0818,","36.7","6,0624,","-1.1","6,0917","-3.3","6,0928","-6.1","6,1010","-6.7","6,1031","-11.1","6,1126","-0.6","6,0419","-3.3","6,0406","-5.6","6,0331","-9.4","6,0330","-9.4","6,0330","4537.5","","4537.5","6","368.3",",6","","","6.57","6","13.17","6","-0.02","6","",""
"USC00243113","1938","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","","","","","77","6","41","6","","","14","6","23","6","141","6","","","","","","","-32.8","6,0216,","","","203",",6,0329,","39.1",",6,0622,","","","-1.1","6,1014","-2.8","6,1022","-5.0","6,1105","-9.4","6,1111","-9.4","6,1111","0.0","6,0510","-3.9","6,0424","-4.4","6,0421","-12.2","6,0401","-12.2","6,0401","","","","","368.3",",6","870",",6","","","","","1.65","6","",""
"USC00243113","1939","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","","","","","","","","","","","13","6","19","6","147","6","","","","","","","-36.7","6,0209,","","","152",",6,0313,","","","","","-0.6","6,1006","-3.9","6,1007","-6.7","6,1024","-6.7","6,1024","-8.9","6,1025","-0.6","6,0420","-2.8","6,0418","-6.1","6,0417","-7.8","6,0411","-12.2","6,0317","","","","","","","882",",6","","","","","1.62","6","",""
"USC00243113","1940","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","","","","","81","6","40","6","","","17","6","34","6","158","6","","","","","","","-31.7","6,0125,","","","165",",6,0326,","27.4",",6,0505,","","","-1.1","6,1006","-3.9","6,1014","-5.0","6,1029","-11.1","6,1105","-11.1","6,1105","-1.1","6,0417","-3.3","6,0413","-12.8","6,0412","-12.8","6,0412","-12.8","6,0412","","","","","280.2",",6","1029",",6","","","","","0.57","6","",""
"USC00243113","1941","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","297.7","","297.7","6","","","","","","","15","6","12","6","180","6","36","6","122","6","28","6","-29.4","6,1228,","","","168",",6,1224,","","","40.6","6,0623,","-0.6","6,0922","-2.2","6,0927","-4.4","6,1006","-10.6","6,1030","-10.6","6,1030","-2.2","6,0510","-2.2","6,0510","-6.7","6,0419","-6.7","6,0419","-16.1","6,0317","3803.3","","3803.3","6","","","1244",",6","8.45","6","16.25","6","0.64","6","",""
"USC00243113","1942","47.8305","-110.6609","807.4","FORT BENTON, MT US","","","174.9","","174.9","6","125","6","50","6","","","30","6","25","6","177","6","38","6","134","6","22","6","-34.4","6,0101,","","","104",",6,0215,","26.7",",6,0730,","37.8","6,0820,","0.0","6,0918","-3.3","6,1017","-5.0","6,1023","-8.9","6,1024","-8.9","6,1024","0.0","6,0519","-2.2","6,0518","-5.6","6,0416","-6.7","6,0331","-8.9","6,0329","4056.2","","4056.2","6","394.0",",6","1644",",6","7.51","6","15.33","6","-0.31","6","",""
