"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00148323","1917","38.6442","-100.1687","800.1","UTICA, KS US","61","6","36","6","17","","5","6","13","6","150","6","-25.0","6,0202,","76",",6,1214,+","51",",6,1208,+","44.7",",6,0709,","-3.3","6,1008","-3.3","6,1008","-6.7","6,1019","-6.7","6,1019","-11.1","6,1023","0.0","6,0507","-7.2","6,0408","-7.2","6,0408","-7.2","6,0408","-10.0","6,0327","3221.8","","3221.8","6","386.1",",6","216",",6","3.28","6"
"USC00148323","1918","38.6442","-100.1687","800.1","UTICA, KS US","65","6","43","6","24","","6","6","","","","","","","254",",6,0121,+","254",",6,0110,","62.5",",6,1220,","","","","","","","","","","","","","","","","","","","","","","","","","565.3",",6","749",",6","",""
"USC00148323","1941","38.6442","-100.1687","800.1","UTICA, KS US","104","6","64","6","35","","18","6","","","","","","","152",",6,0225,","152",",6,0419,","43.4",",6,0608,","","","","","","","","","","","","","","","","","","","","","","","","","723.0",",6","990",",6","",""
"USC00148323","1942","38.6442","-100.1687","800.1","UTICA, KS US","89","6","48","6","30","","12","6","6","","125","6","-25.0","6,0105,","127",",6,0109,+","102",",6,1205,","52.6",",6,0531,","-2.2","6,0926","-2.2","6,0926","-5.6","6,1110","-7.8","6,1123","-13.3","6,1129","0.0","6,0410","-3.3","6,0409","-5.6","6,0331","-6.7","6,0327","-9.4","6,0228","","","","","674.3",",6","649",",6","5.91","6"
"USC00148323","1943","38.6442","-100.1687","800.1","UTICA, KS US","66","6","26","6","18","","8","6","4","","127","6","-26.7","6,0119,","127",",6,1211,","64",",6,1210,+","57.7",",6,0410,","-1.7","6,1015","-3.3","6,1102","-5.0","6,1108","-7.8","6,1122","-11.1","6,1214","-2.2","6,0420","-2.2","6,0420","-6.7","6,0321","-6.7","6,0321","-14.4","6,0319","","","","","343.4",",6","356",",6","5.88","6"
"USC00148323","1944","38.6442","-100.1687","800.1","UTICA, KS US","77","6","54","6","39","","16","6","","","","","","","203",",6,0303,","203",",6,0303,","47.0",",6,0410,","","","","","","","","","","","","","","","","","","","","","","","","","766.5",",6","1065",",6","",""
"USC00148323","1945","38.6442","-100.1687","800.1","UTICA, KS US","76","6","36","6","30","","9","6","","","","","","","254",",6,1224,","254",",6,1224,","41.4",",6,0626,","","","","","","","","","","","","","","","","","","","","","","","","","479.6",",6","744",",6","",""
"USC00148323","1946","38.6442","-100.1687","800.1","UTICA, KS US","71","6","44","6","3","","1","6","","","","","","","25",",6,1229,+","51",",6,1105,","106.2",",6,1005,","","","","","","","","","","","","","","","","","","","","","","","","","706.9",",6","103",",6","",""
"USC00148323","1947","38.6442","-100.1687","800.1","UTICA, KS US","68","6","41","6","38","","14","6","","","","","","","127",",6,0201,+","114",",6,0129,","35.3",",6,0515,","","","","","","","","","","","","","","","","","","","","","","","","","380.5",",6","749",",6","",""
"USC00148323","1948","38.6442","-100.1687","800.1","UTICA, KS US","68","0","42","0","44","","13","0","","","","","","","610",",0,0306,+","203",",0,0304,","32.8",",0,0616,","","","","","","","","","","","","","","","","","","","","","","","","","478.7",",0","1065",",0","",""
