"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00410262","1902","33.35","-96.51667","207.3","ANNA, TX US","1297.6","","1297.6","0","58","0","50","0","1","","1","0","0","0","55","0","5","0","230","0","93","0","-11.1","0,0128,+","25",",0,0220,","25",",0,0220,","91.2",",0,1121,","40.0","0,0826,+","-1.1","0,1127","-6.7","0,1204","-6.7","0,1204","-6.7","0,1204","-1.7","0,0318","-2.2","0,0305","-5.0","0,0216","-6.7","0,0210","-9.4","0,0202","1187.9",",0","25",",0","18.05","0","24.51","0","11.58","0"
"USC00410262","1949","33.35","-96.51667","207.3","ANNA, TX US","","","","","105","0","57","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","80.5",",0,1024,","","","","","","","","","","","","","","","","","","","","","1006.4",",0","0",",0","","","","","",""
"USC00410262","1950","33.35","-96.51667","207.3","ANNA, TX US","","","","","90","0","62","0","0","","0","0","","","","","","","","","","","","","0","T,0,1206,","0","T,0,1206,","86.4",",0,0828,","","","","","","","","","","","","","","","","","","","","","1282.2",",0","0","T,0","","","","","",""
"USC00410262","1951","33.35","-96.51667","207.3","ANNA, TX US","","","","","78","0","55","0","3","","3","0","","","","","","","","","","","","","76",",0,0215,","51",",0,0214,","112.3",",0,0603,","","","","","","","","","","","","","","","","","","","","","827.5",",0","109",",0","","","","","",""
"USC00410262","1952","33.35","-96.51667","207.3","ANNA, TX US","","","","","59","0","49","0","0","","0","0","","","","","","","","","","","","","0","T,0,0216,","0","T,0,0216,","68.6",",0,1125,","","","","","","","","","","","","","","","","","","","","","853.8",",0","0","T,0","","","","","",""
"USC00410262","1953","33.35","-96.51667","207.3","ANNA, TX US","","","","","89","0","53","0","2","","2","0","","","","","","","","","","","","","51",",0,0124,","38",",0,0124,","86.9",",0,0429,","","","","","","","","","","","","","","","","","","","","","947.5",",0","68",",0","","","","","",""
"USC00410262","1954","33.35","-96.51667","207.3","ANNA, TX US","","","","","68","0","51","0","3","","0","0","","","","","","","","","","","","","51",",0,0122,","23",",0,0121,","64.8",",0,0412,","","","","","","","","","","","","","","","","","","","","","824.5",",0","38",",0","","","","","",""
"USC00410262","1955","33.35","-96.51667","207.3","ANNA, TX US","","","","","63","0","38","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","61.0",",0,0716,","","","","","","","","","","","","","","","","","","","","","655.3",",0","0",",0","","","","","",""
"USC00410262","1956","33.35","-96.51667","207.3","ANNA, TX US","","","","","60","0","38","0","3","","2","0","","","","","","","","","","","","","127",",0,0119,","127",",0,0119,","56.6",",0,0218,","","","","","","","","","","","","","","","","","","","","","612.3",",0","152",",0","","","","","",""
"USC00410262","1957","33.35","-96.51667","207.3","ANNA, TX US","","","","","111","0","74","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0","T,0,1123,","105.2",",0,1105,","","","","","","","","","","","","","","","","","","","","","1553.4",",0","0","T,0","","","","","",""
