"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0016E18S","2002","44.79","-116.09","1490.5","LONG VALLEY, ID US","","","42.8","","42.8","T","74","T","74","T","128","","24","T","225","T","17","T","97","T","7","T","-31.2","T,0129,","965",",T,0207,","22.9",",T,1230,+","38.4","T,0712,+","-1.3","T,0908","-2.4","T,0909","-6.1","T,1001","-7.3","T,1011","-11.0","T,1012","-1.0","T,0619","-2.2","T,0524","-6.1","T,0508","-7.2","T,0424","-22.9","T,0318","","","","","484.2",",T","5.14","T","13.52","T","-3.23","T"
"USS0016E18S","2003","44.79","-116.09","1490.5","LONG VALLEY, ID US","","","43.0","","43.0","T","92","T","92","T","129","","8","T","191","T","10","T","114","T","13","T","-26.1","T,1230,","660",",T,1231,+","30.5",",T,0511,+","36.1","T,0722,","-1.4","T,0909","-3.5","T,0913","-4.4","T,0918","-7.4","T,1011","-11.5","T,1031","-1.0","T,0623","-3.5","T,0520","-6.3","T,0519","-7.6","T,0407","-10.8","T,0304","4504.5","","4504.5","T","608.2",",T","6.16","T","14.00","T","-1.67","T"
"USS0016E18S","2004","44.79","-116.09","1490.5","LONG VALLEY, ID US","","","63.0","","63.0","T","88","T","88","T","121","","9","T","186","T","18","T","97","T","13","T","-33.7","T,0105,","838",",T,0305,+","27.9",",T,0522,","35.2","T,0813,","-1.4","T,0921","-3.4","T,1010","-6.2","T,1024","-10.6","T,1101","-10.6","T,1101","-0.2","T,0517","-4.7","T,0513","-4.7","T,0513","-7.2","T,0329","-9.7","T,0311","4522.5","","4522.5","T","600.5",",T","6.40","T","14.12","T","-1.33","T"
"USS0016E18S","2005","44.79","-116.09","1490.5","LONG VALLEY, ID US","","","40.8","","40.8","T","95","T","95","T","155","","24","T","192","T","18","T","101","T","6","T","-27.8","T,1207,","432",",T,0107,","33.0",",T,1230,+","33.8","T,0821,","-0.1","T,0910","-3.0","T,0911","-4.4","T,1004","-11.6","T,1108","-11.6","T,1108","-1.4","T,0613","-3.0","T,0501","-5.5","T,0415","-7.5","T,0405","-14.2","T,0331","4308.1","","4308.1","T","671.2",",T","6.13","T","14.31","T","-2.05","T"
"USS0016E18S","2006","44.79","-116.09","1490.5","LONG VALLEY, ID US","","","78.6","","78.6","T","117","T","117","T","162","","17","T","179","T","17","T","118","T","14","T","-28.0","T,1129,","1016",",T,0314,","35.6",",T,0110,","38.2","T,0723,","-1.4","T,0831","-2.5","T,0915","-4.9","T,1010","-6.8","T,1022","-10.9","T,1030","-0.8","T,0513","-3.3","T,0510","-7.1","T,0419","-7.1","T,0419","-8.9","T,0327","4402.9","","4402.9","T","762.6",",T","6.62","T","14.78","T","-1.55","T"
"USS0016E18S","2007","44.79","-116.09","1490.5","LONG VALLEY, ID US","","","80.6","","80.6","T","100","T","100","T","130","","19","T","189","T","19","T","114","T","17","T","-28.4","T,0113,","787",",T,0228,","35.6",",T,1019,","36.7","T,0706,","-1.2","T,0910","-3.1","T,0925","-6.2","T,1027","-7.5","T,1031","-10.4","T,1114","-1.3","T,0529","-2.5","T,0506","-4.8","T,0421","-7.5","T,0411","-19.1","T,0302","4316.6","","4316.6","T","569.7",",T","6.70","T","14.96","T","-1.56","T"
"USS0016E18S","2008","44.79","-116.09","1490.5","LONG VALLEY, ID US","","","28.5","","28.5","T","91","T","91","T","159","","18","T","205","T","25","T","107","T","5","T","-30.5","T,0122,","1295",",T,0203,+","20.3",",T,0131,","35.3","T,0629,","0.0","T,0901","-2.7","T,0902","-6.5","T,1009","-7.8","T,1022","-12.6","T,1209","-2.5","T,0513","-2.5","T,0513","-7.8","T,0502","-7.8","T,0502","-8.9","T,0426","4629.9","","4629.9","T","552.7",",T","5.88","T","14.16","T","-2.39","T"
"USS0016E18S","2009","44.79","-116.09","1490.5","LONG VALLEY, ID US","","","38.7","","38.7","T","88","T","88","T","157","","24","T","199","T","24","T","106","T","9","T","-27.8","T,0127,","660",",T,0305,","27.9",",T,1004,","35.4","T,0718,","-1.7","T,0908","-3.8","T,0921","-5.4","T,0930","-9.1","T,1001","-9.1","T,1001","0.0","T,0623","-5.2","T,0513","-5.2","T,0513","-7.1","T,0406","-9.3","T,0401","4420.0","","4420.0","T","585.6",",T","5.53","T","13.65","T","-2.60","T"
"USS0016E18S","2010","44.79","-116.09","1490.5","LONG VALLEY, ID US","","","3.4","","3.4","T","113","T","113","T","155","","8","T","215","T","18","T","80","T","0","T","-29.1","T,1231,+","635",",T,1229,+","33.0",",T,1024,+","31.7","T,0725,","-1.5","T,0830","-3.3","T,0906","-5.8","T,1012","-8.4","T,1109","-8.9","T,1121","-2.8","T,0618","-2.8","T,0618","-4.7","T,0509","-12.8","T,0410","-12.8","T,0410","4844.9","","4844.9","T","663.7",",T","5.07","T","12.43","T","-2.28","T"
"USS0016E18S","2011","44.79","-116.09","1490.5","LONG VALLEY, ID US","","","4.4","","4.4","T","108","T","108","T","164","","16","T","215","T","16","T","90","T","2","T","-31.8","T,0101,","584",",T,0308,+","27.9",",T,0515,+","32.3","T,0821,","-0.5","T,0902","-3.9","T,1009","-4.7","T,1018","-7.6","T,1025","-9.0","T,1026","-0.2","T,0610","-2.4","T,0528","-4.5","T,0502","-6.9","T,0423","-9.0","T,0323","5033.3","","5033.3","T","602.8",",T","4.61","T","12.23","T","-3.01","T"
