"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012835","1892","26.585","-81.8614","4.6","FORT MYERS PAGE FIELD AIRPORT, FL US","","","1667.6","","1667.6","6","","","","","","","","","0","6","0","6","0","6","334","6","11","6","2.8","6,0108,+","","","","","","","32.2","6,0829,+","","","","","","","","","","","","","","","","","","","22.21","6","26.91","6","17.51","6","","","","","","","","","","","","","","","",""
"USW00012835","1893","26.585","-81.8614","4.6","FORT MYERS PAGE FIELD AIRPORT, FL US","","","1909.4","","1909.4","6","","","","","","","","","0","6","0","6","0","6","338","6","31","6","1.7","6,0117,","","","","","","","33.3","6,0815,+","","","","","","","","","","","236.3","","236.3","6","","","","","23.00","6","27.62","6","18.38","6","","","","","","","","","","","","","","","",""
"USW00012835","1894","26.585","-81.8614","4.6","FORT MYERS PAGE FIELD AIRPORT, FL US","","","1733.0","","1733.0","6","","","","","","","","","0","6","2","6","0","6","349","6","20","6","-4.4","6,1229,","","","","","","","35.6","6,0427,","-4.4","6,1229","-4.4","6,1229","-4.4","6,1229","","","","","104.0","","104.0","6","","","","","22.72","6","27.63","6","17.80","6","","","","","","","","","","","","","","","",""
"USW00012835","1895","26.585","-81.8614","4.6","FORT MYERS PAGE FIELD AIRPORT, FL US","","","1767.6","","1767.6","6","","","","","","","","","0","6","1","6","0","6","328","6","36","6","-1.1","6,0209,","","","","","","","34.4","6,0528,","","","","","","","-1.1","6,0209","","","247.4","","247.4","6","","","","","22.43","6","27.12","6","17.73","6","","","","","","","","","","","","","","","",""
"USW00012835","1902","26.585","-81.8614","4.6","FORT MYERS PAGE FIELD AIRPORT, FL US","","","","","","","90","6","73","6","","","","","","","","","0","6","310","6","63","6","","","","","","","128.5",",6,0220,","34.4","6,0708,+","","","","","","","","","","","","","","","1140.4",",6","","","","","27.38","6","","","","","","","","","","","","","","","","","",""
"USW00012835","1903","26.585","-81.8614","4.6","FORT MYERS PAGE FIELD AIRPORT, FL US","","","1601.6","","1601.6","6","","","","","","","","","0","6","0","6","0","6","316","6","38","6","1.7","6,1128,","","","","","","","33.9","6,0526,","","","","","","","","","","","","","","","","","","","22.10","6","26.84","6","17.35","6","","","","","","","","","","","","","","","",""
"USW00012835","1904","26.585","-81.8614","4.6","FORT MYERS PAGE FIELD AIRPORT, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","277.6","","277.6","6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00012835","1905","26.585","-81.8614","4.6","FORT MYERS PAGE FIELD AIRPORT, FL US","","","1936.9","","1936.9","6","","","","","","","","","0","6","2","6","0","6","335","6","82","6","-2.8","6,0126,","","","","","","","34.4","6,0615,","","","","","","","-1.7","6,0127","-2.8","6,0126","","","","","","","","","23.06","6","27.95","6","18.16","6","","","","","","","","","","","","","","","",""
"USW00012835","1906","26.585","-81.8614","4.6","FORT MYERS PAGE FIELD AIRPORT, FL US","","","1738.6","","1738.6","6","","","","","","","","","0","6","3","6","0","6","326","6","34","6","-0.6","6,1226,+","","","","","","","33.3","6,0926,+","-0.6","6,1224","","","","","","","","","182.5","","182.5","6","","","","","22.45","6","26.97","6","17.93","6","","","","","","","","","","","","","","","",""
"USW00012835","1907","26.585","-81.8614","4.6","FORT MYERS PAGE FIELD AIRPORT, FL US","","","1814.1","","1814.1","6","","","","","","","","","0","6","0","6","0","6","349","6","50","6","3.9","6,1205,","","","","","","","33.9","6,0613,+","","","","","","","","","","","173.0","","173.0","6","","","","","22.90","6","28.13","6","17.68","6","","","","","","","","","","","","","","","",""
