"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00094010","1960","48.409","-106.5144","840.0","ST. MARIE, MT US","281.7","","281.7","X","70","X","27","X","110","","10","X","45","X","176","X","101","X","108","X","20","X","-28.9","X,1221,+","254",",X,0426,","157",",X,0424,","22.6",",X,0621,","37.8","X,0719,","0.0","X,1015","-9.4","X,1018","-9.4","X,1018","-9.4","X,1018","-9.4","X,1018","-0.6","X,0507","-2.2","X,0430","-4.4","X,0427","-8.3","X,0426","-10.0","X,0317","","","","","245.9",",X","773",",X","4.93","X","10.52","X","-0.65","X","","","",""
"USW00094010","1961","48.409","-106.5144","840.0","ST. MARIE, MT US","398.2","","398.2","X","59","X","30","X","62","","15","X","30","X","192","X","78","X","115","X","26","X","-32.2","X,1219,","127",",X,0203,+","51",",X,1220,+","36.6",",X,0902,","38.9","X,0805,","0.0","X,0913","-2.8","X,0927","-5.0","X,0930","-10.0","X,1101","-10.0","X,1101","0.0","X,0509","-2.2","X,0429","-6.1","X,0427","-7.8","X,0416","-10.6","X,0308","4597.1","","4597.1","X","232.2",",X","554",",X","5.81","X","11.47","X","0.14","X","","","",""
"USW00094010","1962","48.409","-106.5144","840.0","ST. MARIE, MT US","111.2","","111.2","X","63","X","33","X","59","","11","X","44","X","157","X","71","X","98","X","2","X","-38.3","X,0228,","152",",X,0301,+","61",",X,1015,","37.8",",X,0713,","33.3","X,0808,","-2.2","X,0909","-2.2","X,0909","-4.4","X,1118","-6.7","X,1123","-20.6","X,1210","-1.7","X,0508","-2.2","X,0413","-5.0","X,0412","-6.7","X,0322","-8.9","X,0317","5425.5","","5425.5","X","303.3",",X","405",",X","5.28","X","10.65","X","-0.08","X","","","",""
"USW00094010","1963","48.409","-106.5144","840.0","ST. MARIE, MT US","226.1","","226.1","X","67","X","29","X","53","","6","X","41","X","159","X","69","X","120","X","10","X","-32.2","X,0119,+","102",",X,0128,+","81",",X,0408,","68.6",",X,0614,","37.8","X,0722,","-1.1","X,1027","-2.2","X,1028","-5.0","X,1031","-6.7","X,1110","-10.0","X,1112","-1.7","X,0521","-2.8","X,0503","-5.0","X,0421","-6.7","X,0402","-9.4","X,0317","4661.9","","4661.9","X","518.7",",X","562",",X","6.07","X","11.62","X","0.53","X","","","",""
"USW00094010","1965","48.409","-106.5144","840.0","ST. MARIE, MT US","","","","","83","X","35","X","109","","4","X","56","X","180","X","101","X","83","X","4","X","-30.6","X,0108,","305",",X,0105,+","48",",X,0131,+","26.7",",X,0805,","34.4","X,0812,","-1.1","X,0910","-3.3","X,0916","-4.4","X,0917","-7.2","X,1108","-12.8","X,1112","0.0","X,0526","-3.9","X,0419","-4.4","X,0417","-7.8","X,0401","-8.9","X,0331","","","","","339.5",",X","385",",X","3.31","X","8.63","X","-2.02","X","300","X","28.8","X"
"USW00094010","1966","48.409","-106.5144","840.0","ST. MARIE, MT US","199.5","","199.5","X","86","X","31","X","104","","13","X","54","X","179","X","105","X","99","X","12","X","-32.8","X,0128,","254",",X,0130,+","122",",X,1106,","42.9",",X,0820,","36.7","X,0716,","0.0","X,1004","-3.9","X,1014","-7.8","X,1031","-7.8","X,1031","-11.1","X,1101","0.0","X,0512","-3.3","X,0511","-8.3","X,0430","-8.3","X,0430","-11.7","X,0429","5327.4","","5327.4","X","332.5",",X","874",",X","3.93","X","9.38","X","-1.53","X","","","",""
"USW00094010","1967","48.409","-106.5144","840.0","ST. MARIE, MT US","201.4","","201.4","X","83","X","33","X","110","","23","X","46","X","192","X","96","X","99","X","14","X","-37.2","X,0117,","406",",X,0224,+","140",",X,0216,","24.4",",X,0612,","33.9","X,0823,+","-0.6","X,1007","-3.3","X,1020","-4.4","X,1024","-7.2","X,1027","-10.0","X,1103","0.0","X,0513","-2.2","X,0512","-6.1","X,0504","-7.2","X,0424","-9.4","X,0423","5159.5","","5159.5","X","292.7",",X","1623",",X","4.07","X","9.69","X","-1.56","X","293","X","27.8","X"
"USW00094010","1996","48.409","-106.5144","840.0","ST. MARIE, MT US","231.5","","231.5","0","79","0","27","0","","","","","68","0","193","0","102","0","103","0","17","0","-37.8","0,0201,","","","","","19.8",",0,0919,","36.7","0,0705,","0.0","0,0924","-5.6","0,1002","-5.6","0,1002","-6.7","0,1021","-15.0","0,1030","0.0","0,0512","-2.8","0,0510","-5.0","0,0509","-6.7","0,0405","-10.0","0,0404","5266.1","","5266.1","0","244.8",",0","","","3.22","0","9.10","0","-2.66","0","","","",""
"USW00094010","1997","48.409","-106.5144","840.0","ST. MARIE, MT US","283.1","","283.1","0","58","0","24","0","","","","","30","0","171","0","72","0","127","0","19","0","-35.6","0,0125,+","","","","","30.5",",0,0630,","36.1","0,0824,","-1.7","0,0919","-3.3","0,1009","-7.8","0,1013","-7.8","0,1013","-8.9","0,1025","0.0","0,0519","-4.4","0,0415","-4.4","0,0415","-7.2","0,0412","-9.4","0,0411","5205.3","","5205.3","0","259.3",",0","","","6.35","0","12.87","0","-0.17","0","","","",""
"USW00094010","1998","48.409","-106.5144","840.0","ST. MARIE, MT US","419.0","","419.0","0","77","0","33","0","","","","","29","0","158","0","65","0","132","0","36","0","-33.9","0,0110,","","","","","33.3",",0,0627,","36.7","0,0727,","0.0","0,1006","-2.2","0,1013","-6.1","0,1106","-10.6","0,1110","-10.6","0,1110","0.0","0,0604","-6.1","0,0419","-6.1","0,0419","-6.7","0,0320","-10.0","0,0315","4092.4","","4092.4","0","297.2",",0","","","7.55","0","13.84","0","1.25","0","","","",""
