"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES"
"USW00012883","1961","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1794.7","","1794.7","0","105","0","58","0","0","","0","0","0","0","1","0","0","0","321","0","86","0","-1.1","0,0122,","0",",0,1231,+","0",",0,1231,+","69.3",",0,0815,","36.7","0,0801,","","","","","","","","","-1.1","0,0122","","","","","","","378.5","","378.5","0","910.6",",0","","","0",",0","22.36","0","27.63","0","17.08","0","",""
"USW00012883","1962","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1808.4","","1808.4","0","111","0","73","0","0","","0","0","0","0","4","0","0","0","315","0","107","0","-6.7","0,1213,","0",",0,1231,+","0",",0,1231,+","72.6",",0,0601,","36.1","0,0527,","-2.2","0,1212","-2.2","0,1212","-6.7","0,1213","-6.7","0,1213","-0.6","0,0113","","","","","","","300.4","","300.4","0","967.6",",0","","","0",",0","22.22","0","27.48","0","16.96","0","",""
"USW00012883","1963","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1780.9","","1780.9","0","124","0","77","0","0","","0","0","0","0","0","0","0","0","301","0","94","0","1.1","0,1225,+","0",",0,1231,+","0",",0,1231,+","88.4",",0,1110,","35.0","0,0825,+","","","","","","","","","","","","","","","","","448.6","","448.6","0","1175.3",",0","","","0",",0","21.88","0","26.96","0","16.79","0","",""
"USW00012883","1964","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1757.0","","1757.0","0","111","0","75","0","0","","0","0","0","0","2","0","0","0","314","0","77","0","-2.8","0,0114,","0",",0,1231,+","0",",0,1231,+","92.5",",0,0807,","36.1","0,0618,","","","","","","","","","-0.6","0,0115","-2.8","0,0114","","","","","482.2","","482.2","0","1207.9",",0","","","0",",0","22.16","0","27.15","0","17.17","0","",""
"USW00012883","1965","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1786.4","","1786.4","0","122","0","79","0","0","","0","0","0","0","2","0","0","0","327","0","73","0","-1.1","0,0117,","0",",0,1231,+","0",",0,1231,+","61.0",",0,1219,","35.0","0,0701,","","","","","","","","","0.0","0,0118","","","","","","","260.4","","260.4","0","1228.8",",0","69.3","X","0",",0","22.45","0","27.58","0","17.33","0","184632",",X"
"USW00012883","1966","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1643.5","","1643.5","0","126","0","77","0","0","","0","0","0","0","3","0","0","0","309","0","56","0","-3.3","0,0131,","0",",0,1231,+","0",",0,1231,+","66.5",",0,0910,","35.0","0,0823,","0.0","0,1225","","","","","","","-3.3","0,0131","-3.3","0,0131","","","","","362.8","","362.8","0","1155.3",",0","67.2","X","0",",0","21.66","0","26.58","0","16.73","0","178344",",X"
"USW00012883","1967","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1727.7","","1727.7","0","101","0","59","0","0","","0","0","0","0","1","0","0","0","336","0","69","0","-2.2","0,0226,","0",",0,1231,+","0",",0,1231,+","58.7",",0,0808,","35.6","0,0601,+","","","","","","","","","-2.2","0,0226","-2.2","0,0226","","","","","313.1","","313.1","0","960.9",",0","70.3","X","0",",0","22.36","0","27.67","0","17.06","0","186444",",X"
"USW00012883","1968","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1677.6","","1677.6","0","108","0","75","0","0","","0","0","0","0","1","0","0","0","296","0","60","0","-2.8","0,1216,","0",",0,1231,+","0",",0,1231,+","117.3",",0,0604,","36.1","0,0817,","-2.8","0,1216","-2.8","0,1216","","","","","","","","","","","","","403.7","","403.7","0","1407.3",",0","67.1","X","0",",0","21.43","0","26.55","0","16.32","0","178698",",X"
"USW00012883","1969","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1682.3","","1682.3","0","134","0","70","0","0","","0","0","0","0","0","0","0","0","284","0","72","0","0.6","0,1115,","0",",0,1231,+","0",",0,1231,+","66.3",",0,0316,","35.6","0,0710,+","","","","","","","","","","","","","","","","","519.0","","519.0","0","1347.7",",0","62.1","X","0",",0","21.57","0","26.33","0","16.80","0","165510",",X"
"USW00012883","1970","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1740.9","","1740.9","0","106","0","64","0","0","","0","0","0","0","7","0","0","0","305","0","72","0","-3.9","0,0110,+","0",",0,1231,+","0",",0,1231,+","69.9",",0,0722,","36.1","0,0804,","-0.6","0,1124","-2.2","0,1125","","","","","-2.2","0,0204","-2.2","0,0204","","","","","524.6","","524.6","0","1183.5",",0","","","0",",0","21.74","0","26.80","0","16.69","0","",""
