"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003144","1973","32.83417","-115.57861","-17.7","IMPERIAL CO AIRPORT, CA US","","","2013.9","","2013.9","0","15","0","6","0","0","","0","0","0","0","7","0","0","0","295","0","171","0","-2.8","0,0106,","0",",0,1231,+","0",",0,1231,+","5.3",",0,0211,","47.8","0,0627,","","","","","","","0.0","0,0130","-2.2","0,0107","","","824.6","","824.6","0","34.4",",0","0",",0","21.79","0","30.37","0","13.21","0","","","","","","","",""
"USW00003144","1974","32.83417","-115.57861","-17.7","IMPERIAL CO AIRPORT, CA US","","","2161.8","","2161.8","0","14","0","5","0","0","","0","0","0","0","9","0","0","0","307","0","174","0","-3.3","0,0103,","0",",0,1231,+","0",",0,1231,+","21.8",",0,0107,","48.9","0,0628,","-0.6","0,1223","-2.8","0,1224","","","-3.3","0,0103","-3.3","0,0103","","","657.6","","657.6","0","55.9",",0","0",",0","22.26","0","30.67","0","13.85","0","","","","","","","",""
"USW00003144","1975","32.83417","-115.57861","-17.7","IMPERIAL CO AIRPORT, CA US","","","1905.0","","1905.0","0","8","0","5","0","0","","0","0","0","0","10","0","0","0","301","0","148","0","-2.8","0,1215,","0",",0,1231,+","0",",0,1231,+","15.5",",0,0409,","47.2","0,0711,","-2.8","0,1215","-2.8","0,1215","","","0.0","0,0202","-2.2","0,0104","","","855.9","","855.9","0","35.3",",0","0",",0","21.20","0","29.76","0","12.64","0","","","","","","","",""
"USW00003144","1976","32.83417","-115.57861","-17.7","IMPERIAL CO AIRPORT, CA US","","","1882.9","","1882.9","0","21","0","10","0","0","","0","0","0","0","10","0","0","0","314","0","156","0","-3.3","0,0101,","0",",0,1231,+","0",",0,1231,+","56.4",",0,0910,","46.1","0,0707,+","-1.1","0,1129","","","","","0.0","0,0106","-2.8","0,0103","","","723.6","","723.6","0","124.8",",0","0",",0","21.57","0","29.72","0","13.41","0","","","","","","","",""
"USW00003144","1977","32.83417","-115.57861","-17.7","IMPERIAL CO AIRPORT, CA US","","","1955.8","","1955.8","0","14","0","6","0","0","","0","0","0","0","3","0","0","0","311","0","159","0","-1.1","0,0110,","0",",0,1231,+","0",",0,1231,+","55.4",",0,0815,","46.7","0,0629,","","","","","","","0.0","0,0112","","","","","696.8","","696.8","0","133.4",",0","0",",0","21.96","0","30.04","0","13.87","0","","","","","","","",""
"USW00003144","1978","32.83417","-115.57861","-17.7","IMPERIAL CO AIRPORT, CA US","","","2098.2","","2098.2","X","23","X","11","X","0","","0","X","0","X","5","X","0","X","277","X","158","X","-4.4","X,1209,","0",",X,1231,+","0",",X,1231,+","14.2",",X,1124,","47.2","X,0720,+","-2.2","X,1207","-2.2","X,1207","-4.4","X,1209","","","","","","","537.6","","537.6","X","98.9",",X","0",",X","22.03","X","29.61","X","14.45","X","","","","","","","",""
"USW00003144","1979","32.83417","-115.57861","-17.7","IMPERIAL CO AIRPORT, CA US","","","2006.6","","2006.6","X","17","X","6","X","0","","0","X","0","X","8","X","0","X","300","X","167","X","-3.9","X,0102,","0",",X,1231,+","0",",X,1231,+","15.0",",X,0116,","46.1","X,0724,+","-1.1","X,1121","","","","","-0.6","X,0129","-3.9","X,0102","","","904.4","","904.4","X","47.2",",X","0",",X","21.62","X","29.69","X","13.55","X","","","","","","","",""
"USW00003144","1980","32.83417","-115.57861","-17.7","IMPERIAL CO AIRPORT, CA US","","","1995.4","","1995.4","X","15","X","12","X","0","","0","X","0","X","0","X","0","X","335","X","159","X","1.1","X,1211,+","0",",X,1231,+","0",",X,1231,+","18.3",",X,0109,","45.6","X,0717,","","","","","","","","","","","","","565.7","","565.7","X","104.3",",X","0",",X","22.40","X","30.55","X","14.24","X","","","","","","","",""
"USW00003144","1981","32.83417","-115.57861","-17.7","IMPERIAL CO AIRPORT, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","511.7","","511.7","X","","","","","","","","","","","","","","","","","",""
"USW00003144","2001","32.83417","-115.57861","-17.7","IMPERIAL CO AIRPORT, CA US","3.1","W","2372.3","","2372.3","W","12","W","6","W","","","","","0","W","4","W","0","W","285","W","190","W","0.0","W,1226,+","","","","","9.4",",W,0306,","47.2","W,0702,","0.0","W,1213","","","","","","","","","","","","","","","34.8",",W","","","23.01","W","31.50","W","14.52","W","250","W","90","W","20.6","W","25.0","W"
