"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023160","1949","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","","","1571.9","","1571.9","0","52","0","23","0","0","","2","0","0","0","39","0","0","0","280","0","138","0","-8.9","0,0104,","0","T,0,1220,+","89",",0,0125,","33.0",",0,0808,","41.7","0,0616,","0.0","0,1211","-3.3","0,1212","-5.6","0,1221","","","","","-0.6","0,0309","-2.8","0,0215","-5.6","0,0131","-8.3","0,0105","-8.9","0,0104","1214.6","","1214.6","0","194.8",",0","","","159",",0","19.62","0","27.21","0","12.03","0","","","","","","","","","","","","","","","","","",""
"USW00023160","1950","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","","","1578.6","","1578.6","0","36","0","18","0","0","","0","0","0","0","11","0","0","0","311","0","152","0","-8.3","0,0106,","0",",0,1231,+","0","T,0,1231,+","31.0",",0,0211,","42.2","0,0831,","","","","","","","","","","","0.0","0,0214","-3.3","0,0126","-8.3","0,0106","-8.3","0,0106","","","804.3","","804.3","0","236.3",",0","","","0","T,0","20.79","0","29.09","0","12.49","0","","","","","","","","","","","","","","","","","",""
"USW00023160","1951","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","","","1662.0","","1662.0","0","57","0","33","0","0","","2","0","0","0","21","0","0","0","270","0","146","0","-3.3","0,0304,","0",",0,1231,+","46",",0,0101,","37.3",",0,1030,","42.2","0,0730,","0.0","0,1208","-2.8","0,1221","","","","","","","-1.1","0,0319","-3.3","0,0304","","","","","","","807.1","","807.1","0","297.2",",0","","","71",",0","20.16","0","27.87","0","12.45","0","","","","","","","","","","","","","","","","","",""
"USW00023160","1952","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","","","1775.4","","1775.4","0","56","0","31","0","0","","1","0","0","0","22","0","0","0","257","0","174","0","-3.9","0,0214,+","0",",0,1231,+","86",",0,0309,","30.2",",0,0309,","41.7","0,0719,+","0.0","0,1126","-2.2","0,1224","","","","","","","0.0","0,0323","-2.2","0,0216","","","","","","","1055.9","","1055.9","0","321.9",",0","","","86",",0","20.11","0","27.92","0","12.29","0","","","","","","","","","","","","","","","","","",""
"USW00023160","1953","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","","","1653.9","","1653.9","0","35","0","15","0","0","","0","0","0","0","34","0","0","0","300","0","144","0","-5.0","0,0221,","0","T,0,0224,","13",",0,0224,","21.6",",0,0729,","43.3","0,0701,","-1.1","0,1119","-3.9","0,1122","-4.4","0,1206","","","","","-1.7","0,0225","-5.0","0,0221","-5.0","0,0221","","","","","959.0","","959.0","0","136.0",",0","","","13",",0","20.27","0","28.44","0","12.10","0","","","","","","","","","","","","","","","","","",""
"USW00023160","1954","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","","","1781.1","","1781.1","0","48","0","24","0","0","","0","0","0","0","12","0","0","0","320","0","166","0","-7.8","0,1228,","0",",0,1231,+","0","T,0,0324,","32.5",",0,0901,","42.2","0,0728,+","-2.8","0,1217","-2.8","0,1217","-7.8","0,1228","-7.8","0,1228","","","-1.7","0,0313","","","","","","","","","770.5","","770.5","0","295.8",",0","","","0","T,0","21.41","0","29.40","0","13.43","0","","","","","","","","","","","","","","","","","",""
"USW00023160","1955","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","","","1514.0","","1514.0","0","43","0","23","0","0","","0","0","0","0","30","0","0","0","291","0","137","0","-6.7","0,0222,+","0",",0,1231,+","0","T,0,0830,+","57.9",",0,0803,","43.3","0,0622,","-0.6","0,1116","","","","","","","","","-3.3","0,0322","-3.3","0,0322","-6.7","0,0222","-6.7","0,0222","","","985.2","","985.2","0","404.0",",0","","","0","T,0","19.69","0","27.91","0","11.47","0","","","","","","","","","","","","","","","","","",""
"USW00023160","1956","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","","","1707.0","","1707.0","0","36","0","20","0","0","","2","0","0","0","22","0","0","0","295","0","155","0","-3.9","0,0204,+","0","T,0,0217,","25",",0,0402,+","27.7",",0,0712,","42.8","0,0611,","-2.2","0,1103","-2.2","0,1103","","","","","","","-1.7","0,0316","-3.3","0,0313","","","","","","","840.0","","840.0","0","178.9",",0","","","50",",0","20.42","0","28.73","0","12.10","0","","","","","","","","","","","","","","","","","",""
"USW00023160","1957","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","","","1590.7","","1590.7","0","68","0","34","0","0","","0","0","0","0","4","0","0","0","277","0","137","0","-2.8","0,1203,","0",",0,1231,+","0",",0,1231,+","42.2",",0,0831,","43.9","0,0624,","-1.1","0,1123","-2.8","0,1203","","","","","","","-1.7","0,0122","","","","","","","","","771.8","","771.8","0","344.9",",0","","","0",",0","20.54","0","27.88","0","13.19","0","","","","","","","","","","","","","","","","","",""
"USW00023160","1958","32.1313","-110.9552","776.9","TUCSON INTERNATIONAL AIRPORT, AZ US","","","1729.4","","1729.4","0","56","0","23","0","1","","1","0","0","0","13","0","0","0","277","0","141","0","-4.4","0,1117,","25",",0,1117,","163",",0,1116,","99.8",",0,0729,","43.9","0,0711,","0.0","0,1116","-4.4","0,1117","-4.4","0,1117","","","","","-0.6","0,0228","-2.8","0,0123","","","","","","","1002.6","","1002.6","0","320.5",",0","","","163",",0","20.50","0","27.94","0","13.05","0","","","","","","","","","","","","","","","","","",""
