"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COJF0040","2003","39.7611","-105.2297","1761.7","GOLDEN 0.7 NW, CO US","85","N","40","N","51","","","","711",",N,0319,","","","58.7",",N,0319,","492.8",",N","",""
"US1COJF0040","2004","39.7611","-105.2297","1761.7","GOLDEN 0.7 NW, CO US","98","N","52","N","51","","22","N","203",",N,0212,","251",",N,0212,","90.2",",N,0628,","667.1",",N","2075",",N"
"US1COJF0040","2005","39.7611","-105.2297","1761.7","GOLDEN 0.7 NW, CO US","90","N","42","N","","","18","N","","","422",",N,0411,","46.7",",N,1010,","462.4",",N","1636",",N"
"US1COJF0040","2006","39.7611","-105.2297","1761.7","GOLDEN 0.7 NW, CO US","99","N","39","N","","","22","N","","","709",",N,1221,","45.0",",N,1221,","438.6",",N","3048",",N"
"US1COJF0040","2007","39.7611","-105.2297","1761.7","GOLDEN 0.7 NW, CO US","105","N","51","N","85","","28","N","419",",N,0106,","152",",N,0105,","48.0",",N,0425,","490.7",",N","2150",",N"
"US1COJF0040","2008","39.7611","-105.2297","1761.7","GOLDEN 0.7 NW, CO US","90","N","38","N","63","","22","N","279",",N,1209,","290",",N,1209,","35.8",",N,0817,","375.7",",N","1960",",N"
"US1COJF0040","2009","39.7611","-105.2297","1761.7","GOLDEN 0.7 NW, CO US","108","N","57","N","","","","","","","","","50.8",",N,0418,","627.4",",N","",""
"US1COJF0040","2010","39.7611","-105.2297","1761.7","GOLDEN 0.7 NW, CO US","87","N","40","N","38","","20","N","330",",N,0324,","361",",N,0324,","51.3",",N,0612,","454.5",",N","2001",",N"
"US1COJF0040","2011","39.7611","-105.2297","1761.7","GOLDEN 0.7 NW, CO US","97","N","46","N","66","","18","N","394",",N,1223,","376",",N,1222,","43.4",",N,0620,","513.2",",N","2255",",N"
"US1COJF0040","2012","39.7611","-105.2297","1761.7","GOLDEN 0.7 NW, CO US","78","N","37","N","49","","17","N","445",",N,0204,","272",",N,0203,","34.3",",N,0707,","386.9",",N","1653",",N"
"US1COJF0040","2013","39.7611","-105.2297","1761.7","GOLDEN 0.7 NW, CO US","102","N","54","N","63","","26","N","305",",N,0416,","411",",N,0416,","90.7",",N,0913,","698.0",",N","3179",",N"
