"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00385362","2012","34.248","-80.6886","57.3","LUGOFF 2 NE, SC US","981.7","","981.7","7","84","7","72","7","0","7","49","7","0","7","232","7","52","7","-8.3","7,0213,+","49.5",",7,0625,","40.6","7,0701,+","-1.7","7,1101","-2.2","7,1109","-5.0","7,1125","","","0.0","7,0310","-3.3","7,0306","-8.3","7,0213","-8.3","7,0213","","","","","1255.2",",7","17.49","7","24.06","7","10.93","7"
"USC00385362","2013","34.248","-80.6886","57.3","LUGOFF 2 NE, SC US","921.8","","921.8","7","88","7","78","7","0","7","58","7","0","7","214","7","23","7","-6.7","7,1125,","72.4",",7,0718,","34.4","7,0813,+","-1.1","7,1109","-2.2","7,1113","-6.1","7,1114","-6.7","7,1125","-2.8","7,0329","-2.8","7,0329","-5.6","7,0304","","","1449.2","","1449.2","7","1346.2",",7","16.57","7","22.76","7","10.39","7"
"USC00385362","2014","34.248","-80.6886","57.3","LUGOFF 2 NE, SC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1513.8","","1513.8","7","","","","","","","",""
