"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00417300","1964","31.9633","-98.4941","372.2","PROCTOR RESERVOIR, TX US","1308.1","","1308.1","0","58","0","39","0","0","","1","0","0","0","65","0","2","0","247","0","98","0","-12.8","0,0114,","0",",0,1231,+","178",",0,0116,","124.5",",0,0920,","42.2","0,0807,","","","-0.6","0,1120","-3.9","0,1122","-5.0","0,1206","-7.8","0,1218","","","-0.6","0,0326","-2.2","0,0228","-5.0","0,0222","-8.9","0,0118","-8.9","0,0118","1564.5","","1564.5","0","","","","","984.2",",0","178",",0","17.73","0","24.46","0","11.01","0","52974","0"
"USC00417300","1965","31.9633","-98.4941","372.2","PROCTOR RESERVOIR, TX US","1364.6","","1364.6","0","76","0","48","0","0","","0","0","0","0","50","0","0","0","240","0","104","0","-8.3","0,0224,","0",",0,1231,+","0",",0,1231,+","73.2",",0,0511,","38.3","0,0916,+","","","-2.2","0,1220","-2.2","0,1220","","","","","","","-1.7","0,0327","-2.2","0,0326","-5.0","0,0321","-7.2","0,0320","","","1476.2","","1476.2","0","","","","","792.1",",0","0",",0","18.32","0","24.61","0","12.04","0","49697","0"
"USC00417300","1966","31.9633","-98.4941","372.2","PROCTOR RESERVOIR, TX US","1225.4","","1225.4","0","63","0","37","0","0","","0","0","0","0","67","0","5","0","248","0","84","0","-12.2","0,0130,","0",",0,1231,+","0","T,0,0223,","117.3",",0,0814,","38.9","0,0722,+","","","-2.2","0,1102","-2.2","0,1102","-6.7","0,1211","-6.7","0,1211","-9.4","0,1224","0.0","0,0324","-3.9","0,0306","-4.4","0,0224","-7.2","0,0204","-11.1","0,0131","1373.7","","1373.7","0","","","","","663.2",",0","0","T,0","17.49","0","24.12","0","10.86","0","51247","0"
"USC00417300","1967","31.9633","-98.4941","372.2","PROCTOR RESERVOIR, TX US","1351.2","","1351.2","0","69","0","48","0","0","","0","0","0","0","53","0","0","0","272","0","92","0","-9.4","0,0119,","0",",0,1231,+","0",",0,1231,+","100.3",",0,0915,","40.6","0,0801,","","","-1.7","0,1104","-2.8","0,1203","","","","","","","-5.0","0,0309","-5.0","0,0309","-5.0","0,0309","-7.8","0,0208","-8.9","0,0120","1262.1","","1262.1","0","","","","","665.0",",0","0",",0","18.42","0","25.43","0","11.42","0","57428","0"
"USC00417300","1968","31.9633","-98.4941","372.2","PROCTOR RESERVOIR, TX US","1132.2","","1132.2","0","86","0","57","0","0","","1","0","0","0","62","0","5","0","240","0","71","0","-10.6","0,0107,","0",",0,1231,+","152",",0,1109,","62.0",",0,0120,","37.8","0,0810,","","","-2.8","0,1109","-2.8","0,1109","-5.0","0,1208","-8.9","0,1231","-8.9","0,1231","-1.7","0,0323","-2.2","0,0304","-4.4","0,0224","-10.0","0,0108","-10.0","0,0108","1565.9","","1565.9","0","","","","","912.4",",0","152",",0","17.11","0","23.32","0","10.89","0","52424","0"
"USC00417300","1969","31.9633","-98.4941","372.2","PROCTOR RESERVOIR, TX US","1262.8","","1262.8","0","79","0","53","0","0","","0","0","0","0","47","0","1","0","239","0","94","0","-11.7","0,0101,","0",",0,1231,+","0",",0,1231,+","61.5",",0,1005,","40.0","0,0815,+","","","0.0","0,1101","-2.2","0,1119","","","","","","","-1.7","0,0313","-2.2","0,0311","-4.4","0,0310","-6.7","0,0125","-11.7","0,0101","1479.8","","1479.8","0","","","","","876.4",",0","0",",0","17.69","0","24.25","0","11.13","0","47702","0"
"USC00417300","1970","31.9633","-98.4941","372.2","PROCTOR RESERVOIR, TX US","1221.5","","1221.5","0","61","0","44","0","0","","0","0","0","0","52","0","3","0","244","0","85","0","-9.4","0,0107,","0",",0,1231,+","0",",0,1231,+","71.6",",0,0515,","38.3","0,0819,+","","","-0.6","0,1103","-2.8","0,1115","-7.2","0,1124","-7.2","0,1124","","","0.0","0,0402","-2.2","0,0313","-4.4","0,0203","-7.2","0,0119","-9.4","0,0107","1604.2","","1604.2","0","","","","","786.1",",0","0",",0","17.41","0","24.08","0","10.75","0","50726","0"
"USC00417300","1971","31.9633","-98.4941","372.2","PROCTOR RESERVOIR, TX US","1243.7","","1243.7","0","71","0","48","0","0","","0","0","0","0","39","0","1","0","266","0","81","0","-10.6","0,0208,","0",",0,1231,+","0",",0,1231,+","49.5",",0,1004,","38.3","0,0723,+","","","-0.6","0,1211","","","","","","","","","-1.1","0,0407","-3.9","0,0304","-5.0","0,0303","-10.0","0,0209","-10.0","0,0209","1318.2","","1318.2","0","","","","","732.3",",0","0",",0","18.27","0","25.05","0","11.48","0","48988","0"
"USC00417300","1972","31.9633","-98.4941","372.2","PROCTOR RESERVOIR, TX US","1321.2","","1321.2","0","77","0","49","0","0","","0","0","0","0","56","0","3","0","258","0","110","0","-12.2","0,0116,","0",",0,1231,+","0",",0,1231,+","39.6",",0,0428,","41.1","0,0626,","","","-0.6","0,1116","-2.8","0,1122","-8.3","0,1206","-8.3","0,1206","-9.4","0,1216","0.0","0,0303","-2.8","0,0212","-4.4","0,0209","-7.2","0,0204","-12.2","0,0116","1173.2","","1173.2","0","","","","","606.3",",0","0",",0","17.98","0","24.89","0","11.07","0","44447","0"
"USC00417300","1973","31.9633","-98.4941","372.2","PROCTOR RESERVOIR, TX US","1190.5","","1190.5","0","93","0","50","0","0","","1","0","0","0","45","0","7","0","256","0","87","0","-16.1","0,0113,+","0",",0,1231,+","64",",0,0111,","100.8",",0,1013,","37.8","0,0824,","","","-0.6","0,1206","-6.7","0,1220","-6.7","0,1220","-6.7","0,1220","","","-1.1","0,0410","-2.2","0,0215","-5.6","0,0211","-6.7","0,0210","-16.1","0,0113","1720.1","","1720.1","0","","","","","859.4",",0","64",",0","17.75","0","24.23","0","11.26","0","",""
