"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00457708","1936","47.7","-121.36667","284.1","SKYKOMISH, WA US","0","6","129","6","-16.7","6,0216,","0.0","6,0916","-3.9","6,1101","-7.8","6,1102","-7.8","6,1102","0.0","6,0427","-2.2","6,0405","-5.0","6,0404","-11.1","6,0331","-11.1","6,0331","2.70","6"
"USC00457708","1938","47.7","-121.36667","284.1","SKYKOMISH, WA US","0","6","107","6","-8.3","6,1122,","0.0","6,1015","-2.2","6,1016","-5.6","6,1111","-8.3","6,1122","-0.6","6,0402","-2.2","6,0322","-5.0","6,0217","-6.7","6,0107","","","4.96","6"
