"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00086612","1897","30.166667","-81.7","7.6","ORANGE PARK, FL US","","","","","0","6","327","6","81","6","","","37.2","6,0630,","","","","","","","","","","","","","","","26.99","6","",""
"USC00086612","1898","30.166667","-81.7","7.6","ORANGE PARK, FL US","0","6","12","6","","","","","","","-5.0","6,0102,","","","-1.7","6,1206","-2.2","6,1227","-0.6","6,0223","-2.2","6,0203","-5.0","6,0102","577.3","","577.3","6","","","14.84","6"
