"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00193625","1886","42.216667","-70.883333","18.3","HINGHAM 1, MA US","79","6","58","6","9","","144","6","-29.4","6,0113,","165.4",",6,0213,","-2.8","6,1002","-2.8","6,1002","-8.3","6,1017","-8.3","6,1017","-9.4","6,1128","0.0","6,0503","-2.8","6,0501","-4.4","6,0409","-6.7","6,0325","-11.1","6,0311","1305.0",",6","2.51","6"
"USC00193625","1887","42.216667","-70.883333","18.3","HINGHAM 1, MA US","73","6","62","6","5","","158","6","-26.7","6,0119,","50.0",",6,0724,","-1.7","6,0926","-2.8","6,1013","-5.0","6,1016","-8.9","6,1106","-8.9","6,1106","-1.1","6,0514","-2.8","6,0425","-5.6","6,0420","-7.8","6,0415","-8.9","6,0408","1225.6",",6","2.70","6"
"USC00193625","1888","42.216667","-70.883333","18.3","HINGHAM 1, MA US","71","6","58","6","","","","","","","138.2",",6,1127,","","","","","","","","","","","","","","","","","","","","","1502.3",",6","",""
"USC00193625","1890","42.216667","-70.883333","18.3","HINGHAM 1, MA US","76","6","68","6","","","","","","","90.9",",6,1025,","","","","","","","","","","","","","","","","","","","","","1406.5",",6","",""
"USC00193625","1891","42.216667","-70.883333","18.3","HINGHAM 1, MA US","76","6","63","6","1","","130","6","-19.4","6,0205,","89.2",",6,0623,","-1.7","6,1018","-3.3","6,1025","-5.6","6,1103","-8.9","6,1104","-8.9","6,1104","-3.3","6,0506","-3.3","6,0506","-5.6","6,0410","-6.7","6,0408","-10.6","6,0317","1313.3",",6","3.58","6"
"USC00193625","1893","42.216667","-70.883333","18.3","HINGHAM 1, MA US","72","6","62","6","","","","","","","77.5",",6,0504,","","","","","","","","","","","","","","","","","","","","","1065.7",",6","",""
"USC00193625","1897","42.216667","-70.883333","18.3","HINGHAM 1, MA US","74","6","64","6","","","","","","","64.8",",6,1103,","","","","","","","","","","","","","","","","","","","","","1092.4",",6","",""
"USC00193625","1903","42.216667","-70.883333","18.3","HINGHAM 1, MA US","62","6","48","6","","","","","","","111.5",",6,1010,","","","","","","","","","","","","","","","","","","","","","1185.1",",6","",""
"USC00193625","1915","42.216667","-70.883333","18.3","HINGHAM 1, MA US","86","6","65","6","","","","","","","77.5",",6,0112,","","","","","","","","","","","","","","","","","","","","","1021.1",",6","",""
"USC00193625","1916","42.216667","-70.883333","18.3","HINGHAM 1, MA US","102","6","72","6","","","","","","","73.2",",6,0517,","","","","","","","","","","","","","","","","","","","","","1159.0",",6","",""
"USC00193625","1917","42.216667","-70.883333","18.3","HINGHAM 1, MA US","97","6","70","6","","","","","","","104.9",",6,0821,","","","","","","","","","","","","","","","","","","","","","1186.5",",6","",""
"USC00193625","1918","42.216667","-70.883333","18.3","HINGHAM 1, MA US","90","6","66","6","","","","","","","54.9",",6,0926,","","","","","","","","","","","","","","","","","","","","","1026.9",",6","",""
"USC00193625","1919","42.216667","-70.883333","18.3","HINGHAM 1, MA US","101","6","80","6","","","","","","","64.5",",6,0814,+","","","","","","","","","","","","","","","","","","","","","1362.6",",6","",""
"USC00193625","1920","42.216667","-70.883333","18.3","HINGHAM 1, MA US","100","6","73","6","","","","","","","100.6",",6,0207,","","","","","","","","","","","","","","","","","","","","","1225.3",",6","",""
"USC00193625","1921","42.216667","-70.883333","18.3","HINGHAM 1, MA US","85","6","70","6","","","","","","","151.1",",6,0709,","","","","","","","","","","","","","","","","","","","","","1221.1",",6","",""
"USC00193625","1922","42.216667","-70.883333","18.3","HINGHAM 1, MA US","77","6","61","6","","","","","","","85.3",",6,0828,","","","","","","","","","","","","","","","","","","","","","1223.4",",6","",""
"USC00193625","1927","42.216667","-70.883333","18.3","HINGHAM 1, MA US","104","6","91","6","","","","","","","76.2",",6,0801,","","","","","","","","","","","","","","","","","","","","","1281.6",",6","",""
"USC00193625","1928","42.216667","-70.883333","18.3","HINGHAM 1, MA US","93","6","68","6","","","","","","","64.8",",6,1019,","","","","","","","","","","","","","","","","","","","","","1078.2",",6","",""
"USC00193625","1931","42.216667","-70.883333","18.3","HINGHAM 1, MA US","85","6","69","6","","","","","","","125.7",",6,0609,","","","","","","","","","","","","","","","","","","","","","1241.1",",6","",""
