"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014751","1963","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","474.2","","474.2","0","110","0","61","0","63","","10","0","3","0","115","0","35","0","162","0","23","0","-20.0","0,0129,","254",",0,1224,","257",",0,1223,","43.2",",0,1129,","37.2","0,0627,","-1.1","0,0924","-3.9","0,1113","-5.0","0,1206","-9.4","0,1214","-9.4","0,1214","0.0","0,0416","-2.8","0,0309","-4.4","0,0303","-12.8","0,0227","-12.8","0,0227","3212.9","","3212.9","0","764.9",",0","","","1151",",0","10.94","0","16.85","0","5.03","0","","","","","","","","","","","","","","","","","",""
"USW00014751","1964","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","537.5","","537.5","0","106","0","68","0","50","","10","0","2","0","112","0","16","0","158","0","32","0","-19.4","0,0115,","508",",0,0219,","356",",0,0113,","43.9",",0,0831,","36.1","0,0911,+","-0.6","0,1008","-2.8","0,1012","-5.6","0,1121","-8.9","0,1122","-8.9","0,1122","-0.6","0,0410","-2.8","0,0405","-5.6","0,0402","-6.7","0,0331","-11.1","0,0301","3147.3","","3147.3","0","875.0",",0","","","1534",",0","11.39","0","17.25","0","5.53","0","","","","","","","","","","","","","","","","","",""
"USW00014751","1965","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","650.1","","650.1","0","118","0","64","0","28","","9","0","1","0","115","0","23","0","153","0","37","0","-17.8","0,0115,","178",",0,0111,","193",",0,0110,","48.8",",0,0207,","36.1","0,0818,+","0.0","0,1028","-3.3","0,1029","-4.4","0,1030","-6.7","0,1221","-10.0","0,1227","-3.3","0,0405","-3.3","0,0405","-5.6","0,0401","-8.9","0,0322","-8.9","0,0322","3077.4","","3077.4","0","792.6",",0","56.8","X","773",",0","11.65","0","17.16","0","6.14","0","154266",",X","","","","","","","270","X","","","","","","","18.8","X"
"USW00014751","1966","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","752.3","","752.3","0","114","0","60","0","42","","15","0","1","0","108","0","32","0","152","0","60","0","-17.8","0,0129,","432",",0,0205,+","208",",0,0130,","103.4",",0,0914,","41.7","0,0703,","-0.6","0,1031","-2.8","0,1107","-6.1","0,1120","-6.7","0,1121","-10.6","0,1203","-0.6","0,0511","-3.9","0,0329","-4.4","0,0328","-6.7","0,0221","-11.1","0,0220","3039.6","","3039.6","0","803.8",",0","61.7","X","1594",",0","11.98","0","17.55","0","6.41","0","168108",",X","","","","","","","315","X","","","","","","","18.8","X"
"USW00014751","1967","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","500.0","","500.0","0","128","0","72","0","32","","11","0","2","0","112","0","23","0","144","0","14","0","-18.9","0,0209,+","203",",0,0208,","287",",0,0207,","54.6",",0,0803,","34.4","0,0616,","-1.7","0,1029","-4.4","0,1106","-4.4","0,1106","-7.2","0,1116","-11.1","0,1201","-1.1","0,0412","-2.2","0,0325","-4.4","0,0320","-12.8","0,0319","-12.8","0,0319","3092.5","","3092.5","0","1044.7",",0","57.9","X","1297",",0","10.94","0","16.21","0","5.67","0","156714",",X","","","","","","","270","X","","","","","","","19.2","X"
"USW00014751","1968","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","570.5","","570.5","0","115","0","66","0","29","","5","0","1","0","103","0","31","0","154","0","32","0","-20.6","0,0102,","279",",0,0101,","76",",0,1112,","95.0",",0,0910,","36.7","0,0822,","-1.1","0,1031","-2.8","0,1121","-6.1","0,1207","-7.8","0,1209","-11.7","0,1210","-1.1","0,0406","-2.8","0,0325","-7.2","0,0314","-7.2","0,0314","-9.4","0,0303","3177.3","","3177.3","0","844.1",",0","58.6","X","294",",0","11.50","0","16.78","0","6.22","0","161790",",X","","","","","","","315","X","","","","","","","19.2","X"
"USW00014751","1969","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","556.0","","556.0","0","128","0","70","0","35","","14","0","0","0","121","0","18","0","156","0","16","0","-13.3","0,1225,+","356",",0,1227,+","224",",0,1226,","101.6",",0,0723,","36.7","0,0717,+","-1.7","0,1023","-5.0","0,1024","-5.0","0,1024","-10.0","0,1221","-10.0","0,1221","-1.1","0,0407","-6.1","0,0401","-6.1","0,0401","-7.2","0,0312","-8.9","0,0206","2907.8","","2907.8","0","932.0",",0","57.0","X","1332",",0","11.52","0","16.62","0","6.42","0","154332",",X","","","","","","","315","X","","","","","","","16.1","X"
"USW00014751","1970","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","679.9","","679.9","0","132","0","83","0","53","","12","0","2","0","117","0","28","0","158","0","24","0","-17.8","0,0109,+","356",",0,0112,+","221",",0,0329,","48.0",",0,0709,","36.1","0,0924,","-0.6","0,1116","-2.2","0,1117","-6.1","0,1123","-6.7","0,1124","","","-1.1","0,0412","-2.2","0,0401","-11.1","0,0330","-11.1","0,0330","-11.1","0,0330","3247.5","","3247.5","0","1111.1",",0","51.4","X","1045",",0","11.84","0","16.81","0","6.88","0","141288",",X","","","","","","","270","X","","","","","","","22.8","X"
"USW00014751","1971","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","563.3","","563.3","0","132","0","74","0","53","","9","0","0","0","97","0","19","0","148","0","15","0","-14.4","0,0203,+","254",",0,0101,","185",",0,0101,","64.5",",0,0803,","35.6","0,0708,","0.0","0,1105","-3.9","0,1109","-5.0","0,1202","","","","","-1.1","0,0415","-2.2","0,0403","-6.7","0,0327","-6.7","0,0327","-9.4","0,0211","2943.5","","2943.5","0","1058.6",",0","48.3","X","783",",0","11.98","0","16.81","0","7.15","0","132744",",X","","","","","","","270","X","","","","","","","20.6","X"
"USW00014751","1972","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","509.4","","509.4","0","146","0","87","0","28","","9","0","0","0","105","0","16","0","144","0","18","0","-13.3","0,0116,","356",",0,0220,","330",",0,0219,","231.9",",0,0622,","36.1","0,0723,","-1.7","0,1020","-2.8","0,1121","-6.7","0,1123","-6.7","0,1123","","","-2.2","0,0409","-2.2","0,0409","-6.1","0,0311","-7.8","0,0304","-10.6","0,0223","2760.0","","2760.0","0","1506.1",",0","51.0","X","850",",0","11.56","0","16.29","0","6.82","0","140736",",X","","","","","","","270","X","","","","","","","18.8","X"
"USW00014751","1973","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","611.2","","611.2","0","123","0","83","0","13","","4","0","0","0","95","0","16","0","157","0","24","0","-15.0","0,0217,","254",",0,1217,","155",",0,1217,","110.2",",0,0914,","37.8","0,0828,","-0.6","0,1107","-3.3","0,1111","-4.4","0,1216","-7.2","0,1218","","","-1.1","0,0415","-3.3","0,0321","-6.7","0,0228","-6.7","0,0228","-10.0","0,0219","2883.2","","2883.2","0","1112.6",",0","51.8","X","533",",0","12.46","0","17.50","0","7.43","0","140736",",X","","","","","","","225","X","","","","","","","18.8","X"
"USW00014751","1974","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","625.5","","625.5","0","128","0","79","0","14","","4","0","0","0","103","0","13","0","160","0","20","0","-11.1","0,0210,","127",",0,0110,+","152",",0,0109,","61.0",",0,0901,","35.0","0,0714,+","-0.6","0,1004","-5.0","0,1123","-5.0","0,1123","-6.7","0,1127","","","-1.1","0,0407","-2.2","0,0326","-5.6","0,0325","-7.2","0,0216","-11.1","0,0210","2610.6","","2610.6","0","1091.5",",0","53.0","X","330",",0","12.33","0","17.24","0","7.43","0","146322",",X","","","","","","","270","X","","","","","","","17.9","X"
"USW00014751","1975","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","553.1","","553.1","0","136","0","97","0","","","12","0","0","0","99","0","15","0","154","0","14","0","-13.9","0,0121,","","","127",",0,0212,","116.6",",0,0926,","36.1","0,0825,","-0.6","0,1031","-2.2","0,1202","-4.4","0,1207","-6.7","0,1218","-8.9","0,1219","-0.6","0,0422","-2.2","0,0328","-4.4","0,0327","-7.8","0,0309","-9.4","0,0215","3004.8","","3004.8","0","1377.7",",0","52.3","X","830",",0","12.00","0","16.64","0","7.36","0","142962",",X","","","","","","","315","X","","","","","","","20.6","X"
"USW00014751","1976","40.21722","-76.85139","103.6","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","487.0","","487.0","0","118","0","81","0","16","","9","0","0","0","113","0","28","0","148","0","8","0","-13.9","0,1230,","152",",0,0310,","191",",0,0309,","98.3",",0,1009,","34.4","0,0628,+","-2.2","0,1019","-2.2","0,1019","-4.4","0,1028","-6.7","0,1129","-9.4","0,1130","0.0","0,0413","-2.8","0,0323","-6.7","0,0318","-6.7","0,0318","-10.6","0,0203","2701.4","","2701.4","0","1151.7",",0","58.1","X","575",",0","11.34","0","16.34","0","6.35","0","158424",",X","","","","","","","270","X","","","","","","","22.4","X"
