"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00418743","1894","33.148","-95.6269","150.9","SULPHUR SPRINGS, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1326.2","","1326.2","6","","","","","","","","","","","",""
"USC00418743","1902","33.148","-95.6269","150.9","SULPHUR SPRINGS, TX US","","","","","79","0","58","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","20",",0,0128,","101.9",",0,0730,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1444.4",",0","25",",0","","","","","","","",""
"USC00418743","1903","33.148","-95.6269","150.9","SULPHUR SPRINGS, TX US","1051.5","","1051.5","0","81","0","57","0","1","","1","0","0","0","38","0","1","0","230","0","60","0","-13.3","0,0217,","51",",0,0216,","51",",0,0216,","70.4",",0,0818,","35.6","0,0816,","","","-0.6","0,1117","-6.7","0,1118","-6.7","0,1118","-6.7","0,1118","","","-2.8","0,0301","-2.8","0,0301","-13.3","0,0217","-13.3","0,0217","-13.3","0,0217","1317.2","","1317.2","0","1066.0",",0","51",",0","17.15","0","22.79","0","11.51","0","",""
"USC00418743","1904","33.148","-95.6269","150.9","SULPHUR SPRINGS, TX US","","","","","71","0","49","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","5",",0,0122,","96.8",",0,0320,","","","","","","","","","","","","","","","","","","","","","","","","","1338.2","","1338.2","0","945.3",",0","5",",0","","","","","","","",""
"USC00418743","1905","33.148","-95.6269","150.9","SULPHUR SPRINGS, TX US","","","","","87","0","63","0","0","","2","0","","","","","7","0","238","0","72","0","","","0",",0,1231,+","25",",0,1230,+","171.5",",0,0511,","36.7","0,0825,+","","","","","","","","","","","","","","","","","","","","","","","","","","","1733.7",",0","63",",0","","","22.60","0","","","",""
"USC00418743","1906","33.148","-95.6269","150.9","SULPHUR SPRINGS, TX US","1214.7","","1214.7","0","90","0","58","0","0","","2","0","0","0","33","0","1","0","232","0","77","0","-10.6","0,0123,","0","T,0,1121,","102",",0,0122,","95.3",",0,1014,","36.7","0,0702,","","","-0.6","0,1101","-2.2","0,1121","","","","","","","-3.3","0,0320","-3.3","0,0320","-6.1","0,0208","-7.8","0,0205","-10.6","0,0123","","","","","1156.7",",0","178",",0","17.93","0","23.57","0","12.29","0","",""
"USC00418743","1907","33.148","-95.6269","150.9","SULPHUR SPRINGS, TX US","","","","","81","0","64","0","0","","0","0","","","","","1","0","251","0","88","0","","","0","T,0,0204,","0","T,0,1111,+","63.8",",0,0821,","38.3","0,0907,+","","","","","","","","","","","","","","","","","","","","","","","1001.6","","1001.6","0","1107.0",",0","0","T,0","","","24.39","0","","","",""
"USC00418743","1923","33.148","-95.6269","150.9","SULPHUR SPRINGS, TX US","","","","","101","0","74","0","0","","1","0","","","","","","","","","","","","","0",",0,1231,+","51",",0,0203,","53.3",",0,0121,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1195.6",",0","64",",0","","","","","","","",""
"USC00418743","1926","33.148","-95.6269","150.9","SULPHUR SPRINGS, TX US","","","","","49","0","49","0","0","","1","0","","","","","","","","","","","","","0",",0,1231,+","51",",0,1224,","85.3",",0,0626,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1306.4",",0","64",",0","","","","","","","",""
"USC00418743","1927","33.148","-95.6269","150.9","SULPHUR SPRINGS, TX US","","","","","48","0","47","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0","T,0,1219,","69.1",",0,0307,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1132.6",",0","0","T,0","","","","","","","",""
