"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013883","1948","33.9419","-81.1181","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","","","1189.2","","1189.2","0","133","0","85","0","0","","0","0","0","0","46","0","0","0","251","0","83","0","-11.1","0,1227,+","0","T,0,0209,+","3",",0,0210,+","55.6",",0,1004,","38.9","0,0830,+","0.0","0,1112","-2.8","0,1211","-7.8","0,1226","-7.8","0,1226","-11.1","0,1227","-1.7","X,0329","-2.2","X,0215","-5.0","X,0210","-11.1","X,0115","-11.1","X,0115","","","","","1382.6",",0","","","6",",0","17.80","0","24.25","0","11.35","0","","","","","","","","","","","","","","","","","",""
"USW00013883","1949","33.9419","-81.1181","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","","","1211.3","","1211.3","0","124","0","68","0","0","","0","0","0","0","38","0","0","0","256","0","76","0","-5.0","0,0316,","0",",0,1231,+","0","T,0,0409,+","99.6",",0,0817,","40.0","0,0728,","-0.6","0,1106","-3.9","0,1119","","","","","","","-1.1","0,0417","-5.0","0,0316","-5.0","0,0316","","","","","1112.7","","1112.7","0","1216.6",",0","","","0","T,0","18.52","0","24.88","0","12.15","0","","","","","","","","","","","","","","","","","",""
"USW00013883","1950","33.9419","-81.1181","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","","","1167.8","","1167.8","0","108","0","70","0","0","","0","0","0","0","56","0","2","0","243","0","73","0","-8.9","0,1126,+","0","T,0,1228,","0","T,0,1228,+","83.3",",0,0528,","40.0","0,0627,","0.0","0,1106","-2.2","0,1113","-8.9","0,1125","-8.9","0,1125","-8.9","0,1125","-1.7","0,0416","-3.3","0,0310","-4.4","0,0218","","","","","1210.9","","1210.9","0","1192.8",",0","","","0","T,0","17.66","0","24.16","0","11.16","0","","","","","","","","","","","","","","","","","",""
"USW00013883","1951","33.9419","-81.1181","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","","","1226.8","","1226.8","0","113","0","68","0","0","","0","0","0","0","52","0","0","0","243","0","90","0","-8.9","0,1228,+","0",",0,1231,+","0","T,0,0402,+","48.3",",0,0716,","40.0","0,0603,","-0.6","0,1104","-3.3","0,1109","-8.3","0,1120","-8.3","0,1120","-8.9","0,1217","-1.1","0,0314","-4.4","0,0211","-4.4","0,0211","-7.8","0,0208","","","1554.6","","1554.6","0","980.7",",0","","","0","T,0","17.76","0","24.56","0","10.95","0","","","","","","","","","","","","","","","","","",""
"USW00013883","1952","33.9419","-81.1181","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","","","1242.1","","1242.1","0","104","0","78","0","0","","0","0","0","0","47","0","0","0","242","0","94","0","-7.8","0,0131,","0",",0,1231,+","0","T,0,1122,+","49.8",",0,0807,","41.7","0,0729,+","-1.1","0,1021","-5.0","0,1022","-5.0","0,1022","-7.2","0,1216","","","0.0","0,0407","-2.2","0,0218","-7.8","0,0131","-7.8","0,0131","","","1315.5","","1315.5","0","1155.7",",0","","","0","T,0","17.88","0","24.75","0","11.02","0","","","","","","","","","","","","","","","","","",""
"USW00013883","1953","33.9419","-81.1181","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","","","1260.3","","1260.3","0","119","0","77","0","0","","0","0","0","0","49","0","0","0","245","0","102","0","-11.1","0,1218,","0",",0,1231,+","0","T,0,0413,+","107.4",",0,0926,","39.4","0,0805,","-3.3","0,1107","-3.3","0,1107","-5.0","0,1129","-7.2","0,1217","-11.1","0,1218","-1.7","0,0421","-2.2","0,0219","-5.0","0,0218","","","","","1389.7","","1389.7","0","1358.4",",0","","","0","T,0","18.13","0","25.14","0","11.12","0","","","","","","","","","","","","","","","","","",""
"USW00013883","1954","33.9419","-81.1181","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","","","1344.0","","1344.0","0","94","0","56","0","0","","0","0","0","0","64","0","0","0","235","0","113","0","-8.3","0,1208,","0",",0,1231,+","0","T,0,0124,","63.0",",0,0803,","41.7","0,0627,","-1.7","0,1101","-2.8","0,1103","-4.4","0,1127","-8.3","0,1208","","","-2.2","0,0322","-2.2","0,0322","-5.6","0,0307","","","","","1357.5","","1357.5","0","695.7",",0","","","0","T,0","17.98","0","25.22","0","10.74","0","","","","","","","","","","","","","","","","","",""
"USW00013883","1955","33.9419","-81.1181","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","","","1232.4","","1232.4","0","99","0","61","0","0","","1","0","0","0","64","0","0","0","254","0","84","0","-10.0","0,1217,","0","T,0,0124,+","43",",0,0123,","50.3",",0,0823,","37.8","0,0703,","-1.1","0,1101","-5.6","0,1129","-5.6","0,1129","-7.2","0,1130","-10.0","0,1217","-3.3","0,0330","-3.3","0,0330","-5.0","0,0327","-8.3","0,0214","-9.4","0,0213","1467.8","","1467.8","0","799.7",",0","","","43",",0","17.70","0","24.56","0","10.84","0","","","","","","","","","","","","","","","","","",""
"USW00013883","1956","33.9419","-81.1181","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","","","1238.2","","1238.2","0","95","0","58","0","0","","0","0","0","0","56","0","0","0","245","0","92","0","-6.7","0,1125,+","0",",0,1231,+","0","T,0,0320,+","77.0",",0,0411,","40.0","0,0806,","-1.1","0,1110","-2.2","0,1119","-5.0","0,1123","-6.7","0,1125","","","-0.6","0,0421","-2.8","0,0321","-4.4","0,0127","-6.7","0,0115","","","1530.7","","1530.7","0","976.3",",0","","","0","T,0","18.17","0","24.88","0","11.47","0","","","","","","","","","","","","","","","","","",""
"USW00013883","1957","33.9419","-81.1181","68.6","COLUMBIA METROPOLITAN AIRPORT, SC US","","","1198.1","","1198.1","0","118","0","75","0","0","","0","0","0","0","34","0","1","0","236","0","85","0","-9.4","0,1213,+","0","T,0,0115,","0","T,0,1211,+","59.4",",0,0906,","38.9","0,0812,","-1.1","0,1028","-3.9","0,1110","-5.6","0,1211","-9.4","0,1212","-9.4","0,1212","0.0","0,0311","-3.3","0,0310","-4.4","0,0218","-7.8","0,0120","-9.4","0,0119","1147.8","","1147.8","0","1083.5",",0","","","0","T,0","18.04","0","24.27","0","11.80","0","","","","","","","","","","","","","","","","","",""
