"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00087137","1913","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1664.8","","1664.8","6","","","","","0","6","0","6","0","6","345","6","41","6","1.7","6,1112,","","","34.4","6,0723,+","","","","","","","","","","","","","","","22.46","6","27.65","6","17.27","6"
"USC00087137","1914","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1627.3","","1627.3","6","96","6","82","6","0","6","0","6","0","6","299","6","60","6","1.7","6,1121,","74.9",",6,0124,","35.0","6,0625,","","","","","","","","","325.1","","325.1","6","1332.1",",6","21.77","6","26.51","6","17.03","6"
"USC00087137","1915","27.833333","-82.7","4.6","PINELLAS PARK, FL US","","","","","85","6","68","6","0","6","0","6","","","","","","","1.7","6,1222,","262.4",",6,0802,","","","","","","","","","","","","","","","1530.1",",6","","","","","16.93","6"
"USC00087137","1916","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1642.5","","1642.5","6","75","6","61","6","0","6","0","6","0","6","336","6","51","6","0.6","6,0216,","147.6",",6,1115,","35.0","6,0822,+","","","","","","","","","323.7","","323.7","6","897.5",",6","22.00","6","27.42","6","16.57","6"
"USC00087137","1917","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1547.8","","1547.8","6","91","6","66","6","0","6","5","6","0","6","332","6","56","6","-2.8","6,1231,+","201.7",",6,1016,","34.4","6,0905,+","0.0","6,1210","-2.8","6,1231","-0.6","6,0206","-2.8","6,0204","235.0","","235.0","6","1456.5",",6","21.63","6","27.24","6","16.02","6"
"USC00087137","1918","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1796.4","","1796.4","6","124","6","88","6","0","6","4","6","0","6","331","6","71","6","-2.8","6,0104,","68.6",",6,1126,","36.1","6,0807,","","","","","0.0","6,0124","-2.8","6,0104","399.1","","399.1","6","1018.1",",6","22.47","6","28.05","6","16.89","6"
"USC00087137","1919","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1806.3","","1806.3","6","114","6","84","6","0","6","0","6","0","6","325","6","83","6","0.6","6,0211,+","144.8",",6,0721,","34.4","6,0714,","","","","","","","","","278.4","","278.4","6","1351.5",",6","22.49","6","27.83","6","17.14","6"
"USC00087137","1920","27.833333","-82.7","4.6","PINELLAS PARK, FL US","","","","","118","6","82","6","","","","","","","","","","","","","94.5",",6,0607,","","","","","","","","","","","","","","","1544.9",",6","","","","","",""
"USC00087137","1921","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1747.7","","1747.7","6","106","6","72","6","0","6","0","6","0","6","350","6","79","6","3.3","6,0226,","198.4",",6,1025,","33.9","6,0901,+","","","","","","","","","279.0","","279.0","6","1540.6",",6","22.59","6","28.42","6","16.76","6"
"USC00087137","1922","27.833333","-82.7","4.6","PINELLAS PARK, FL US","1817.6","","1817.6","6","129","6","92","6","0","6","0","6","0","6","345","6","63","6","0.6","6,0208,","112.3",",6,1027,","34.4","6,0509,","","","","","","","","","190.6","","190.6","6","1933.6",",6","22.79","6","28.43","6","17.16","6"
