"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00297707","1934","34.53333","-106.8","1434.1","SABINAL, NM US","368.0","","368.0","6","1","6","0","6","138","6","0","6","191","6","54","6","-15.6","6,0109,","64",",6,0324,","38.3","6,0712,","-1.1","6,0929","-2.8","6,1021","-5.6","6,1028","-6.7","6,1125","-8.9","6,1201","-3.3","6,0610","-3.3","6,0610","-7.2","6,0319","-7.2","6,0319","-11.1","6,0214","77",",6","12.43","6","21.69","6","3.17","6"
"USC00297707","1936","34.53333","-106.8","1434.1","SABINAL, NM US","","","","","2","6","","","","","","","","","","","","","76",",6,0107,","","","","","","","","","","","","","","","","","","","","","","","101",",6","","","","","",""
