"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00425034","1914","40.383333","-111.85","1386.8","LEHI, UT US","231.0","","231.0","6","1","6","141","6","19","6","168","6","37","6","-18.9","6,0206,","35.6","6,0815,+","-0.6","6,0914","-2.8","6,1104","-5.6","6,1108","-6.7","6,1110","-9.4","6,1114","-0.6","6,0501","-2.2","6,0406","-5.6","6,0303","-6.7","6,0227","-10.0","6,0210","9.82","6","18.08","6","1.56","6"
"USC00425034","1920","40.383333","-111.85","1386.8","LEHI, UT US","","","","","","","","","15","6","137","6","39","6","","","37.2","6,0721,+","","","","","","","","","","","","","","","","","","","","","","","17.37","6","",""
