"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00413060","1963","26.558","-99.1372","97.5","FALCON DAM, TX US","2371.7","","2371.7","0","50","0","30","0","0","","0","0","0","0","12","0","0","0","297","0","194","0","-5.6","0,0124,","0",",0,1231,+","0",",0,1231,+","67.3",",0,1026,","45.0","0,0410,","","","-1.1","0,1224","","","","","","","","","0.0","0,0213","-5.0","0,0125","-5.0","0,0125","563.7","","563.7","0","571.4",",0","0",",0","22.97","0","29.66","0","16.28","0","",""
"USC00413060","1964","26.558","-99.1372","97.5","FALCON DAM, TX US","2280.3","","2280.3","0","50","0","34","0","0","","0","0","0","0","6","0","0","0","314","0","166","0","-2.2","0,0113,","0",",0,1231,+","0",",0,1231,+","93.5",",0,0928,","41.1","0,0828,+","","","","","","","","","","","","","0.0","0,0208","-2.2","0,0113","","","621.0","","621.0","0","574.8",",0","0",",0","23.04","0","29.63","0","16.45","0","",""
"USC00413060","1965","26.558","-99.1372","97.5","FALCON DAM, TX US","2262.7","","2262.7","0","56","0","30","0","0","","0","0","0","0","0","0","0","0","306","0","176","0","0.6","0,0320,+","0",",0,1231,+","0",",0,1231,+","51.6",",0,0517,","42.8","0,0720,","","","","","","","","","","","","","","","","","","","522.8","","522.8","0","340.6",",0","0",",0","23.43","0","29.81","0","17.06","0","",""
"USC00413060","1966","26.558","-99.1372","97.5","FALCON DAM, TX US","1995.5","","1995.5","0","64","0","38","0","0","","0","0","0","0","9","0","0","0","289","0","149","0","-3.3","0,1214,+","0",",0,1231,+","0",",0,1231,+","180.3",",0,0827,","41.1","0,0916,+","","","-1.7","0,1212","-3.3","0,1213","","","","","","","-2.8","0,0131","-2.8","0,0131","","","551.2","","551.2","0","704.5",",0","0",",0","22.02","0","28.36","0","15.68","0","",""
"USC00413060","1967","26.558","-99.1372","97.5","FALCON DAM, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","488.2","","488.2","0","","","","","","","","","","","",""
"USC00413060","1968","26.558","-99.1372","97.5","FALCON DAM, TX US","1937.3","","1937.3","0","66","0","37","0","0","","0","0","0","0","9","0","0","0","298","0","142","0","-1.1","0,0224,","0",",0,1231,+","0",",0,1231,+","57.9",",0,0902,","40.6","0,0814,","","","-0.6","0,1204","","","","","","","","","-0.6","0,0225","","","","","","","","","517.9",",0","0",",0","21.88","0","28.16","0","15.60","0","",""
"USC00413060","1969","26.558","-99.1372","97.5","FALCON DAM, TX US","2227.8","","2227.8","0","55","0","34","0","0","","0","0","0","0","2","0","0","0","312","0","181","0","-2.8","0,0105,","0",",0,1231,+","0",",0,1231,+","75.4",",0,0603,","42.2","0,0728,+","","","","","","","","","","","","","-2.2","0,0106","-2.2","0,0106","","","471.5","","471.5","0","468.4",",0","0",",0","23.12","0","29.71","0","16.53","0","",""
"USC00413060","1970","26.558","-99.1372","97.5","FALCON DAM, TX US","1961.5","","1961.5","0","55","0","36","0","0","","0","0","0","0","5","0","0","0","306","0","150","0","-3.9","0,0107,","0",",0,1231,+","0",",0,1231,+","67.8",",0,0927,","42.2","0,0613,","","","0.0","0,1116","","","","","","","","","-3.3","0,0108","-3.3","0,0108","","","583.7","","583.7","0","476.3",",0","0",",0","22.32","0","28.94","0","15.69","0","",""
"USC00413060","1971","26.558","-99.1372","97.5","FALCON DAM, TX US","2262.3","","2262.3","0","44","0","28","0","0","","0","0","0","0","1","0","0","0","336","0","163","0","0.0","0,0209,","0",",0,1231,+","0",",0,1231,+","176.5",",0,0913,","41.7","0,0506,","","","","","","","","","","","","","0.0","0,0209","","","","","367.2","","367.2","0","628.0",",0","0",",0","23.66","0","30.32","0","17.01","0","",""
"USC00413060","1972","26.558","-99.1372","97.5","FALCON DAM, TX US","2145.1","","2145.1","0","63","0","30","0","0","","0","0","0","0","4","0","0","0","308","0","173","0","-2.2","0,0204,","0",",0,1231,+","0",",0,1231,+","86.9",",0,0924,","40.6","0,0415,","","","","","","","","","","","","","-1.7","0,0205","-2.2","0,0204","","","308.0","","308.0","0","592.8",",0","0",",0","22.90","0","29.27","0","16.52","0","",""
