"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00136910","1971","40.825","-92.8925","294.1","RATHBUN DAM, IA US","530.7","","530.7","0","","","","","","","","","18","0","139","0","53","0","163","0","25","0","-30.0","0,0107,","","","","","","","36.7","0,0909,","-0.6","0,1031","-2.8","0,1106","-10.0","0,1107","-10.0","0,1107","-10.0","0,1107","0.0","0,0429","-2.2","0,0410","-7.2","0,0325","-7.2","0,0325","-10.6","0,0324","","","","","","","","","9.79","0","15.78","0","3.79","0"
"USC00136910","1974","40.825","-92.8925","294.1","RATHBUN DAM, IA US","361.4","","361.4","0","105","0","73","0","","","10","0","11","0","141","0","46","0","141","0","20","0","-33.3","0,0113,+","","","102",",0,1130,+","93.2",",0,0704,","36.1","0,0722,+","0.0","0,0922","-5.0","0,1002","-5.0","0,1002","-6.7","0,1115","-10.6","0,1202","-1.1","0,0424","-2.2","0,0409","-13.9","0,0325","-13.9","0,0325","-13.9","0,0325","","","","","917.9",",0","524",",0","9.34","0","15.31","0","3.36","0"
"USC00136910","1975","40.825","-92.8925","294.1","RATHBUN DAM, IA US","540.5","","540.5","0","99","0","56","0","42","","15","0","11","0","154","0","57","0","161","0","29","0","-27.2","0,0209,","127",",0,0226,+","127",",0,0224,","46.7",",0,0911,","36.7","0,0813,","0.0","0,0926","-3.3","0,1019","-10.6","0,1114","-10.6","0,1114","-10.6","0,1114","-0.6","0,0420","-2.8","0,0412","-6.1","0,0405","-8.9","0,0404","-8.9","0,0404","3788.0","","3788.0","0","712.9",",0","889",",0","9.87","0","15.67","0","4.06","0"
"USC00136910","1976","40.825","-92.8925","294.1","RATHBUN DAM, IA US","460.8","","460.8","0","72","0","52","0","26","","7","0","21","0","150","0","42","0","150","0","19","0","-25.0","0,1231,","102",",0,0128,+","102",",0,0126,","55.9",",0,0614,","36.7","0,0722,+","-3.9","0,1008","-3.9","0,1008","-8.3","0,1022","-8.3","0,1022","-8.9","0,1105","-0.6","0,0503","-3.9","0,0412","-5.0","0,0322","-7.2","0,0317","-9.4","0,0306","3269.5","","3269.5","0","755.1",",0","426",",0","9.40","0","15.86","0","2.95","0"
"USC00136910","1977","40.825","-92.8925","294.1","RATHBUN DAM, IA US","572.7","","572.7","0","108","0","70","0","","","12","0","30","0","131","0","58","0","166","0","26","0","-28.9","0,0116,","","","102",",0,0322,","73.7",",0,0826,","37.8","0,0708,+","-1.1","0,1013","-2.2","0,1110","-4.4","0,1112","-7.8","0,1121","-11.7","0,1125","-2.2","0,0407","-2.2","0,0407","-6.7","0,0323","-6.7","0,0323","-9.4","0,0322","3860.5","","3860.5","0","1016.5",",0","688",",0","10.01","0","15.87","0","4.15","0"
"USC00136910","1978","40.825","-92.8925","294.1","RATHBUN DAM, IA US","511.8","","511.8","0","116","0","63","0","","","12","0","41","0","141","0","76","0","144","0","20","0","-27.2","0,0207,+","","","165",",0,0303,","99.1",",0,0719,","35.0","0,0908,","-2.2","0,1008","-2.2","0,1008","-4.4","0,1118","-8.3","0,1119","-13.9","0,1128","-0.6","0,0328","-5.6","0,0327","-5.6","0,0327","-8.9","0,0311","-8.9","0,0311","4115.3","","4115.3","0","1071.2",",0","909",",0","8.32","0","14.11","0","2.52","0"
"USC00136910","1979","40.825","-92.8925","294.1","RATHBUN DAM, IA US","447.6","","447.6","0","101","0","65","0","72","","","","35","0","149","0","58","0","149","0","9","0","-31.1","0,0209,","406",",0,0201,+","","","32.8",",0,0519,","34.4","0,0806,","-3.3","0,1005","-3.3","0,1005","-4.4","0,1014","-6.7","0,1107","-8.9","0,1201","0.0","0,0415","-2.2","0,0410","-5.6","0,0407","-7.2","0,0326","-11.7","0,0316","4118.7","","4118.7","0","765.0",",0","","","8.35","0","14.27","0","2.44","0"
"USC00136910","1980","40.825","-92.8925","294.1","RATHBUN DAM, IA US","611.2","","611.2","0","99","0","55","0","43","","14","0","14","0","153","0","54","0","153","0","37","0","-24.4","0,0202,+","127",",0,0217,+","152",",0,0412,","127.8",",0,0831,","40.0","0,0721,","-2.2","0,1004","-2.2","0,1004","-5.0","0,1026","-7.2","0,1029","-9.4","0,1125","-1.7","0,0509","-5.0","0,0412","-5.0","0,0412","-8.3","0,0410","-11.1","0,0314","3591.7","","3591.7","0","1109.5",",0","784",",0","9.61","0","15.72","0","3.49","0"
"USC00136910","1981","40.825","-92.8925","294.1","RATHBUN DAM, IA US","460.4","","460.4","0","104","0","69","0","26","","7","0","14","0","125","0","33","0","154","0","8","0","-26.7","0,0212,+","152",",0,1221,","102",",0,1217,","104.4",",0,0704,","35.0","0,0714,+","-0.6","0,1019","-4.4","0,1023","-4.4","0,1023","-7.2","0,1121","-9.4","0,1210","-2.8","0,0406","-2.8","0,0406","-4.4","0,0320","-7.2","0,0308","-9.4","0,0214","3410.6","","3410.6","0","1146.4",",0","457",",0","10.49","0","16.63","0","4.36","0"
"USC00136910","1982","40.825","-92.8925","294.1","RATHBUN DAM, IA US","","","","","","","","","","","","","","","","","60","0","139","0","10","0","","","","","","","","","35.0","0,0804,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.46","0","",""
