"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00405216","1897","36.03333","-85.95","203.9","LIBERTY, TN US","","","","","","","1854.8","","1854.8","6","",""
"USC00405216","1902","36.03333","-85.95","203.9","LIBERTY, TN US","81","6","74","6","61.7",",6,0328,","","","","","1363.8",",6"
"USC00405216","1913","36.03333","-85.95","203.9","LIBERTY, TN US","78","6","67","6","66.0",",6,0227,","","","","","1087.7",",6"
"USC00405216","1914","36.03333","-85.95","203.9","LIBERTY, TN US","105","6","92","6","77.5",",6,0605,","","","","","1333.2",",6"
"USC00405216","1915","36.03333","-85.95","203.9","LIBERTY, TN US","101","6","97","6","71.1",",6,1001,","","","","","1556.2",",6"
"USC00405216","1919","36.03333","-85.95","203.9","LIBERTY, TN US","102","6","96","6","59.7",",6,0101,","","","","","1469.1",",6"
"USC00405216","1920","36.03333","-85.95","203.9","LIBERTY, TN US","110","6","102","6","92.7",",6,0402,","","","","","1485.9",",6"
"USC00405216","1921","36.03333","-85.95","203.9","LIBERTY, TN US","88","6","86","6","57.2",",6,0812,","","","","","1350.8",",6"
"USC00405216","1923","36.03333","-85.95","203.9","LIBERTY, TN US","110","6","102","6","62.2",",6,0809,","","","","","1575.5",",6"
"USC00405216","1924","36.03333","-85.95","203.9","LIBERTY, TN US","96","6","79","6","78.7",",6,1208,","","","","","1107.7",",6"
"USC00405216","1925","36.03333","-85.95","203.9","LIBERTY, TN US","109","6","86","6","73.7",",6,0428,","","","","","1226.8",",6"
"USC00405216","1926","36.03333","-85.95","203.9","LIBERTY, TN US","125","6","103","6","71.1",",6,1221,","","","","","1479.1",",6"
"USC00405216","1927","36.03333","-85.95","203.9","LIBERTY, TN US","117","6","85","6","50.8",",6,1231,","","","","","1234.1",",6"
"USC00405216","1928","36.03333","-85.95","203.9","LIBERTY, TN US","124","6","97","6","78.7",",6,0629,","","","","","1502.6",",6"
"USC00405216","1929","36.03333","-85.95","203.9","LIBERTY, TN US","126","6","105","6","134.6",",6,0323,","","","","","1690.3",",6"
"USC00405216","1930","36.03333","-85.95","203.9","LIBERTY, TN US","96","6","74","6","91.4",",6,0818,","","","","","1099.6",",6"
"USC00405216","1931","36.03333","-85.95","203.9","LIBERTY, TN US","102","6","75","6","66.0",",6,1214,","","","","","1151.1",",6"
"USC00405216","1933","36.03333","-85.95","203.9","LIBERTY, TN US","98","6","84","6","88.9",",6,0904,","","","","","1469.5",",6"
"USC00405216","1934","36.03333","-85.95","203.9","LIBERTY, TN US","108","6","83","6","55.9",",6,0728,","","","","","1220.6",",6"
"USC00405216","1936","36.03333","-85.95","203.9","LIBERTY, TN US","91","6","71","6","99.1",",6,1104,","","","","","1189.3",",6"
"USC00405216","1937","36.03333","-85.95","203.9","LIBERTY, TN US","132","6","107","6","99.8",",6,0102,","","","","","1549.7",",6"
"USC00405216","1938","36.03333","-85.95","203.9","LIBERTY, TN US","103","6","89","6","78.7",",6,0801,","","","","","1393.3",",6"
"USC00405216","1939","36.03333","-85.95","203.9","LIBERTY, TN US","101","6","86","6","99.1",",6,0203,","","","","","1312.6",",6"
"USC00405216","1940","36.03333","-85.95","203.9","LIBERTY, TN US","114","6","95","6","48.3",",6,0524,","","","","","1210.4",",6"
"USC00405216","1941","36.03333","-85.95","203.9","LIBERTY, TN US","93","6","81","6","78.7",",6,0610,","","","","","1212.0",",6"
"USC00405216","1942","36.03333","-85.95","203.9","LIBERTY, TN US","123","6","100","6","77.5",",6,0804,","","","","","1501.2",",6"
