"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00013839","2002","31.3167","-85.45","114.0","DOTHAN REGIONAL AIRPORT, AL US","3.0","W","1474.4","","1474.4","W","144","W","75","W","0","W","24","W","0","W","252","W","81","W","-5.6","W,0104,","54.6",",W,0528,","37.8","W,0719,","-1.1","W,1123","-2.2","W,1202","","","-0.6","W,0306","-3.3","W,0305","-5.0","W,0228","","","","","","","","","1128.9",",W","19.45","W","25.14","W","13.76","W","80","W","90","W","16.1","W","21.5","W"
"USW00013839","2003","31.3167","-85.45","114.0","DOTHAN REGIONAL AIRPORT, AL US","3.1","W","1249.2","","1249.2","W","145","W","79","W","0","W","28","W","0","W","261","W","36","W","-10.0","W,0124,","90.9",",W,0807,","33.3","W,0904,+","-1.1","W,1125","-2.8","W,1220","","","0.0","W,0211","-2.8","W,0128","-6.1","W,0125","-10.0","W,0124","-10.0","W,0124","1115.1","","1115.1","W","1481.3",",W","18.78","W","24.39","W","13.17","W","250","W","250","W","14.8","W","19.2","W"
"USW00013839","2004","31.3167","-85.45","114.0","DOTHAN REGIONAL AIRPORT, AL US","3.3","W","1315.6","","1315.6","W","130","W","79","W","0","W","24","W","0","W","263","W","55","W","-4.4","W,1220,+","94.7",",W,0916,","36.1","W,0724,","-0.6","W,1214","-4.4","W,1215","-4.4","W,1215","-2.2","W,0208","-2.2","W,0208","","","","","","","1041.9","","1041.9","W","1348.4",",W","19.10","W","24.79","W","13.41","W","210","W","140","W","19.7","W","24.1","W"
"USW00013839","2005","31.3167","-85.45","114.0","DOTHAN REGIONAL AIRPORT, AL US","3.1","B","1302.0","","1302.0","B","133","B","73","B","0","B","17","B","0","B","262","B","66","B","-6.1","B,0124,","60.2",",B,0113,","35.0","B,0919,+","-1.1","B,1118","-3.3","B,1222","","","-1.7","W,0302","-6.1","W,0124","-6.1","W,0124","","","","","963.2","","963.2","B","1445.9",",B","19.08","B","24.80","B","13.35","B","140","B","90","B","19.2","B","22.8","B"
"USW00013839","2006","31.3167","-85.45","114.0","DOTHAN REGIONAL AIRPORT, AL US","3.2","W","1490.9","","1490.9","W","99","W","57","W","0","W","14","W","0","W","279","W","112","W","-5.5","W,1209,","61.0",",W,1115,","38.9","W,0622,","-0.5","W,1204","-4.9","W,1208","-4.9","W,1208","-1.6","W,0227","","","","","","","","","905.8","","905.8","W","959.1",",W","20.05","W","26.49","W","13.62","W","90","W","90","W","17.4","W","22.8","W"
"USW00013839","2007","31.3167","-85.45","114.0","DOTHAN REGIONAL AIRPORT, AL US","3.0","W","1539.3","","1539.3","W","112","W","61","W","0","W","16","W","0","W","283","W","111","W","-5.5","W,0217,","101.9",",W,1126,","38.9","W,0814,+","0.0","W,1108","","","","","-1.6","W,0219","-5.5","W,0217","-5.5","W,0217","","","","","916.1","","916.1","W","1255.2",",W","20.10","W","26.40","W","13.80","W","130","W","140","W","19.7","W","26.4","W"
"USW00013839","2008","31.3167","-85.45","114.0","DOTHAN REGIONAL AIRPORT, AL US","","","","","","","108","W","66","W","","","","","","","","","","","","","106.9",",W,1210,","","","","","","","","","","","","","","","","","","","","","","","1210.2",",W","","","","","","","","","","","","","",""
"USW00013839","2009","31.3167","-85.45","114.0","DOTHAN REGIONAL AIRPORT, AL US","3.0","W","1624.8","","1624.8","W","150","W","86","W","0","W","17","W","0","W","272","W","89","W","-4.9","W,0205,","163.3",",W,0328,","40.6","W,0702,+","-0.5","W,1205","","","","","-1.0","W,0303","-4.9","W,0205","-4.9","W,0205","","","","","827.9","","827.9","W","1787.9",",W","20.22","W","25.85","W","14.59","W","350","W","340","W","20.6","W","27.3","W"
"USW00013839","2010","31.3167","-85.45","114.0","DOTHAN REGIONAL AIRPORT, AL US","2.9","W","1564.8","","1564.8","W","113","W","65","W","0","W","52","W","0","W","253","W","114","W","-7.7","W,0111,","73.2",",W,0503,","38.9","W,0801,+","-0.5","W,1107","-3.2","W,1207","-5.5","W,1209","-0.5","W,0307","-2.7","W,0225","-5.5","W,0113","-7.7","W,0111","","","1293.8","","1293.8","W","1118.1",",W","18.85","W","25.30","W","12.39","W","300","W","60","W","17.9","W","28.2","W"
"USW00013839","2011","31.3167","-85.45","114.0","DOTHAN REGIONAL AIRPORT, AL US","3.1","W","1548.7","","1548.7","W","110","W","65","W","0","W","24","W","0","W","276","W","115","W","-6.6","W,0114,+","56.6",",W,0716,","39.4","W,0603,+","0.0","W,1111","-2.7","W,1201","","","0.0","W,0213","-2.7","W,0212","-5.5","W,0115","","","","","1141.0","","1141.0","W","944.3",",W","19.86","W","26.35","W","13.37","W","320","W","200","W","17.0","W","37.1","W"
