"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USC00425654","1928","38.40168","-113.01624","1526.7","MILFORD, UT US","327.0","","327.0","0","47","0","28","0","2","","6","0","10","0","192","0","15","0","190","0","63","0","-23.3","0,1221,","76",",0,0115,","64",",0,0115,","18.0",",0,0716,","38.3","0,0727,","-1.7","0,0913","-2.2","0,1011","-4.4","0,1021","-9.4","0,1022","-9.4","0,1022","-3.3","0,0503","-3.3","0,0503","-5.6","0,0423","-12.2","0,0409","-12.2","0,0409","","","","","151.6",",0","","","308",",0","10.04","0","20.05","0","0.03","0","","","","","","","","","",""
"USC00425654","1929","38.40168","-113.01624","1526.7","MILFORD, UT US","383.2","","383.2","0","53","0","22","0","1","","14","0","16","0","181","0","23","0","163","0","43","0","-34.4","0,0124,","25",",0,0109,","229",",0,0120,","20.8",",0,0804,","37.8","0,0625,","0.0","0,0909","-2.2","0,1011","-9.4","0,1024","-9.4","0,1024","-9.4","0,1024","-0.6","0,0527","-4.4","0,0501","-4.4","0,0501","-9.4","0,0410","-9.4","0,0410","3687.2","","3687.2","0","203.3",",0","","","1035",",0","9.01","0","17.79","0","0.22","0","","","","","","","","","",""
"USC00425654","1930","38.40168","-113.01624","1526.7","MILFORD, UT US","333.3","","333.3","0","62","0","21","0","3","","14","0","17","0","175","0","44","0","158","0","45","0","-31.1","0,0123,+","25",",0,1231,+","127",",0,1117,","20.8",",0,0330,","36.7","0,0707,+","-2.8","0,0926","-2.8","0,0926","-5.6","0,1015","-8.3","0,1027","-10.0","0,1029","-3.3","0,0523","-3.3","0,0523","-6.7","0,0329","-6.7","0,0329","-10.6","0,0301","3312.8","","3312.8","0","214.5",",0","","","703",",0","8.84","0","17.60","0","0.08","0","","","","","","","","","",""
"USC00425654","1931","38.40168","-113.01624","1526.7","MILFORD, UT US","398.3","","398.3","0","49","0","21","0","1","","6","0","14","0","178","0","21","0","180","0","54","0","-30.6","0,1213,","25",",0,1231,","165",",0,1209,","21.6",",0,0526,","40.0","0,0726,","0.0","0,0924","-3.3","0,0925","-8.9","0,1027","-8.9","0,1027","-8.9","0,1027","-1.7","0,0521","-2.2","0,0511","-5.0","0,0421","-8.3","0,0404","-13.9","0,0327","3769.1","","3769.1","0","176.8",",0","","","514",",0","9.57","0","18.47","0","0.67","0","","","","","","","","","",""
"USC00425654","1932","38.40168","-113.01624","1526.7","MILFORD, UT US","325.0","","325.0","0","46","0","25","0","1","","9","0","30","0","183","0","41","0","169","0","51","0","-27.8","0,1211,","76",",0,0215,","152",",0,1210,","34.8",",0,0827,","37.2","0,0707,+","0.0","0,0925","-3.3","0,1005","-5.6","0,1011","-7.8","0,1025","-10.0","0,1031","-1.1","0,0607","-2.8","0,0427","-4.4","0,0411","-8.3","0,0407","-9.4","0,0221","3887.2","","3887.2","0","256.9",",0","","","688",",0","8.68","0","17.51","0","-0.15","0","","","","","","","","","",""
"USC00425654","1933","38.40168","-113.01624","1526.7","MILFORD, UT US","","","","","50","0","21","0","1","","9","0","","","","","","","","","","","","","76",",0,1130,","114",",0,0503,+","29.0",",0,0317,","","","","","","","","","","","","","","","","","","","","","","","","","","","172.3",",0","","","774",",0","","","","","","","","","","","","","","","",""
"USC00425654","1934","38.40168","-113.01624","1526.7","MILFORD, UT US","362.2","","362.2","0","39","0","16","0","0","","7","0","4","0","162","0","9","0","200","0","49","0","-20.0","0,1203,","0",",0,1231,+","127",",0,0403,","45.7",",0,0703,","37.8","0,0729,+","-1.1","0,0926","-3.9","0,0927","-5.0","0,0928","-8.9","0,1125","-8.9","0,1125","-0.6","0,0602","-2.2","0,0418","-5.0","0,0319","-9.4","0,0318","-9.4","0,0318","2780.6","","2780.6","0","162.1",",0","","","448",",0","11.15","0","20.34","0","1.97","0","","","","","","","","","",""
"USC00425654","1935","38.40168","-113.01624","1526.7","MILFORD, UT US","340.3","","340.3","0","69","0","27","0","2","","12","0","8","0","170","0","12","0","152","0","42","0","-32.2","0,0120,","25",",0,1215,+","203",",0,0305,","33.0",",0,0728,","38.3","0,0714,","-0.6","0,0929","-3.9","0,1016","-4.4","0,1017","-7.8","0,1022","-13.9","0,1024","-3.3","0,0505","-3.3","0,0505","-5.0","0,0426","-9.4","0,0328","-9.4","0,0328","3411.7","","3411.7","0","236.4",",0","","","837",",0","9.26","0","17.85","0","0.67","0","","","","","","","","","",""
"USC00425654","1936","38.40168","-113.01624","1526.7","MILFORD, UT US","316.5","","316.5","0","72","0","25","0","8","","9","0","2","0","170","0","14","0","153","0","41","0","-19.4","0,0107,","102",",0,1231,+","102",",0,1228,","25.7",",0,0710,","37.2","0,0704,+","-1.1","0,0916","-3.9","0,0927","-5.0","0,1024","-6.7","0,1025","-9.4","0,1102","-0.6","0,0522","-3.9","0,0410","-4.4","0,0409","-7.8","0,0402","-9.4","0,0326","3483.9","","3483.9","0","242.4",",0","","","562",",0","9.73","0","17.90","0","1.56","0","","","","","","","","","",""
"USC00425654","1938","38.40168","-113.01624","1526.7","MILFORD, UT US","340.0","","340.0","0","67","0","29","0","8","","4","0","3","0","186","0","12","0","167","0","52","0","-20.6","0,1113,","51",",0,1224,+","76",",0,1222,+","21.1",",0,0303,","39.4","0,0801,","-2.2","0,1017","-2.2","0,1017","-4.4","0,1102","-7.8","0,1104","-11.1","0,1106","-1.1","0,0621","-3.3","0,0520","-5.6","0,0519","-6.7","0,0507","-10.0","0,0409","","","","","227.4",",0","","","228",",0","9.71","0","18.57","0","0.84","0","","","","","","","","","",""
