"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00385658","1943","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","77","6","64","6","","","","","","","","","86.4",",6,0709,","","","","","1214.4",",6","",""
"USC00385658","1944","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","88","6","75","6","","","","","","","","","101.6",",6,0731,","","","","","1226.9",",6","",""
"USC00385658","1945","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","112","6","92","6","","","","","","","","","51.8",",6,1225,","","","","","1314.4",",6","",""
"USC00385658","1946","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","84","6","69","6","","","","","","","","","91.4",",6,1009,","","","","","1044.7",",6","",""
"USC00385658","1947","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","127","6","104","6","","","","","","","","","48.3",",6,1102,","","","","","1288.5",",6","",""
"USC00385658","1948","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","","","","","","","","","","","","","","","","","","","1356.8",",0","",""
"USC00385658","1949","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","110","0","78","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","42.2",",0,0828,","","","","","974.6",",0","0",",0"
"USC00385658","1951","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","97","0","73","0","0","","0","0","0","T,0,0210,","8",",0,0210,","63.5",",0,0703,","","","","","1020.6",",0","8",",0"
"USC00385658","1952","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","87","0","65","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","81.0",",0,0802,","","","","","1085.2",",0","0",",0"
"USC00385658","1953","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","106","0","83","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","69.9",",0,0501,","","","","","1192.5",",0","0",",0"
"USC00385658","1954","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","92","0","63","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","41.9",",0,0716,","","","","","801.4",",0","0",",0"
"USC00385658","1955","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","100","0","74","0","1","","1","0","51",",0,0124,","51",",0,0124,","80.8",",0,0522,","","","","","1049.1",",0","51",",0"
"USC00385658","1956","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","94","0","70","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","51.8",",0,0926,","","","","","1015.6",",0","0",",0"
"USC00385658","1957","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","111","0","80","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","62.5",",0,0701,","","","","","1304.2",",0","0",",0"
"USC00385658","1958","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","86","0","63","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","71.4",",0,0416,","","","","","981.3",",0","0",",0"
"USC00385658","1961","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","99","0","79","0","0","","0","0","0",",0,1231,+","0","T,0,0127,","73.4",",0,0225,","","","","","1437.4",",0","0","T,0"
"USC00385658","1962","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","92","0","60","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","57.9",",0,0608,","","","","","1145.9",",0","0",",0"
"USC00385658","1963","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","82","0","69","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","78.2",",0,0929,","","","","","1233.1",",0","0",",0"
"USC00385658","1964","33.92356","-82.14392","150.9","MC CORMICK 9 E, SC US","107","0","84","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","181.1",",0,0830,","","","","","1813.5",",0","0",",0"
