"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00053166","2011","37.2157","-113.3794","1041.5","ST. GEORGE 15 NE, UT US","1211.6","","1211.6","R","42","R","21","R","0","R","44","R","1","R","187","R","95","R","-10.4","R,0101,","29.3",",R,0219,","41.7","R,0824,","0.0","R,1203","-3.5","R,1204","-6.3","R,1206","-0.3","R,0223","-8.6","R,0203","-8.6","R,0203","-8.6","R,0203","-9.1","R,0202","","","","","203.4",",R","16.30","R","22.61","R","9.98","R"
"USW00053166","2012","37.2157","-113.3794","1041.5","ST. GEORGE 15 NE, UT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1720.5","","1720.5","R","","","","","","","",""
