"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CLEO","2000","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","244.3","","244.3","U","0","U","0","U","0","U","216","U","0","U","5.6","U,0306,","31.1","U,0912,+","","","","","17.01","U","21.82","U","12.20","U"
"USR0000CLEO","2001","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","130.9","","130.9","U","0","U","0","U","0","U","188","U","0","U","4.4","U,0408,","30.0","U,0204,","851.1","","851.1","U","16.25","U","20.76","U","11.74","U"
"USR0000CLEO","2002","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","850.3","","850.3","U","","","","","",""
"USR0000CLEO","2003","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","273.4","","273.4","U","0","U","0","U","0","U","203","U","2","U","5.6","U,1229,+","35.0","U,1026,","","","","","17.11","U","21.71","U","12.51","U"
"USR0000CLEO","2004","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","236.8","","236.8","U","0","U","0","U","0","U","216","U","3","U","6.7","U,1130,+","35.0","U,0905,","692.5","","692.5","U","17.06","U","21.81","U","12.31","U"
"USR0000CLEO","2005","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","191.2","","191.2","U","0","U","0","U","0","U","191","U","3","U","5.6","U,0105,","37.8","U,0928,","767.9","","767.9","U","16.73","U","21.18","U","12.28","U"
"USR0000CLEO","2006","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","296.8","","296.8","U","0","U","0","U","0","U","198","U","2","U","3.9","U,0311,","35.6","U,0722,","855.2","","855.2","U","16.96","U","21.66","U","12.27","U"
"USR0000CLEO","2007","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","267.7","","267.7","U","0","U","0","U","0","U","188","U","4","U","1.7","U,0114,","36.1","U,1023,","753.3","","753.3","U","16.70","U","21.47","U","11.94","U"
"USR0000CLEO","2008","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","919.7","","919.7","U","","","","","",""
"USR0000CLEO","2009","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","264.5","","264.5","U","0","U","0","U","0","U","211","U","1","U","2.8","U,1208,","33.3","U,1001,","","","","","16.92","U","21.64","U","12.19","U"
"USR0000CLEO","2010","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","124.7","","124.7","U","0","U","0","U","0","U","157","U","3","U","3.9","U,1230,","37.8","U,0927,","815.2","","815.2","U","16.04","U","20.51","U","11.56","U"
"USR0000CLEO","2011","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","89.2","","89.2","U","0","U","0","U","0","U","141","U","1","U","2.2","U,0227,","33.9","U,1012,","1154.3","","1154.3","U","15.57","U","20.04","U","11.09","U"
"USR0000CLEO","2012","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","246.6","","246.6","U","0","U","0","U","0","U","188","U","4","U","4.4","U,1219,+","32.8","U,1001,+","931.8","","931.8","U","16.68","U","21.15","U","12.20","U"
"USR0000CLEO","2013","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","236.3","","236.3","U","0","U","0","U","0","U","228","U","2","U","3.3","U,1208,","33.3","U,1006,","763.4","","763.4","U","17.04","U","21.82","U","12.26","U"
"USR0000CLEO","2014","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","450.6","","450.6","U","0","U","0","U","0","U","243","U","2","U","6.1","U,1231,","33.3","U,1002,","557.1","","557.1","U","18.26","U","22.75","U","13.77","U"
"USR0000CLEO","2015","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","568.4","","568.4","U","0","U","0","U","0","U","227","U","10","U","3.9","U,0101,","36.1","U,1010,","482.3","","482.3","U","18.41","U","22.87","U","13.95","U"
"USR0000CLEO","2016","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","312.5","","312.5","U","0","U","0","U","0","U","174","U","5","U","6.1","U,1225,+","38.3","U,0926,","608.9","","608.9","U","17.45","U","21.24","U","13.66","U"
"USR0000CLEO","2017","34.0456","-118.9358","15.2","LEO CARRILLO CALIFORNIA, CA US","319.9","","319.9","U","0","U","0","U","0","U","188","U","4","U","6.1","U,0306,+","39.4","U,1024,","772.3","","772.3","U","17.29","U","20.94","U","13.65","U"
