"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00085612","1951","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1755.6","","1755.6","0","104","0","69","0","0","","0","0","0","0","0","0","0","0","327","0","78","0","1.1","0,0109,","0",",0,1231,+","0",",0,1231,+","83.3",",0,1116,","35.0","0,0902,+","","","","","","","","","","","","","","","401.9","","401.9","0","1206.2",",0","0",",0","22.34","0","27.27","0","17.40","0","","","","","","","",""
"USC00085612","1952","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1737.8","","1737.8","0","107","0","68","0","0","","0","0","0","0","0","0","0","0","325","0","59","0","0.6","0,1216,","0",",0,1231,+","0",",0,1231,+","78.7",",0,0315,","36.1","0,0722,+","","","","","","","","","","","","","","","218.4","","218.4","0","1169.9",",0","0",",0","22.29","0","27.14","0","17.45","0","","","","","","","",""
"USC00085612","1953","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1794.6","","1794.6","0","135","0","90","0","0","","0","0","0","0","0","0","0","0","326","0","42","0","2.8","0,0106,","0",",0,1231,+","0",",0,1231,+","90.4",",0,1009,","35.0","0,0527,","","","","","","","","","","","","","","","277.0","","277.0","0","1626.8",",0","0",",0","22.56","0","27.09","0","18.03","0","","","","","","","",""
"USC00085612","1954","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1855.1","","1855.1","0","109","0","73","0","0","","0","0","0","0","0","0","0","0","342","0","69","0","1.1","0,1220,","0",",0,1231,+","0",",0,1231,+","90.7",",0,0618,","36.1","0,0806,+","","","","","","","","","","","","","","","222.4","","222.4","0","1181.7",",0","0",",0","22.74","0","27.92","0","17.56","0","","","","","","","",""
"USC00085612","1955","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","279.2","","279.2","0","","","","","","","","","","","","","","","","","",""
"USC00085612","1956","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","57","0","41","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","153.2",",0,1017,","","","","","","","","","","","","","","","","","","","","","1042.8",",0","0",",0","","","","","","","","","","","","","",""
"USC00085612","1959","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1938.5","","1938.5","0","120","0","84","0","0","","0","0","0","0","1","0","0","0","333","0","74","0","-0.6","0,0117,","0",",0,1231,+","0",",0,1231,+","78.7",",0,0618,","35.6","0,1002,","","","","","","","-0.6","0,0117","","","","","","","","","","","1392.8",",0","0",",0","23.03","0","27.95","0","18.11","0","","","","","","","",""
"USC00085612","1960","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","87","0","85","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","83.8",",0,0503,","","","","","","","","","","","","","","","","","","","","","1750.2",",0","0",",0","","","","","","","","","","","","","",""
"USC00085612","1961","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1879.1","","1879.1","0","53","0","53","0","0","","0","0","0","0","3","0","0","0","341","0","77","0","-2.2","0,1230,+","0",",0,1231,+","0",",0,1231,+","88.9",",0,0917,","36.7","0,0731,","-2.2","0,1230","-2.2","0,1230","","","-2.2","0,0123","-2.2","0,0123","","","","","270.4","","270.4","0","1056.1",",0","0",",0","22.83","0","28.24","0","17.41","0","","","","","","","",""
"USC00085612","1962","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1853.2","","1853.2","0","69","0","64","0","0","","0","0","0","0","4","0","0","0","338","0","92","0","-5.6","0,1213,","0",",0,1231,+","0",",0,1231,+","86.4",",0,0920,","36.1","0,0727,+","-0.6","0,1211","-5.6","0,1213","-5.6","0,1213","-0.6","0,0113","","","","","","","204.9","","204.9","0","1149.1",",0","0",",0","22.54","0","28.16","0","16.92","0","","","","","","","",""
"USC00085612","1963","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1775.0","","1775.0","0","75","0","69","0","0","","0","0","0","0","0","0","0","0","324","0","81","0","0.6","0,1226,","0",",0,1231,+","0",",0,1231,+","142.2",",0,0920,","37.2","0,0813,","","","","","","","","","","","","","","","387.0","","387.0","0","1454.1",",0","0",",0","22.20","0","27.74","0","16.67","0","","","","","","","",""
"USC00085612","1964","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","80","0","72","0","0","","0","0","","","","","0","0","334","0","74","0","","","0",",0,1231,+","0",",0,1231,+","131.3",",0,0828,","37.8","0,0813,","","","","","","","","","","","","","","","352.2","","352.2","0","1280.1",",0","0",",0","","","27.50","0","","","","","","","","","",""
"USC00085612","1965","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1578.6","","1578.6","0","112","0","74","0","0","","0","0","0","0","3","0","0","0","326","0","34","0","-1.1","0,0118,","0",",0,1231,+","0",",0,1231,+","39.4",",0,0327,","33.9","0,0817,+","","","","","","","0.0","0,0228","","","","","","","","","","","826.6",",0","0",",0","21.84","0","26.91","0","16.78","0","","","","","","","",""
"USC00085612","1966","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","131","0","81","0","0","","0","0","","","","","0","0","305","0","44","0","","","0",",0,1231,+","0",",0,1231,+","105.4",",0,0630,","37.2","0,0706,","","","","","","","","","","","","","","","","","","","1616.3",",0","0",",0","","","26.33","0","","","","","","","","","",""
"USC00085612","1967","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","100","0","66","0","0","","0","0","","","","","0","0","338","0","31","0","","","0",",0,1231,+","0",",0,1231,+","79.8",",0,0927,","36.1","0,0425,","","","","","","","","","","","","","","","","","","","1033.9",",0","0",",0","","","27.03","0","","","","","","","","","",""
"USC00085612","1969","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1602.0","","1602.0","0","119","0","84","0","0","","0","0","0","0","0","0","0","0","296","0","45","0","2.2","0,1228,","0",",0,1231,+","0",",0,1231,+","129.0",",0,0618,+","35.0","0,0821,+","","","","","","","","","","","","","","","500.9","","500.9","0","1521.2",",0","0",",0","21.43","0","26.09","0","16.76","0","","","","","","","",""
"USC00085612","1970","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1581.3","","1581.3","0","106","0","65","0","0","","0","0","0","0","8","0","0","0","317","0","34","0","-3.3","0,0110,","0",",0,1231,+","0",",0,1231,+","128.8",",0,0929,","35.0","0,0703,+","-0.6","0,1124","","","","","0.0","0,0211","-3.3","0,0110","","","","","491.3","","491.3","0","983.4",",0","0",",0","21.37","0","26.52","0","16.22","0","","","","","","","",""
"USC00085612","1971","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1829.7","","1829.7","0","105","0","72","0","0","","0","0","0","0","4","0","0","0","336","0","65","0","-3.9","0,0120,","0",",0,1231,+","0",",0,1231,+","49.8",",0,0208,","35.6","0,0606,","","","","","","","-1.1","0,0215","-3.9","0,0120","","","","","436.2","","436.2","0","928.5",",0","0",",0","22.42","0","27.78","0","17.05","0","","","","","","","",""
"USC00085612","1972","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1850.8","","1850.8","0","126","0","81","0","0","","0","0","0","0","1","0","0","0","341","0","52","0","0.0","0,1228,","0",",0,1231,+","0",",0,1231,+","67.3",",0,0619,","36.7","0,0901,","0.0","0,1228","","","","","","","","","","","","","120.6","","120.6","0","1189.6",",0","0",",0","22.86","0","27.86","0","17.86","0","","","","","","","",""
"USC00085612","1974","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1765.5","","1765.5","0","97","0","58","0","0","","0","0","0","0","1","0","0","0","346","0","78","0","-1.7","0,1204,","0",",0,1231,+","0",",0,1231,+","58.2",",0,0730,","35.0","0,0928,+","-1.7","0,1204","","","","","","","","","","","","","199.5","","199.5","0","927.5",",0","0",",0","22.57","0","28.07","0","17.07","0","","","","","","","",""
"USC00085612","1975","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","2016.4","","2016.4","0","115","0","80","0","0","","0","0","0","0","0","0","0","0","341","0","123","0","1.1","0,1222,","0",",0,1231,+","0",",0,1231,+","91.7",",0,0924,","35.0","0,0923,+","","","","","","","","","","","","","","","201.0","","201.0","0","1092.6",",0","0",",0","23.34","0","28.89","0","17.78","0","","","","","","","",""
"USC00085612","1976","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1610.8","","1610.8","0","89","0","64","0","0","","0","0","0","0","1","0","0","0","327","0","60","0","0.0","0,0109,","0",",0,1231,+","0",",0,1231,+","115.6",",0,0912,","36.1","0,0810,+","","","","","","","0.0","0,0109","","","","","","","325.6","","325.6","0","1190.0",",0","0",",0","21.92","0","27.42","0","16.41","0","","","","","","","",""
"USC00085612","1977","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1748.9","","1748.9","0","94","0","69","0","0","","0","0","0","0","7","0","0","0","314","0","98","0","-7.2","0,0120,","0",",0,1231,+","0",",0,1231,+","138.4",",0,1129,","35.6","0,0627,+","","","","","","","-1.1","0,0221","-7.2","0,0120","-7.2","0,0120","-7.2","0,0120","505.7","","505.7","0","1166.8",",0","0",",0","21.74","0","27.35","0","16.14","0","","","","","","","",""
