"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00085612","1993","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1744.6","","1744.6","0","119","0","70","0","0","","0","0","0","0","1","0","0","0","330","0","70","0","-1.7","0,1227,","0",",0,1231,+","0",",0,1231,+","69.6",",0,0313,","36.1","0,0722,","-1.7","0,1227","","","","","","","","","","","","","244.0","","244.0","0","998.8",",0","0",",0","22.21","0","27.55","0","16.88","0","","","","","","","",""
"USC00085612","1994","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1929.5","","1929.5","0","139","0","97","0","0","","0","0","0","0","0","0","0","0","341","0","54","0","3.3","0,0203,+","0",",0,1231,+","0",",0,1231,+","115.8",",0,1115,","35.0","0,0728,","","","","","","","","","","","","","","","274.2","","274.2","0","1774.9",",0","0",",0","23.14","0","28.04","0","18.23","0","","","","","","","",""
"USC00085612","1995","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1865.5","","1865.5","0","127","0","91","0","0","","0","0","0","0","4","0","0","0","324","0","68","0","-1.1","0,0209,","0",",0,1231,+","0",",0,1231,+","230.1",",0,0802,","35.6","0,0710,+","-0.6","0,1225","","","","","-1.1","0,0209","","","","","","","247.9","","247.9","0","1781.0",",0","0",",0","22.47","0","27.64","0","17.30","0","","","","","","","",""
"USC00085612","1996","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1748.0","","1748.0","0","124","0","77","0","0","","0","0","0","0","6","0","0","0","328","0","64","0","-2.2","0,0214,","0",",0,1231,+","0",",0,1231,+","133.1",",0,0311,","35.6","0,0724,","","","","","","","-1.1","0,0218","-2.2","0,0214","","","","","446.0","","446.0","0","1258.7",",0","0",",0","22.02","0","27.45","0","16.58","0","","","","","","","",""
"USC00085612","1997","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1849.1","","1849.1","0","135","0","95","0","0","","0","0","0","0","1","0","0","0","337","0","85","0","-2.2","0,0119,","0",",0,1231,+","0",",0,1231,+","119.4",",0,1113,","35.0","0,0702,+","","","","","","","-2.2","0,0119","-2.2","0,0119","","","","","191.4","","191.4","0","1641.5",",0","0",",0","22.77","0","28.07","0","17.48","0","","","","","","","",""
"USC00085612","1998","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","2115.9","","2115.9","0","128","0","74","0","","","0","0","0","0","0","0","0","0","337","0","112","0","3.3","0,0206,","","","0",",0,1231,+","83.1",",0,1105,","38.3","0,0614,+","","","","","","","","","","","","","","","316.2","","316.2","0","1433.0",",0","0",",0","23.45","0","28.84","0","18.06","0","","","","","","","",""
"USC00085612","1999","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1843.7","","1843.7","0","112","0","75","0","0","","0","0","0","0","1","0","0","0","341","0","86","0","-0.6","0,0106,","0",",0,1231,+","0",",0,1231,+","202.7",",0,0925,","38.3","0,0802,","","","","","","","-0.6","0,0106","","","","","","","184.6","","184.6","0","1562.8",",0","0",",0","22.75","0","28.29","0","17.22","0","","","","","","","",""
"USC00085612","2000","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","96","0","58","0","0","","0","0","","","","","0","0","336","0","84","0","","","0",",0,1231,+","0",",0,1231,+","133.1",",0,0623,","36.1","0,0721,+","","","","","","","","","","","","","","","225.2","","225.2","0","1097.5",",0","0",",0","","","27.89","0","","","","","","","","","",""
"USC00085612","2001","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1746.4","","1746.4","0","127","0","79","0","0","","0","0","0","0","5","0","0","0","337","0","65","0","-2.2","0,0101,","0",",0,1231,+","0",",0,1231,+","96.0",",0,0914,","34.4","0,0902,+","","","","","","","-0.6","0,0108","-2.2","0,0101","","","","","","","","","1649.1",",0","0",",0","22.42","0","27.68","0","17.15","0","","","","","","","",""
"USC00085612","2002","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1900.5","","1900.5","0","122","0","74","0","0","","0","0","0","0","4","0","0","0","325","0","67","0","-1.7","0,0109,","0",",0,1231,+","0",",0,1231,+","172.0",",0,1210,","35.6","0,0604,","","","","","","","-1.1","0,0110","","","","","","","246.0","","246.0","0","1409.0",",0","0",",0","22.57","0","27.87","0","17.27","0","","","","","","","",""
"USC00085612","2003","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1863.2","","1863.2","0","122","0","71","0","0","","0","0","0","0","4","0","0","0","323","0","59","0","-1.7","0,0124,","0",",0,1231,+","0",",0,1231,+","94.0",",0,0623,","34.4","0,0723,+","","","","","","","-1.1","0,0125","","","","","","","411.3","","411.3","0","1119.2",",0","0",",0","22.45","0","27.76","0","17.13","0","","","","","","","",""
"USC00085612","2004","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1766.1","","1766.1","0","108","0","76","0","0","","0","0","0","0","0","0","0","0","335","0","66","0","2.2","0,0125,","0",",0,1231,+","0",",0,1231,+","136.1",",0,0926,","37.2","0,0601,","","","","","","","","","","","","","","","327.6","","327.6","0","1451.0",",0","0",",0","22.30","0","27.56","0","17.04","0","","","","","","","",""
"USC00085612","2005","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1807.9","","1807.9","0","136","0","86","0","0","","0","0","0","0","0","0","0","0","325","0","81","0","0.6","0,0125,","0",",0,1231,+","0",",0,1231,+","97.3",",0,1025,","37.2","0,0724,","","","","","","","","","","","","","","","315.5","","315.5","0","1677.3",",0","0",",0","22.38","0","27.49","0","17.27","0","","","","","","","",""
"USC00085612","2006","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1815.2","","1815.2","0","108","0","63","0","0","","0","0","0","0","4","0","0","0","336","0","76","0","-1.7","0,0215,+","0",",0,1231,+","0",",0,1231,+","78.7",",0,0927,","36.1","0,0813,+","","","","","","","-1.7","0,0215","","","","","","","317.1","","317.1","0","1072.0",",0","0",",0","22.58","0","27.99","0","17.18","0","","","","","","","",""
"USC00085612","2007","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1936.4","","1936.4","0","143","0","81","0","0","","0","0","0","0","0","0","0","0","340","0","73","0","1.7","0,0217,","0",",0,1231,+","0",",0,1231,+","166.9",",0,0602,","35.6","0,0812,","","","","","","","","","","","","","","","241.3","","241.3","0","1346.9",",0","0",",0","23.01","0","28.03","0","17.98","0","","","","","","","",""
"USC00085612","2008","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1804.7","","1804.7","0","133","0","90","0","0","","0","0","0","0","0","0","0","0","333","0","63","0","0.6","0,0103,","0",",0,1231,+","0",",0,1231,+","301.0",",0,0820,","35.0","0,0808,+","","","","","","","","","","","","","","","187.1","","187.1","0","1933.7",",0","0",",0","22.53","0","27.69","0","17.36","0","","","","","","","",""
"USC00085612","2009","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","","","","","121","0","74","0","0","","0","0","","","","","0","0","328","0","91","0","","","0",",0,1231,+","0",",0,1231,+","132.3",",0,0519,","37.2","0,0623,","","","","","","","","","","","","","","","377.4","","377.4","","1280.2",",0","0",",0","","","28.05","0","","","","","","","","","",""
"USC00085612","2010","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1792.8","","1792.8","0","96","0","69","0","0","","0","0","0","0","18","0","0","0","296","0","82","0","-3.9","0,0112,","0",",0,1231,+","0","T,0,0109,","91.7",",0,0312,","37.2","0,0731,","-0.6","0,1207","-2.2","0,1214","","","-2.8","0,0113","-2.8","0,0113","","","","","","","","","1112.0",",0","0","T,0","21.31","0","26.76","0","15.86","0","","","","","","","",""
"USC00085612","2011","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","2016.8","","2016.8","X","104","X","64","X","","","","","0","X","0","X","0","X","342","X","74","X","1.1","X,0113,","","","","","144.3",",X,1008,","37.8","X,0614,","","","","","","","","","","","","","","","378.5","","378.5","X","1147.6",",X","","","23.36","X","28.17","X","18.54","X","290","X","290","X","20.1","X","26.4","X"
"USC00085612","2012","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1904.4","","1904.4","X","124","X","66","X","","","","","0","X","1","X","0","X","343","X","47","X","0.0","X,0105,","","","","","57.2",",X,0311,","35.6","X,0821,","","","","","","","0.0","X,0105","","","","","","","164.4","","164.4","X","1009.7",",X","","","22.94","X","27.69","X","18.20","X","30","X","40","X","19.7","X","25.9","X"
"USC00085612","2013","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1960.2","","1960.2","7","138","7","75","7","","","","","0","7","0","7","0","7","346","7","62","7","0.6","7,0304,","","","","","116.8",",7,0415,","34.4","7,0901,+","","","","","","","","","","","","","","","267.7","","267.7","7","1309.6",",7","","","23.10","7","28.11","7","18.10","7","","","","","","","",""
"USC00085612","2014","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","1847.7","","1847.7","7","134","7","87","7","","","","","0","7","2","7","0","7","327","7","85","7","-1.1","7,0119,","","","","","72.6",",7,0130,","35.0","7,0820,+","","","","","","","-0.6","7,0120","","","","","","","215.1","","215.1","7","1512.4",",7","","","22.55","7","27.92","7","17.19","7","","","","","","","",""
"USC00085612","2015","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","2170.2","","2170.2","7","134","7","88","7","","","","","0","7","0","7","0","7","338","7","77","7","0.6","7,0221,+","","","","","60.5",",7,0827,","35.0","7,0912,+","","","","","","","","","","","","","","","300.8","","300.8","7","1353.6",",7","","","23.70","7","28.63","7","18.76","7","","","","","","","",""
"USC00085612","2016","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","2003.2","","2003.2","7","130","7","77","7","","","","","0","7","0","7","0","7","338","7","91","7","1.7","7,0211,+","","","","","106.9",",7,0914,","35.6","7,0731,","","","","","","","","","","","","","","","213.1","","213.1","7","1657.5",",7","","","23.15","7","28.20","7","18.10","7","","","","","","","",""
"USC00085612","2017","28.1136","-80.654","10.7","MELBOURNE WEATHER FORECAST OFFICE, FL US","2007.6","","2007.6","7","126","7","79","7","","","","","0","7","0","7","0","7","350","7","83","7","1.7","7,0201,+","","","","","255.0",",7,0911,","35.6","7,0816,","","","","","","","","","","","","","","","152.6","","152.6","7","1768.0",",7","","","23.29","7","28.50","7","18.07","7","","","","","","","",""
