"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00084771","1940","28.53333","-81.46667","36.9","LAKE HIAWASSEE, FL US","","","","","116","6","75","6","","","","","","","","","0","6","306","6","78","6","","","","","","","75.7",",6,0605,","36.7","6,0725,","16874.0","6","","","","","","","","","","","","","","","","","","","","","1147.2",",6","","","","","27.00","6","","","33780","6"
"USC00084771","1941","28.53333","-81.46667","36.9","LAKE HIAWASSEE, FL US","1767.7","","1767.7","6","","","","","","","","","0","6","1","6","0","6","298","6","100","6","-1.1","6,0302,","","","","","","","36.7","6,0815,+","16930.0","6","","","","","","","","","-1.1","6,0302","","","","","","","400.8","","400.8","6","","","","","22.12","6","27.74","6","16.49","6","32907","6"
"USC00084771","1942","28.53333","-81.46667","36.9","LAKE HIAWASSEE, FL US","","","","","123","6","75","6","","","","","","","","","0","6","304","6","111","6","","","","","","","91.4",",6,0607,","38.3","6,0722,","16633.7","6","","","","","","","","","","","","","","","","","","","","","1203.6",",6","","","","","27.91","6","","","29902","6"
"USC00084771","1943","28.53333","-81.46667","36.9","LAKE HIAWASSEE, FL US","1682.9","","1682.9","6","109","6","69","6","","","","","0","6","4","6","0","6","321","6","102","6","-3.3","6,0215,","","","","","59.2",",6,0918,","36.7","6,0610,+","","","","","","","","","","","-1.1","6,0304","-3.3","6,0215","","","","","341.4","","341.4","6","1214.9",",6","","","21.73","6","27.82","6","15.64","6","30268","6"
"USC00084771","1944","28.53333","-81.46667","36.9","LAKE HIAWASSEE, FL US","1786.9","","1786.9","6","127","6","73","6","","","","","0","6","2","6","0","6","324","6","117","6","-2.2","6,1215,","","","","","78.2",",6,1019,","36.7","6,0625,+","14567.8","6","-2.2","6,1215","-2.2","6,1215","","","","","","","","","","","","","369.5","","369.5","6","1123.3",",6","","","22.14","6","28.25","6","16.02","6","29295","6"
"USC00084771","1945","28.53333","-81.46667","36.9","LAKE HIAWASSEE, FL US","1887.7","","1887.7","6","104","6","68","6","","","","","0","6","3","6","0","6","323","6","126","6","-0.6","6,0202,","","","","","204.2",",6,0917,","38.3","6,0601,","","","0.0","6,1125","","","","","","","-0.6","6,0202","","","","","","","348.5","","348.5","6","1301.2",",6","","","22.55","6","28.64","6","16.47","6","",""
"USC00084771","1946","28.53333","-81.46667","36.9","LAKE HIAWASSEE, FL US","1836.7","","1836.7","6","120","6","75","6","","","","","0","6","0","6","0","6","343","6","89","6","0.6","6,0126,","","","","","68.1",",6,0503,","35.6","6,0817,+","","","","","","","","","","","","","","","","","","","341.4","","341.4","6","1333.8",",6","","","22.87","6","28.72","6","17.01","6","",""
"USC00084771","1947","28.53333","-81.46667","36.9","LAKE HIAWASSEE, FL US","1838.8","","1838.8","6","132","6","88","6","","","","","0","6","5","6","0","6","315","6","86","6","-6.7","6,0206,","","","","","84.1",",6,0616,","35.0","6,0904,+","","","","","","","","","","","-3.3","6,0211","-3.3","6,0211","-6.7","6,0206","-6.7","6,0206","308.3","","308.3","6","1551.1",",6","","","22.33","6","27.75","6","16.91","6","",""
"USC00084771","1948","28.53333","-81.46667","36.9","LAKE HIAWASSEE, FL US","2015.7","","2015.7","0","117","0","83","0","","","","","0","0","1","0","0","0","339","0","123","0","-3.3","0,0115,","","","","","81.3",",0,0923,","37.8","0,0625,","","","","","","","","","","","-3.3","6,0115","-3.3","6,0115","","","","","208.5","","208.5","0","1347.7",",0","","","23.39","0","29.36","0","17.42","0","",""
"USC00084771","1949","28.53333","-81.46667","36.9","LAKE HIAWASSEE, FL US","1852.6","","1852.6","0","111","0","67","0","0","","0","0","0","0","0","0","0","0","349","0","112","0","0.6","0,0102,","0",",0,1231,+","0",",0,1231,+","49.0",",0,0929,","36.7","0,0730,","","","","","","","","","","","","","","","","","","","128.4","","128.4","0","999.1",",0","0",",0","22.83","0","28.99","0","16.66","0","",""
