"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012922","1947","28.78333","-97.08333","35.1","VICTORIA, TX US","1797.1","","1797.1","0","100","0","52","0","0","","0","0","0","0","10","0","0","0","287","0","132","0","-5.6","0,0104,","0",",0,1231,+","0",",0,1231,+","70.9",",0,0523,","38.3","0,0920,","-0.6","0,1226","","","","","","","0.0","0,0308","-2.2","0,0205","-5.6","0,0104","","","","","","","","","880.2",",0","0",",0","20.92","0","26.73","0","15.11","0","","","",""
"USW00012922","1948","28.78333","-97.08333","35.1","VICTORIA, TX US","1876.2","","1876.2","0","92","0","51","0","0","","0","0","0","0","18","0","1","0","296","0","110","0","-5.0","0,0128,+","0",",0,1231,+","0","T,0,0311,","64.8",",0,0825,","41.1","0,0816,","-1.1","0,1230","","","","","","","-1.1","0,0313","-3.9","0,0312","-5.0","0,0128","","","","","786.9","","786.9","0","654.7",",0","0","T,0","21.40","0","27.35","0","15.44","0","","","",""
"USW00012922","1949","28.78333","-97.08333","35.1","VICTORIA, TX US","1840.3","","1840.3","0","121","0","63","0","0","","1","0","0","0","7","0","1","0","294","0","119","0","-11.1","0,0131,","0","T,0,0130,","25",",0,0130,","86.1",",0,1003,","37.8","0,0820,+","-0.6","0,1223","","","","","","","-11.1","0,0131","-11.1","0,0131","-11.1","0,0131","-11.1","0,0131","-11.1","0,0131","638.3","","638.3","0","1004.3",",0","25",",0","21.71","0","27.02","0","16.41","0","","","",""
"USW00012922","1950","28.78333","-97.08333","35.1","VICTORIA, TX US","1989.8","","1989.8","0","76","0","31","0","0","","0","0","0","0","7","0","0","0","317","0","138","0","-6.7","0,1207,","0",",0,1231,+","0","T,0,0520,","59.4",",0,0918,","37.8","0,0803,","0.0","0,1111","-4.4","0,1206","-4.4","0,1206","-6.7","0,1207","-0.6","0,0105","","","","","","","","","426.6","","426.6","0","461.0",",0","0","T,0","22.38","0","28.33","0","16.42","0","","","",""
"USW00012922","1951","28.78333","-97.08333","35.1","VICTORIA, TX US","1973.3","","1973.3","0","89","0","40","0","3","","0","0","0","0","17","0","3","0","310","0","115","0","-9.4","0,0202,","25",",0,0131,+","0","T,0,0312,+","136.1",",0,0507,","40.6","0,0817,","0.0","0,1103","-2.2","0,1215","","","","","-1.7","0,0216","-2.2","0,0214","-6.1","0,0203","-9.4","0,0202","-9.4","0,0202","626.3","","626.3","0","756.7",",0","0","T,0","21.90","0","27.48","0","16.31","0","","","",""
"USW00012922","1952","28.78333","-97.08333","35.1","VICTORIA, TX US","1580.9","","1580.9","0","85","0","46","0","0","","0","0","0","0","1","0","0","0","304","0","97","0","-2.2","0,1215,","0",",0,1231,+","0","T,0,0510,","78.2",",0,0910,","37.2","0,0820,+","-2.2","0,1215","-2.2","0,1215","","","","","","","","","","","","","","","505.8","","505.8","0","887.9",",0","0","T,0","21.08","0","26.89","0","15.27","0","360","X","26.4","X"
"USW00012922","1953","28.78333","-97.08333","35.1","VICTORIA, TX US","1893.8","","1893.8","0","76","0","46","0","0","","0","0","0","0","6","0","0","0","309","0","121","0","-3.3","0,1224,","0",",0,1231,+","0",",0,1231,+","86.4",",0,0830,","40.6","0,0809,","0.0","0,1215","-2.2","0,1223","","","","","-1.1","0,0117","","","","","","","","","586.5","","586.5","0","583.7",",0","0",",0","21.92","0","27.74","0","16.10","0","315","X","25.9","X"
"USW00012922","1954","28.78333","-97.08333","35.1","VICTORIA, TX US","1951.9","","1951.9","0","73","0","38","0","0","","0","0","0","0","5","0","0","0","318","0","132","0","-3.3","0,0122,","0",",0,1231,+","0","T,0,1114,","60.5",",0,1022,","41.7","0,0726,","","","","","","","","","0.0","0,0208","-3.3","0,0122","","","","","","","601.3","","601.3","0","505.0",",0","0","T,0","22.34","0","28.27","0","16.41","0","315","X","27.7","X"
"USW00012922","1955","28.78333","-97.08333","35.1","VICTORIA, TX US","1886.9","","1886.9","0","90","0","47","0","0","","0","0","0","0","7","0","0","0","294","0","118","0","-2.2","0,1216,","0",",0,1231,+","0","T,0,0331,","43.7",",0,0813,","36.7","0,0828,+","-0.6","0,1129","-2.2","0,1216","","","","","0.0","0,0326","","","","","","","","","552.0","","552.0","0","632.0",",0","0","T,0","21.73","0","27.10","0","16.37","0","270","X","25.7","X"
"USW00012922","1956","28.78333","-97.08333","35.1","VICTORIA, TX US","1940.7","","1940.7","0","64","0","35","0","0","","0","0","0","0","4","0","0","0","300","0","137","0","-0.6","0,0203,+","0",",0,1231,+","0",",0,1231,+","72.9",",0,1018,","37.8","0,0816,+","","","","","","","","","-0.6","0,0203","","","","","","","","","622.9","","622.9","0","456.6",",0","0",",0","22.00","0","27.96","0","16.05","0","158","X","25.7","X"
