"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00097720","1906","30.516667","-82.033333","23.8","SAINT GEORGE, GA US","1332.1","","1332.1","6","","","","","0","6","12","6","0","6","294","6","78","6","-5.6","6,1227,+","","","36.7","6,0727,","-1.1","6,1113","-2.2","6,1224","-4.4","6,1225","","","0.0","6,0322","-2.2","6,0301","","","","","","","","","","","","","19.83","6","26.00","6","13.66","6"
"USC00097720","1907","30.516667","-82.033333","23.8","SAINT GEORGE, GA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","557.5","","557.5","6","","","","","","","",""
"USC00097720","1911","30.516667","-82.033333","23.8","SAINT GEORGE, GA US","1434.3","","1434.3","6","102","6","69","6","0","6","20","6","0","6","307","6","97","6","-4.4","6,0105,","457.2",",6,0829,","37.8","6,0616,","-2.2","6,1125","-2.2","6,1125","","","","","-0.6","6,0303","-2.8","6,0225","-4.4","6,0105","","","","","703.8","","703.8","6","1597.5",",6","20.57","6","27.05","6","14.08","6"
"USC00097720","1912","30.516667","-82.033333","23.8","SAINT GEORGE, GA US","1416.5","","1416.5","6","126","6","104","6","0","6","29","6","0","6","279","6","77","6","-3.9","6,0205,+","73.7",",6,0804,+","37.2","6,0903,+","0.0","6,1118","-2.2","6,1119","","","","","-1.1","6,0223","-3.3","6,0207","","","","","","","837.6","","837.6","6","1605.0",",6","19.64","6","25.75","6","13.53","6"
"USC00097720","1913","30.516667","-82.033333","23.8","SAINT GEORGE, GA US","1145.1","","1145.1","6","98","6","79","6","0","6","12","6","0","6","295","6","85","6","-3.3","6,1209,+","133.4",",6,0609,","36.1","6,0703,+","-0.6","6,1021","-2.2","6,1110","","","","","-0.6","6,0216","","","","","","","","","641.2","","641.2","6","1363.9",",6","19.61","6","26.58","6","12.64","6"
"USC00097720","1914","30.516667","-82.033333","23.8","SAINT GEORGE, GA US","","","","","87","6","63","6","","","","","0","6","267","6","98","6","","","69.9",",6,0124,","40.0","6,0625,","","","","","","","","","","","","","","","","","","","","","","","1240.8",",6","","","26.01","6","",""
"USC00097720","1917","30.516667","-82.033333","23.8","SAINT GEORGE, GA US","1360.1","","1360.1","6","90","6","62","6","0","6","22","6","2","6","308","6","111","6","-9.4","6,0203,","44.5",",6,0722,","37.8","6,0730,","-2.8","6,1125","-2.8","6,1125","-6.1","6,1209","-8.3","6,1230","-1.1","6,0306","-3.3","6,0207","-4.4","6,0206","-7.2","6,0204","-9.4","6,0203","568.5","","568.5","6","785.4",",6","19.90","6","27.10","6","12.69","6"
"USC00097720","1918","30.516667","-82.033333","23.8","SAINT GEORGE, GA US","1385.3","","1385.3","6","105","6","75","6","0","6","18","6","0","6","284","6","88","6","-7.2","6,0113,","108.2",",6,0828,","39.4","6,0815,","0.0","6,1114","-2.8","6,1229","","","","","-3.3","6,0206","-3.3","6,0206","-4.4","6,0123","-7.2","6,0113","","","853.7","","853.7","6","1384.1",",6","20.42","6","26.86","6","13.98","6"
"USC00097720","1919","30.516667","-82.033333","23.8","SAINT GEORGE, GA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","686.8","","686.8","","","","","","","","",""
"USC00097720","1922","30.516667","-82.033333","23.8","SAINT GEORGE, GA US","","","","","115","6","88","6","","","","","","","","","","","","","114.3",",6,1015,","","","","","","","","","","","","","","","","","","","","","","","","","1270.4",",6","","","","","",""
