"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00407359","1956","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","850.8","","850.8","0","113","0","86","0","","","","","0","0","67","0","2","0","203","0","56","0","-9.4","0,0109,","","","","","84.3",",0,0129,","37.8","0,0818,","-4.4","0,1109","-4.4","0,1109","-4.4","0,1109","-6.7","0,1130","","","0.0","0,0419","-3.3","0,0325","-5.0","0,0320","-7.2","0,0131","-9.4","0,0109","2128.8","","2128.8","0","1204.0",",0","","","15.46","0","21.43","0","9.49","0"
"USC00407359","1957","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","847.8","","847.8","0","128","0","93","0","0","","0","0","0","0","66","0","5","0","183","0","39","0","-14.4","0,1212,+","0",",0,1231,+","8",",0,0308,","81.3",",0,0129,","36.1","0,0901,+","0.0","0,1027","-2.2","0,1028","-4.4","0,1110","-12.2","0,1211","-12.2","0,1211","0.0","0,0415","-2.2","0,0310","-4.4","0,0221","-9.4","0,0118","-9.4","0,0118","1782.6","","1782.6","0","1667.9",",0","8",",0","15.26","0","20.80","0","9.71","0"
"USC00407359","1958","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","778.6","","778.6","0","99","0","71","0","","","","","3","0","91","0","18","0","188","0","29","0","-22.2","0,0217,","","","","","59.7",",0,0811,","35.6","0,0704,","-1.7","0,1107","-5.0","0,1127","-5.0","0,1127","-7.8","0,1129","-9.4","0,1130","-0.6","0,0408","-3.3","0,0322","-5.0","0,0221","-12.2","0,0220","-12.2","0,0220","2338.3","","2338.3","0","1060.1",",0","","","13.60","0","19.31","0","7.88","0"
"USC00407359","1959","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","899.0","","899.0","0","109","0","83","0","","","","","1","0","80","0","7","0","191","0","40","0","-18.3","0,0105,","","","","","60.7",",0,0121,","35.6","0,0822,","-0.6","0,1028","-2.2","0,1106","-5.0","0,1108","-9.4","0,1117","-9.4","0,1117","0.0","0,0414","-2.2","0,0323","-4.4","0,0318","-8.9","0,0221","-8.9","0,0221","2159.2","","2159.2","0","1247.8",",0","","","15.03","0","20.85","0","9.20","0"
"USC00407359","1960","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","","","","","","","","","","","","","1","0","98","0","","","","","","","-18.3","0,0305,","","","","","","","","","-0.6","0,1021","-3.3","0,1107","-7.8","0,1111","-7.8","0,1111","-10.6","0,1213","-3.3","0,0410","-3.3","0,0410","-6.7","0,0325","-6.7","0,0325","-12.8","0,0314","2313.7","","2313.7","0","","","","","","","","","7.94","0"
"USC00407359","1961","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","","","","","","","","","","","5","0","","","","","","","","","","","","","","","76",",0,0126,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216",",0","","","","","",""
"USC00407359","1963","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","600.4","","600.4","0","78","0","72","0","12","","8","0","6","0","118","0","28","0","201","0","24","0","-28.3","0,0124,","178",",0,1224,+","178",",0,1223,","59.7",",0,0829,","35.6","0,0807,","0.0","0,1029","-2.8","0,1030","-6.1","0,1103","-6.7","0,1201","-8.9","0,1210","-1.7","0,0501","-3.9","0,0322","-7.2","0,0228","-7.2","0,0228","-15.6","0,0227","","","","","874.4",",0","456",",0","12.63","0","19.69","0","5.58","0"
"USC00407359","1964","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","679.8","","679.8","0","96","0","72","0","2","","2","0","1","0","107","0","5","0","201","0","49","0","-17.8","0,0114,","51",",0,0114,","38",",0,0114,","65.5",",0,1119,","37.8","0,0805,","-1.7","0,1006","-2.2","0,1007","-5.0","0,1020","-7.2","0,1121","-12.8","0,1122","-1.1","0,0410","-3.3","0,0409","-5.6","0,0331","-8.3","0,0330","-11.7","0,0229","2569.9","","2569.9","0","1206.7",",0","83",",0","13.66","0","20.80","0","6.53","0"
"USC00407359","1965","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","743.4","","743.4","0","102","0","72","0","10","","7","0","4","0","90","0","8","0","204","0","30","0","-22.8","0,0202,","76",",0,0225,+","76",",0,0225,+","61.7",",0,0703,","36.1","0,0817,+","0.0","0,0925","-4.4","0,1025","-4.4","0,1025","-6.7","0,1129","-9.4","0,1130","-2.2","0,0327","-2.2","0,0327","-9.4","0,0321","-9.4","0,0321","-9.4","0,0321","2203.7","","2203.7","0","1120.0",",0","329",",0","14.45","0","21.29","0","7.61","0"
"USC00407359","1967","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","507.2","","507.2","0","95","0","80","0","4","","3","0","1","0","84","0","8","0","201","0","8","0","-17.8","0,0225,","178",",0,1231,","180",",0,1231,","66.8",",0,0306,","34.4","0,0618,","-2.2","0,1011","-2.2","0,1011","-5.6","0,1105","-6.7","0,1106","-9.4","0,1223","-1.7","0,0322","-6.1","0,0319","-6.1","0,0319","-8.9","0,0318","-8.9","0,0318","2245.2","","2245.2","0","1115.3",",0","297",",0","13.61","0","19.73","0","7.48","0"
"USC00407359","1968","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","674.9","","674.9","0","86","0","70","0","16","","4","0","1","0","99","0","12","0","188","0","34","0","-18.3","0,0108,","229",",0,0322,","241",",0,0322,","101.6",",0,0404,","35.6","0,0824,","-2.8","0,1026","-2.8","0,1026","-7.2","0,1113","-7.2","0,1113","-9.4","0,1209","-1.7","0,0325","-11.7","0,0324","-11.7","0,0324","-11.7","0,0324","-11.7","0,0324","2508.2","","2508.2","0","1179.8",",0","378",",0","13.27","0","19.40","0","7.15","0"
"USC00407359","1969","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","696.3","","696.3","0","102","0","85","0","15","","9","0","2","0","106","0","7","0","184","0","33","0","-18.3","0,0105,","229",",0,0216,","135",",0,0306,","204.5",",0,0623,","35.6","0,0809,+","-0.6","0,1018","-2.2","0,1024","-7.8","0,1114","-7.8","0,1114","-11.1","0,1115","-2.2","0,0330","-2.2","0,0330","-4.4","0,0329","-6.7","0,0313","-10.6","0,0312","2462.5","","2462.5","0","1366.3",",0","673",",0","13.10","0","19.26","0","6.94","0"
"USC00407359","1970","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","719.8","","719.8","0","91","0","81","0","11","","5","0","4","0","100","0","12","0","197","0","39","0","-23.9","0,0107,","102",",0,0205,+","102",",0,0205,+","50.8",",0,1221,","34.4","0,0907,+","-2.8","0,1017","-2.8","0,1017","-5.0","0,1116","-7.8","0,1123","-12.8","0,1124","-1.1","0,0415","-2.8","0,0328","-4.4","0,0327","-11.1","0,0316","-11.1","0,0316","2589.2","","2589.2","0","1095.8",",0","305",",0","13.64","0","20.12","0","7.16","0"
"USC00407359","1971","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","676.0","","676.0","0","91","0","84","0","5","","","","0","0","84","0","8","0","208","0","15","0","-16.7","0,0214,","127",",0,0213,+","","","88.9",",0,0406,","36.7","0,0713,","-3.3","0,1104","-3.3","0,1104","-5.6","0,1107","-8.3","0,1108","-9.4","0,1218","-1.1","0,0504","-2.2","0,0402","-4.4","0,0330","-9.4","0,0324","-9.4","0,0324","2380.5","","2380.5","0","1092.3",",0","","","14.22","0","20.62","0","7.81","0"
"USC00407359","1972","36.5877","-86.5258","242.0","PORTLAND SEWAGE PLANT, TN US","648.4","","648.4","0","130","0","93","0","5","","3","0","1","0","91","0","10","0","185","0","21","0","-20.6","0,0116,","51",",0,0203,","51",",0,0203,","90.2",",0,0508,","35.0","0,0724,","-2.2","0,1020","-2.2","0,1020","-6.1","0,1124","-6.7","0,1129","-9.4","0,1216","-3.3","0,0409","-3.3","0,0409","-5.6","0,0309","-6.7","0,0219","-9.4","0,0209","2023.2","","2023.2","0","1566.0",",0","161",",0","13.46","0","19.37","0","7.55","0"
