"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00419717","1989","28.6611","-98.2554","78.6","WHITSETT, TX US","73","0","40","0","0","","0","0","","","","","","","","","","","","","0","T,0,0204,","0","T,0,0206,+","37.3",",0,0429,","","","","","","","","","","","","","495.8",",0","0","T,0","","","",""
"USC00419717","1990","28.6611","-98.2554","78.6","WHITSETT, TX US","66","0","38","0","0","","0","0","","","","","","","","","","","","","0","T,0,1226,+","0","T,0,1226,+","128.3",",0,0716,","","","","","","","","","","","","","701.5",",0","0","T,0","","","",""
"USC00419717","1991","28.6611","-98.2554","78.6","WHITSETT, TX US","95","0","66","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","67.3",",0,1221,","","","","","","","","","","","","","1010.7",",0","0",",0","","","",""
"USC00419717","1992","28.6611","-98.2554","78.6","WHITSETT, TX US","76","0","50","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","80.0",",0,0516,","","","","","","","","","","","","","822.8",",0","0",",0","","","",""
"USC00419717","1993","28.6611","-98.2554","78.6","WHITSETT, TX US","74","0","46","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0","T,0,1030,","73.7",",0,0429,","","","","","","","","","","","","","503.4",",0","0","T,0","","","",""
"USC00419717","1994","28.6611","-98.2554","78.6","WHITSETT, TX US","","","","","0","","0","0","","","","","","","","","","","","","0","T,0,0210,+","0","T,0,0209,+","","","","","","","","","","","","","","","","","0","T,0","","","",""
"USC00419717","1995","28.6611","-98.2554","78.6","WHITSETT, TX US","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","0",",0","","","",""
"USC00419717","1996","28.6611","-98.2554","78.6","WHITSETT, TX US","57","0","37","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","39.4",",0,1124,","","","","","","","","","","","","","385.6",",0","0",",0","","","",""
"USC00419717","1997","28.6611","-98.2554","78.6","WHITSETT, TX US","","","","","0","","0","0","","","","","","","","","","","","","0","T,0,0803,","0",",0,1231,+","","","","","","","","","","","","","","","","","0",",0","","","",""
"USC00419717","1998","28.6611","-98.2554","78.6","WHITSETT, TX US","45","0","39","0","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","167.6",",0,1017,","","","","","","","","","","","","","1016.2",",0","0",",0","","","",""
"USC00419717","1999","28.6611","-98.2554","78.6","WHITSETT, TX US","36","0","33","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","58.4",",0,0824,","","","","","","","","","","","","","556.4",",0","0",",0","","","",""
