"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00418040","1994","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","1073.2","","1073.2","0","","","","","","","","","0","0","90","0","4","0","215","0","84","0","-14.4","0,0131,","","","","","","","42.2","0,0626,","0.0","0,1111","-2.2","0,1115","-4.4","0,1128","","","","","-4.4","0,0407","-4.4","0,0407","-4.4","0,0407","-9.4","0,0227","-9.4","0,0227","","","","","","","","","15.60","0","23.05","0","8.15","0","",""
"USC00418040","1995","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","890.0","","890.0","0","57","0","33","0","","","","","0","0","80","0","8","0","218","0","72","0","-12.2","0,1209,","","","","","56.4",",0,0603,","40.0","0,0728,+","-0.6","0,1024","-6.7","0,1103","-6.7","0,1103","-6.7","0,1103","-12.2","0,1209","0.0","0,0413","-5.6","0,0309","-5.6","0,0309","-7.8","0,0308","-9.4","0,0302","1923.0","","1923.0","0","480.1",",0","","","15.13","0","22.38","0","7.89","0","8602","0"
"USC00418040","1996","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","1006.2","","1006.2","0","72","0","38","0","","","","","0","0","89","0","10","0","231","0","75","0","-17.2","0,0204,+","","","","","46.2",",0,0710,","41.7","0,0620,","0.0","0,1107","-2.8","0,1117","-5.6","0,1124","-6.7","0,1128","-9.4","0,1203","0.0","0,0407","-2.8","0,0328","-8.3","0,0326","-8.3","0,0326","-8.9","0,0325","2048.0","","2048.0","0","527.9",",0","","","15.28","0","22.93","0","7.64","0","9249","0"
"USC00418040","1997","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","945.0","","945.0","0","93","0","50","0","","","","","0","0","103","0","16","0","199","0","73","0","-14.4","0,0113,","","","","","42.7",",0,0425,","40.6","0,0718,+","-2.2","0,1026","-2.2","0,1026","-4.4","0,1115","-6.7","0,1116","","","0.0","0,0414","-6.7","0,0413","-6.7","0,0413","-6.7","0,0413","-9.4","0,0129","2219.7","","2219.7","0","627.8",",0","","","14.51","0","21.21","0","7.81","0","",""
"USC00418040","1998","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","1272.9","","1272.9","0","62","0","30","0","","","","","0","0","87","0","4","0","216","0","113","0","-15.6","0,1222,","","","","","69.9",",0,1031,","42.8","0,0628,","0.0","0,1111","-3.9","0,1209","-12.2","0,1221","-12.2","0,1221","-12.2","0,1221","0.0","0,0404","-2.2","0,0321","-8.9","0,0312","-8.9","0,0312","-8.9","0,0312","2032.9","","2032.9","0","424.6",",0","","","16.34","0","23.70","0","8.98","0","5054","0"
"USC00418040","1999","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","992.2","","992.2","0","57","0","31","0","","","","","0","0","75","0","4","0","223","0","83","0","-8.3","0,0110,+","","","","","53.3",",0,0415,","40.6","0,0628,","-2.8","0,1124","-2.8","0,1124","-4.4","0,1205","-6.7","0,1215","","","-1.1","0,0321","-2.8","0,0315","-4.4","0,0214","-8.3","0,0110","","","1847.5","","1847.5","0","515.0",",0","","","16.03","0","23.27","0","8.80","0","4950","0"
"USC00418040","2000","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","1168.2","","1168.2","0","53","0","30","0","","","","","0","0","103","0","6","0","226","0","119","0","-12.2","0,1213,","","","","","53.3",",0,0628,","43.9","0,0524,","0.0","0,1008","-5.6","0,1108","-5.6","0,1108","-7.2","0,1109","-9.4","0,1117","0.0","0,0416","-2.2","0,0318","-4.4","0,0317","-6.7","0,0213","","","1630.8","","1630.8","0","422.8",",0","","","16.04","0","24.49","0","7.59","0","7353","0"
"USC00418040","2001","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","1090.3","","1090.3","0","66","0","33","0","","","","","0","0","99","0","10","0","214","0","88","0","-12.8","0,0131,","","","","","22.9",",0,0324,","41.7","0,0712,","-0.6","0,1120","-7.8","0,1127","-7.8","0,1127","-7.8","0,1127","-8.9","0,1129","-0.6","0,0328","-2.2","0,0326","-5.0","0,0318","-8.3","0,0301","-10.6","0,0211","2398.4","","2398.4","0","337.6",",0","","","15.30","0","22.53","0","8.07","0","",""
"USC00418040","2002","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","","","","","62","0","41","0","","","","","0","0","114","0","13","0","198","0","90","0","-15.0","0,0303,","","","","","42.9",",0,1020,","38.9","0,0728,+","0.0","0,1024","-2.2","0,1105","-8.3","0,1127","-8.3","0,1127","-9.4","0,1128","-2.2","0,0405","-2.2","0,0405","-7.2","0,0327","-7.2","0,0327","-12.2","0,0304","2166.7","","2166.7","0","605.1",",0","","","14.36","0","21.51","0","7.20","0","",""
"USC00418040","2003","35.7048","-101.5492","894.9","SANFORD DAM, TX US","","","977.9","","977.9","0","45","0","31","0","","","","","0","0","98","0","7","0","216","0","79","0","-16.7","0,0225,","","","","","43.4",",0,0908,","42.2","0,0715,+","0.0","0,1027","-3.3","0,1107","-6.7","0,1123","-6.7","0,1123","-10.0","0,1124","-1.1","0,0410","-2.2","0,0409","-4.4","0,0311","-6.7","0,0307","-10.0","0,0306","","","","","372.9",",0","","","15.13","0","22.43","0","7.84","0","",""
