"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00390760","1913","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","42","6","30","6","","","","","","","","","","","","","","","","","","","","","70.1",",6,0717,","","","","","","","","","","","","","","","","","","","","","","","464.1",",6","","","","","","","",""
"USC00390760","1951","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","66","0","42","0","","","14","0","","","","","","","","","","","","","","","152",",0,1206,+","65.0",",0,0812,","","","","","","","","","","","","","","","","","","","","","","","555.0",",0","1144",",0","","","","","",""
"USC00390760","1954","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","47","0","35","0","58","","9","0","","","","","","","","","","","","","152",",0,0312,","152",",0,0312,","56.6",",0,0602,","","","","","","","","","","","","","","","","","","","","","","","388.5",",0","684",",0","","","","","",""
"USC00390760","1955","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","53","0","37","0","81","","14","0","","","","","","","","","","","","","330",",0,1220,+","229",",0,1203,+","36.1",",0,0526,","","","","","","","","","","","","","","","","","","","","","","","372.7",",0","1119",",0","","","","","",""
"USC00390760","1956","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","52","0","43","0","93","","12","0","","","","","","","","","","","","","254",",0,0217,+","102",",0,1212,+","51.1",",0,1102,","","","","","","","","","","","","","","","","","","","","","","","477.1",",0","609",",0","","","","","",""
"USC00390760","1958","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","45","0","38","0","","","","","","","","","","","","","","","","","","","","","27.2",",0,0602,","","","","","","","","","","","","","","","","","","","","","","","346.6",",0","","","","","","","",""
"USC00390760","1959","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","57","0","42","0","50","","11","0","","","","","","","","","","","","","127",",0,0214,","76",",0,1112,+","40.4",",0,0526,","","","","","","","","","","","","","","","","","","","","","","","492.8",",0","635",",0","","","","","",""
"USC00390760","1960","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","61","0","42","0","125","","17","0","","","","","","","","","","","","","381",",0,0105,+","203",",0,0102,","56.4",",0,0825,","","","","","","","","","","","","","","","","","","","","","","","506.7",",0","1293",",0","","","","","",""
"USC00390760","1961","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","43","0","34","0","60","","4","0","","","","","","","","","","","","","76",",0,0104,+","51",",0,0101,","41.9",",0,0919,","","","","","","","","","","","","","","","","","","","","","","","395.5",",0","190",",0","","","","","",""
"USC00390760","1962","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","62","0","42","0","","","","","","","","","","","","","","","","","","","","","51.6",",0,0616,","","","","","","","","","","","","","","","","","","","","","","","544.6",",0","","","","","","","",""
"USC00390760","1963","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","68","0","41","0","","","10","0","","","","","","","","","","","","","","","127",",0,0403,","45.2",",0,0607,","","","","","","","","","","","","","","","","","","","","","","","430.3",",0","455",",0","","","","","",""
"USC00390760","1964","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","68","0","33","0","52","","13","0","","","","","","","","","","","","","152",",0,1230,+","127",",0,1225,","83.3",",0,0427,","","","","","","","","","","","","","","","","","","","","","","","474.0",",0","694",",0","","","","","",""
"USC00390760","1965","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","71","0","40","0","53","","11","0","","","","","","","","","","","","","279",",0,0328,","254",",0,0328,","54.1",",0,0514,","","","","","","","","","","","","","","","","","","","","","","","480.6",",0","633",",0","","","","","",""
"USC00390760","1966","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","60","0","29","0","","","","","","","","","","","","","","","","","","","","","81.8",",0,0710,","","","","","","","","","","","","","","","","","","","","","","","499.1",",0","","","","","","","",""
"USC00390760","1967","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","68","0","40","0","44","","10","0","","","","","","","","","","","","","254",",0,0216,+","127",",0,1220,","62.2",",0,0618,","","","","","","","","","","","","","","","","","","","","","","","501.6",",0","684",",0","","","","","",""
"USC00390760","1968","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","65","0","43","0","44","","12","0","","","","","","","","","","","","","203",",0,0403,+","203",",0,0402,","56.9",",0,0422,","","","","","","","","","","","","","","","","","","","","","","","536.7",",0","684",",0","","","","","",""
"USC00390760","1969","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","73","0","34","0","95","","20","0","","","","","","","","","","","","","229",",0,1228,+","229",",0,1227,","51.3",",0,0917,","","","","","","","","","","","","","","","","","","","","","","","426.4",",0","846",",0","","","","","",""
"USC00390760","1970","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","","","","","102","","","","","","","","","","","","","","","","381",",0,0413,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00390760","1971","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","61","0","43","0","85","","","","","","","","","","","","","","","","152",",0,0115,+","","","38.1",",0,0818,","","","","","","","","","","","","","","","","","","","","","","","508.1",",0","","","","","","","",""
"USC00390760","1972","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","72","0","50","0","93","","10","0","","","","","","","","","","","","","229",",0,0211,+","89",",0,1229,+","52.1",",0,0501,","","","","","","","","","","","","","","","","","","","","","","","548.0",",0","660",",0","","","","","",""
"USC00390760","1973","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","56","0","34","0","49","","7","0","","","","","","","","","","","","","178",",0,0121,","89",",0,0120,","51.1",",0,0527,","","","","","","","","","","","","","","","","","","","","","","","401.5",",0","377",",0","","","","","",""
"USC00390760","1974","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","63","0","36","0","","","","","","","","","","","","","","","","","","","","","22.1",",0,0527,","","","","","","","","","","","","","","","","","","","","","","","349.5",",0","","","","","","","",""
"USC00390760","1975","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","66","0","47","0","96","","","","","","","","","","","","","","","","711",",0,0331,+","","","66.3",",0,0327,","","","","","","","","","","","","","","","","","","","","","","","496.8",",0","","","","","","","",""
"USC00390760","1977","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","92","0","57","0","","","","","","","","","","","","","","","","","","","","","41.4",",0,0329,","","","","","","","","","","","","","","","","","","","","","","","548.9",",0","","","","","","","",""
"USC00390760","1978","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","84","0","37","0","","","","","","","","","","","","","","","","","","","","","36.3",",0,0712,","","","","","","","","","","","","","","","","","","","","","","","467.7",",0","","","","","","","",""
"USC00390760","1979","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","70","0","41","0","","","11","0","","","","","","","","","","","","","","","152",",0,0319,","53.1",",0,0616,","","","","","","","","","","","","","","","","","","","","","","","515.9",",0","636",",0","","","","","",""
"USC00390760","1980","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","48","0","30","0","","","","","","","","","","","","","","","","","","","","","57.4",",0,1016,","","","","","","","","","","","","","","","","","","","","","","","427.2",",0","","","","","","","",""
"USC00390760","1981","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","77","0","43","0","","","","","","","","","","","","","","","","","","","","","59.4",",0,0702,","","","","","","","","","","","","","","","","","","","","","","","443.6",",0","","","","","","","",""
"USC00390760","1982","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","67","0","46","0","","","","","","","","","","","","","","","","","","","","","54.6",",0,0624,","","","","","","","","","","","","","","","","","","","","","","","593.0",",0","","","","","","","",""
"USC00390760","1983","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","63","0","35","0","","","","","","","","","","","","","","","","","","","","","40.6",",0,0620,","","","","","","","","","","","","","","","","","","","","","","","404.0",",0","","","","","","","",""
"USC00390760","1984","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","69","0","38","0","","","","","","","","","","","","","","","","","","","","","51.3",",0,0604,","","","","","","","","","","","","","","","","","","","","","","","502.9",",0","","","","","","","",""
"USC00390760","1985","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","75","0","54","0","91","","21","0","","","","","","","","","","","","","457",",0,0305,","254",",0,0303,","25.4",",0,0303,","","","","","","","","","","","","","","","","","","","","","","","423.7",",0","1509",",0","","","","","",""
"USC00390760","1986","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","83","0","50","0","","","14","0","","","","","","","","","","","","","","","127",",0,0415,","64.5",",0,0509,","","","","","","","","","","","","","","","","","","","","","","","627.1",",0","774",",0","","","","","",""
"USC00390760","1987","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","63","0","40","0","36","","13","0","","","","","","","","","","","","","254",",0,0228,","127",",0,0325,+","33.5",",0,0712,","","","","","","","","","","","","","","","","","","","","","","","347.6",",0","1017",",0","","","","","",""
"USC00390760","1988","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","60","0","34","0","42","","9","0","","","","","","","","","","","","","279",",0,1228,+","127",",0,1227,","62.2",",0,0701,","","","","","","","","","","","","","","","","","","","","","","","388.1",",0","687",",0","","","","","",""
"USC00390760","1989","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","77","0","49","0","101","","18","0","","","","","","","","","","","","","356",",0,0305,+","203",",0,0430,","65.3",",0,0921,","","","","","","","","","","","","","","","","","","","","","","","473.7",",0","1490",",0","","","","","",""
"USC00390760","1990","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","71","0","39","0","34","","16","0","","","","","","","","","","","","","229",",0,0215,","178",",0,0429,","38.1",",0,0725,","","","","","","","","","","","","","","","","","","","","","","","454.4",",0","1039",",0","","","","","",""
"USC00390760","1991","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","77","0","51","0","55","","14","0","","","","","","","","","","","","","356",",0,0219,","305",",0,0218,","59.4",",0,0604,","","","","","","","","","","","","","","","","","","","","","","","640.0",",0","940",",0","","","","","",""
"USC00390760","1992","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","80","0","40","0","37","","10","0","","","","","","","","","","","","","102",",0,0116,+","102",",0,0108,","46.5",",0,0707,","","","","","","","","","","","","","","","","","","","","","","","479.3",",0","521",",0","","","","","",""
"USC00390760","1993","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","99","0","51","0","101","","25","0","","","","","","","","","","","","","356",",0,1126,","203",",0,1113,","26.7",",0,0602,","","","","","","","","","","","","","","","","","","","","","","","486.4",",0","1547",",0","","","","","",""
"USC00390760","1994","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","90","0","46","0","100","","23","0","","","","","","","","","","","","","305",",0,0214,+","152",",0,1215,","65.3",",0,0707,","","","","","","","","","","","","","","","","","","","","","","","515.8",",0","1228",",0","","","","","",""
"USC00390760","1995","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","84","0","53","0","60","","19","0","","","","","","","","","","","","","406",",0,0412,","279",",0,0411,","49.5",",0,0623,","","","","","","","","","","","","","","","","","","","","","","","659.9",",0","1808",",0","","","","","",""
"USC00390760","1996","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","83","0","52","0","90","","19","0","","","","","","","","","","","","","610",",0,1227,+","279",",0,1215,","68.6",",0,0920,","","","","","","","","","","","","","","","","","","","","","","","590.1",",0","1778",",0","","","","","",""
"USC00390760","1997","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","71","0","43","0","91","","15","0","","","","","","","","","","","","","584",",0,0116,+","254",",0,0204,","38.9",",0,0502,","","","","","","","","","","","","","","","","","","","","","","","579.1",",0","1096",",0","","","","","",""
"USC00390760","1998","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","79","0","43","0","","","15","0","","","","","","","","","","","","","","","203",",0,1110,","46.2",",0,0827,","","","","","","","","","","","","","","","","","","","","","","","507.5",",0","978",",0","","","","","",""
"USC00390760","1999","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","82","0","40","0","32","","10","0","","","","","","","","","","","","","152",",0,0102,","152",",0,1002,","51.3",",0,0510,","","","","","","","","","","","","","","","","","","","","","","","601.1",",0","698",",0","","","","","",""
"USC00390760","2000","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","68","0","38","0","61","","15","0","","","","","","","","","","","","","254",",0,1114,+","203",",0,0407,","55.9",",0,0823,","","","","","","","","","","","","","","","","","","","","","","","432.5",",0","1142",",0","","","","","",""
"USC00390760","2001","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","76","0","42","0","121","","19","0","","","","","","","","","","","","","457",",0,0227,+","254",",0,0423,","28.2",",0,0505,","","","","","","","","","","","","","","","","","","","","","","","463.4",",0","1619",",0","","","","","",""
"USC00390760","2002","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","67","0","33","0","41","","15","0","","","","","","","","","","","","","152",",0,0317,+","140",",0,0315,","69.3",",0,0621,","","","","","","","","","","","","","","","","","","","","","","","400.6",",0","908",",0","","","","","",""
"USC00390760","2003","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","74","0","37","0","70","","14","0","","","","","","","","","","","","","203",",0,1123,","152",",0,0116,","41.7",",0,0625,","","","","","","","","","","","","","","","","","","","","","","","460.1",",0","939",",0","","","","","",""
"USC00390760","2005","44.5128","-99.9881","494.1","BLUNT, SD US","","","","","80","0","45","0","56","","12","0","","","","","","","","","","","","","406",",0,1206,+","254",",0,1128,","38.9",",0,0512,","","","","","","","","","","","","","","","","","","","","","","","412.5",",0","975",",0","","","","","",""
"USC00390760","2010","44.5128","-99.9881","494.1","BLUNT, SD US","370.7","","370.7","0","70","0","63","0","91","","12","0","29","0","170","0","86","0","149","0","32","0","-31.7","0,0109,","381",",0,0109,+","102",",0,1231,","55.9",",0,0722,","40.0","0,0828,","-1.1","0,1004","-3.3","0,1018","-5.6","0,1028","-7.2","0,1029","-9.4","0,1120","-2.2","0,0509","-2.2","0,0509","-5.0","0,0329","-8.9","0,0322","-8.9","0,0322","673.3",",0","610",",0","7.09","0","13.84","0","0.33","0"
