"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00415721","1942","26.565","-98.1236","67.1","MCCOOK, TX US","2232.5","","2232.5","0","69","0","34","0","0","","0","0","0","0","5","0","0","0","329","0","164","0","-1.1","0,1229,+","0",",0,1231,+","0",",0,1231,+","36.8",",0,1005,","41.1","0,0611,","","","-1.1","0,1229","","","","","","","-1.1","0,0111","","","","","","","","","","","","","368.4",",0","0",",0","23.33","0","29.85","0","16.80","0","",""
"USC00415721","1943","26.565","-98.1236","67.1","MCCOOK, TX US","2215.0","","2215.0","0","67","0","36","0","0","","0","0","0","0","7","0","0","0","324","0","153","0","-2.8","0,0120,","0",",0,1231,+","0",",0,1231,+","50.8",",0,0104,","41.1","0,0817,+","","","-2.2","0,1216","-2.2","0,1216","","","","","0.0","0,0212","-2.8","0,0120","","","335.7","","335.7","0","","","","","591.4",",0","0",",0","23.21","0","29.67","0","16.76","0","",""
"USC00415721","1944","26.565","-98.1236","67.1","MCCOOK, TX US","2161.4","","2161.4","0","73","0","38","0","0","","0","0","0","0","7","0","0","0","327","0","161","0","-3.3","0,0115,+","0",",0,1231,+","0",",0,1231,+","105.2",",0,0528,","40.6","0,0522,","","","-1.7","0,1211","","","","","","","-3.3","0,0115","-3.3","0,0115","","","367.9","","367.9","0","","","","","644.6",",0","0",",0","23.25","0","29.62","0","16.89","0","",""
"USC00415721","1945","26.565","-98.1236","67.1","MCCOOK, TX US","2489.4","","2489.4","0","60","0","35","0","0","","0","0","0","0","2","0","0","0","335","0","193","0","-1.1","0,1205,","0",",0,1231,+","0",",0,1231,+","34.8",",0,0114,","41.1","0,0817,+","","","-1.1","0,1205","","","","","","","","","","","","","309.2","","309.2","0","","","","","370.9",",0","0",",0","24.44","0","31.16","0","17.71","0","",""
"USC00415721","1946","26.565","-98.1236","67.1","MCCOOK, TX US","2476.6","","2476.6","0","70","0","40","0","0","","0","0","0","0","1","0","0","0","335","0","196","0","0.0","0,0123,","0",",0,1231,+","0",",0,1231,+","88.9",",0,0530,","42.2","0,0519,","","","","","","","","","","","0.0","0,0123","","","","","323.6","","323.6","0","","","","","547.7",",0","0",",0","24.27","0","30.95","0","17.59","0","",""
"USC00415721","1947","26.565","-98.1236","67.1","MCCOOK, TX US","2351.2","","2351.2","0","53","0","31","0","0","","0","0","0","0","5","0","0","0","320","0","201","0","-1.7","0,0104,","0",",0,1231,+","0","T,0,1214,","78.7",",0,0802,","41.7","0,0921,","","","","","","","","","","","-1.1","0,0205","","","","","482.3","","482.3","0","","","","","549.8",",0","0","T,0","23.30","0","30.23","0","16.37","0","",""
"USC00415721","1948","26.565","-98.1236","67.1","MCCOOK, TX US","","","","","56","0","33","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0","T,0,0311,+","72.1",",0,0629,","","","","","","","","","","","","","","","","","","","457.8","","457.8","0","","","","","690.0",",0","0","T,0","","","","","","","",""
"USC00415721","1950","26.565","-98.1236","67.1","MCCOOK, TX US","2709.5","","2709.5","0","36","0","21","0","0","","0","0","0","0","2","0","0","0","341","0","222","0","-2.8","0,1207,","0",",0,1231,+","0","T,0,0519,+","77.5",",0,0213,","40.6","0,0829,","","","-0.6","0,1206","-2.8","0,1207","","","","","","","","","","","","","","","","","","","366.3",",0","0","T,0","25.27","0","32.24","0","18.29","0","",""
"USC00415721","1951","26.565","-98.1236","67.1","MCCOOK, TX US","","","","","48","0","26","0","0","","0","0","","","","","","","","","","","","","0","T,0,0131,+","0","T,0,0130,","122.2",",0,0625,","","","","","","","","","","","","","","","","","","","348.5","","348.5","0","","","","","620.5",",0","0","T,0","","","","","","","",""
"USC00415721","1953","26.565","-98.1236","67.1","MCCOOK, TX US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","","","",""
"USC00415721","1954","26.565","-98.1236","67.1","MCCOOK, TX US","","","","","60","0","35","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","90.7",",0,0409,","","","","","","","","","","","","","","","","","","","","","","","","","","","676.0",",0","0",",0","","","","","","","",""
"USC00415721","1955","26.565","-98.1236","67.1","MCCOOK, TX US","","","","","63","0","30","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","31.0",",0,0819,","","","","","","","","","","","","","","","","","","","","","","","","","","","282.4",",0","0",",0","","","","","","","",""
"USC00415721","1956","26.565","-98.1236","67.1","MCCOOK, TX US","","","","","55","0","30","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","50.8",",0,0502,","","","","","","","","","","","","","","","","","","","","","","","","","","","294.0",",0","0",",0","","","","","","","",""
"USC00415721","1957","26.565","-98.1236","67.1","MCCOOK, TX US","2322.2","","2322.2","0","68","0","34","0","0","","0","0","0","0","3","0","0","0","332","0","181","0","-3.3","0,1212,","0",",0,1231,+","0",",0,1231,+","80.8",",0,0620,","41.1","0,0521,","","","-1.1","0,1124","-3.3","0,1212","","","","","","","","","","","","","","","","","","","549.0",",0","0",",0","23.94","0","30.62","0","17.26","0","",""
"USC00415721","1958","26.565","-98.1236","67.1","MCCOOK, TX US","","","","","84","0","52","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","116.8",",0,0105,","","","","","","","","","","","","","","","","","","","455.7","","455.7","0","","","","","964.7",",0","0",",0","","","","","","","",""
"USC00415721","1959","26.565","-98.1236","67.1","MCCOOK, TX US","2190.7","","2190.7","0","78","0","32","0","0","","0","0","0","0","9","0","0","0","313","0","181","0","-1.7","0,0110,","0",",0,1231,+","0",",0,1231,+","38.4",",0,0524,","40.6","0,0901,+","","","-1.1","0,1107","","","","","","","-0.6","0,0122","","","","","","","","","","","","","303.7",",0","0",",0","22.85","0","29.39","0","16.31","0","",""
"USC00415721","1960","26.565","-98.1236","67.1","MCCOOK, TX US","","","","","80","0","45","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","69.9",",0,0812,","","","","","","","","","","","","","","","","","","","525.8","","525.8","0","","","","","728.2",",0","0",",0","","","","","","","",""
"USC00415721","1961","26.565","-98.1236","67.1","MCCOOK, TX US","","","","","56","0","31","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","126.5",",0,0914,","","","","","","","","","","","","","","","","","","","","","","","","","","","513.7",",0","0",",0","","","","","","","",""
"USC00415721","1964","26.565","-98.1236","67.1","MCCOOK, TX US","2214.6","","2214.6","0","65","0","29","0","0","","0","0","0","0","10","0","0","0","312","0","162","0","-3.3","0,0114,","0",",0,1231,+","0",",0,1231,+","54.6",",0,0512,","40.0","0,0820,","2618.5","0","-0.6","0,1215","","","","","","","0.0","0,0223","-3.3","0,0114","","","","","","","","","","","357.0",",0","0",",0","22.88","0","29.57","0","16.20","0","",""
"USC00415721","1965","26.565","-98.1236","67.1","MCCOOK, TX US","2124.2","","2124.2","0","77","0","44","0","0","","0","0","0","0","5","0","0","0","318","0","157","0","-1.1","0,0118,+","0",",0,1231,+","0",",0,1231,+","71.4",",0,0519,","38.3","0,0911,+","2486.7","0","","","","","","","","","0.0","0,0305","","","","","515.4","","515.4","0","     17.37","0,P,N","     30.74","0,P,N","698.1",",0","0",",0","22.99","0","29.29","0","16.68","0","",""
"USC00415721","1966","26.565","-98.1236","67.1","MCCOOK, TX US","1921.3","","1921.3","0","89","0","45","0","0","","0","0","0","0","13","0","0","0","297","0","141","0","-3.9","0,1213,+","0",",0,1231,+","0",",0,1231,+","55.9",",0,0619,","38.9","0,0928,+","2290.3","0","0.0","0,1211","-3.9","0,1212","","","","","0.0","0,0205","-3.9","0,0131","","","569.4","","569.4","0","     16.26","0,P,N","     28.98","0,P,N","659.2",",0","0",",0","21.73","0","28.16","0","15.30","0","54215","0"
"USC00415721","1967","26.565","-98.1236","67.1","MCCOOK, TX US","2026.4","","2026.4","0","84","0","48","0","0","","0","0","0","0","10","0","0","0","314","0","142","0","-3.3","0,0104,","0",",0,1231,+","0","T,0,0110,","159.5",",0,0921,","40.6","0,0601,","","","-2.8","0,1223","-2.8","0,1223","","","","","0.0","0,0210","-3.3","0,0104","","","487.0","","487.0","0","     17.01","0,P,N","     29.40","0,P,N","1191.0",",0","0","T,0","22.54","0","28.81","0","16.27","0","59629","0"
