"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00211561","1893","45.45","-94.0","302.1","CLEAR LAKE, MN US","70","6","52","6","106","6","114","6","14","6","36.8",",6,0725,","37.2","6,0724,","606.6",",6","10.02","6"
"USC00211561","1894","45.45","-94.0","302.1","CLEAR LAKE, MN US","63","6","51","6","","","","","","","41.4",",6,0516,","","","585.4",",6","",""
